pharmacy_id,district_id,name,street,housenumber,postal_code,district,neighborhood,phone_number,website,services_offered,openinghours,wheelchair_accessible,latitude,longitude,coordinates
527503232,11004004,rheinland apotheke,spessartstraße,13,14197,Charlottenburg-Wilmersdorf,Wilmersdorf,+493082793412,nan,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:00,yes,52.4745711,13.3146216,POINT(13.3146216 52.4745711)
527873296,11009009,normannen-apotheke,grünauer straße,"7,8",12524,Treptow-Köpenick,Altglienicke,+49306728354,https://www.normannen-apotheke-berlin.de,dispensing_yes,mo-fr 08:00-18:30; sa 08:30-13:00;ph off,no,52.4195999,13.5403651,POINT(13.5403651 52.4195999)
528643412,11009009,elefanten apotheke,nan,nan,nan,Treptow-Köpenick,Altglienicke,,nan,dispensing_yes,"mo-fr 08:30-18:30, sa 09:00-14:00",yes,52.4247473,13.5276421,POINT(13.5276421 52.4247473)
529805424,11009009,europa-apotheke,schnellerstraße,21,12439,Treptow-Köpenick,Niederschöneweide,,nan,dispensing_yes,mo-sa 09:00-19:00,yes,52.4565863,13.5089986,POINT(13.5089986 52.4565863)
530687969,11009009,sano apotheke,nan,nan,nan,Treptow-Köpenick,Köpenick,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 10:00-19:00; ph off,no,52.4473124,13.5758981,POINT(13.5758981 52.4473124)
534879643,11004004,hohenzollerndamm apotheke,hohenzollerndamm,56,14199,Charlottenburg-Wilmersdorf,Schmargendorf,,http://www.hohenzollerndamm-apo.de/,dispensing_yes,"mo-th 08:30-18:30; we,fr 08:30-18:00; sa 08:30-13:00",yes,52.4866689,13.2975626,POINT(13.2975626 52.4866689)
538057637,11009009,apotheke im forum köpenick,bahnhofstraße,33-38,12555,Treptow-Köpenick,Köpenick,+493065016200,https://www.apotheke-im-forum-koepenick.de/,dispensing_yes,"mo-fr 08:00-20:00, sa 09:00-20:00; ph off",yes,52.4581201,13.5786266,POINT(13.5786266 52.4581201)
564123162,11011011,nibelungen-apotheke,gotlindestraße,49,10365,Lichtenberg,Lichtenberg,,nan,dispensing_yes,mo-fr 08:00-19:00; sa 08:00-13:00,yes,52.5181103,13.496335,POINT(13.496335 52.5181103)
565034853,11004004,columbia apotheke,kaiserdamm,13,14057,Charlottenburg-Wilmersdorf,Charlottenburg,+493032678610,http://www.columbia-apotheke.de/,dispensing_yes,mo-fr 08:30-18:30; sa 08:30-13:30,limited,52.5106646,13.288557,POINT(13.288557 52.5106646)
571800623,11007007,st. hubertus,marienfelder allee,47,12277,Tempelhof-Schöneberg,Marienfelde,+493072320615,https://www.apotheke-marienfelde.de/,dispensing_yes,"mo,tu,th,fr 08:30-18:30; we 08:30-18:00; sa 08:30-13:00",yes,52.4215579,13.3702571,POINT(13.3702571 52.4215579)
