technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude
00008100_0019955e,00008100:0019955e,2301536,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Schwarzwurzelpark,",Spielbereiche,2005.0,,812.0,gewidmet,10100101.0,Marzahn West,714.79,"Schwarzwurzelpark, ,Marzahn West, Berlin, Germany",,
00008100_00199504,00008100:00199504,2301961,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Hohensaatener Straße am RHB,neuer Spielplatz,1987.0,2007.0,775.3,gewidmet,10100207.0,Ahrensfelder Berge,775.33,"Hohensaatener Straße am RHB,Ahrensfelder Berge, Berlin, Germany",,
00008100_00199191,00008100:00199191,00272,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Kienbergstraße 34 bis 64,Bolzplatz ggü. 35 - 47,1985.0,,614.0,gewidmet,10100315.0,Bärenstein,613.79,"Kienbergstraße 34 bis 64,Bärenstein, Berlin, Germany",,
00008100_00199418,00008100:00199418,00146,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Bürgerpark Marzahn - Skateboardanlage,Skateboardanlage,1993.0,,315.0,gewidmet,10100208.0,Bürgerpark,315.0,"Bürgerpark Marzahn - Skateboardanlage,Bürgerpark, Berlin, Germany",,
00008100_001c6539,00008100:001c6539,040102,'09,Treptow-Köpenick,Johannisthal,Spielplatz,Segelfliegerdamm 47 A/ Bolzplatz Jo KSP,ehemaliges Flugfeld Nordwestfuge,,,368.5,Unknown,9100409.0,Landschaftspark Adlershof,268.38,"Segelfliegerdamm 47 A/ Bolzplatz Jo KSP,Landschaftspark Adlershof, Berlin, Germany",,
00008100_0019943b,00008100:0019943b,00143,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Geraer Ring vor 54 , Grünzug Marzahn/West,",Spielplatz,1996.0,,938.0,gewidmet,10100101.0,Marzahn West,283.18,"Geraer Ring vor 54 , Grünzug Marzahn/West,,Marzahn West, Berlin, Germany",,
00008100_0019944b,00008100:0019944b,00188,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Trusetaler Straße 37/ 39,Spielplatz,1986.0,,411.0,gewidmet,10100206.0,Wuhletalstraße,410.83,"Trusetaler Straße 37/ 39,Wuhletalstraße, Berlin, Germany",,
00008100_001991fe,00008100:001991fe,00263,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Grünzug Fichtelbergstr./Pekrunstr.,",Amanlisweg 10 - 12,1984.0,,433.0,gewidmet,10100314.0,Auersbergstraße,432.79,"Grünzug Fichtelbergstr./Pekrunstr.,,Auersbergstraße, Berlin, Germany",,
00008100_001991b6,00008100:001991b6,00267,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Fichtelbergstr./ Pekrunstraße,Bolzplatz Scheibenbergstr. 23,1984.0,,930.6,gewidmet,10100314.0,Auersbergstraße,930.0,"Grünzug Fichtelbergstr./ Pekrunstraße,Auersbergstraße, Berlin, Germany",,
00008100_00199216,00008100:00199216,00266,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Fichtelbergstraße/ Pekrunstraße,Spielplatz Scheibenbergstr. 23,1984.0,,452.0,gewidmet,10100314.0,Auersbergstraße,451.11,"Grünzug Fichtelbergstraße/ Pekrunstraße,Auersbergstraße, Berlin, Germany",,
00008100_0019917c,00008100:0019917c,00241,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Murtzaner Ring 2 - 28,Bolzplatz,1983.0,,734.0,gewidmet,10100312.0,Springpfuhl,734.18,"Murtzaner Ring 2 - 28,Springpfuhl, Berlin, Germany",52.5307315,13.544133
00008100_0019935a,00008100:0019935a,2301288,'10,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Alte- Hellersdorfer- Str. Bolzplatz,Alte- Hellersdorfer- Straße (Hasenpfuhl),,,715.0,gewidmet,10200627.0,Am Kienberg,660.59,"Alte- Hellersdorfer- Str. Bolzplatz,Am Kienberg, Berlin, Germany",,
00008100_0020ee1c,00008100:0020ee1c,R04-23564,'10,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Boschpoler Platz,Spielplatz,1980.0,2014.0,6827.5,gewidmet,10300731.0,Oberfeldstraße,4614.03,"Boschpoler Platz,Oberfeldstraße, Berlin, Germany",52.5276584,13.5546201
00008100_0019972c,00008100:0019972c,2300570,'10,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Am Moosbruch - Spielplatz,Am Moosbruch/Ulmenstr.,,2017.0,7793.0,gewidmet,10400837.0,Kaulsdorf Süd,3317.39,"Am Moosbruch - Spielplatz,Kaulsdorf Süd, Berlin, Germany",,
00008100_0019918b,00008100:0019918b,00283,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Bärensteinstraße,Bolzplatz,1985.0,1999.0,597.0,gewidmet,10100315.0,Bärenstein,597.13,"Bärensteinstraße,Bärenstein, Berlin, Germany",52.5410364,13.5664225
00008100_001994a6,00008100:001994a6,00804,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,"""Wiesenpark"" Landsberger Tor","Spielplatz ""Blauer Wuhl""",2000.0,,341.0,gewidmet,10100316.0,Landsberger Tor,216.4,"""Wiesenpark"" Landsberger Tor,Landsberger Tor, Berlin, Germany",,
00008100_0019935e,00008100:0019935e,2301244,'10,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Waldheimer/Jenaer Str.-Bolzplatz,Waldheimer Straße,2000.0,,473.0,gewidmet,10200525.0,Schleipfuhl,472.86,"Waldheimer/Jenaer Str.-Bolzplatz,Schleipfuhl, Berlin, Germany",,
00008100_001994fc,00008100:001994fc,2301981,'10,Marzahn-Hellersdorf,Biesdorf,Spielplatz,"Habichtshorst 1 ""Am Brodersengarten""",Spielplatz in den Schmetterlingswiesen,2005.0,,565.7,gewidmet,10300734.0,Biesdorf Süd,565.65,"Habichtshorst 1 ""Am Brodersengarten"",Biesdorf Süd, Berlin, Germany",,
00008100_001991ac,00008100:001991ac,00236,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Akazienwäldchen/Murtzaner Ring 23 - 29,Unknown,1983.0,,207.1,gewidmet,10100312.0,Springpfuhl,207.11,"Grünzug Akazienwäldchen/Murtzaner Ring 23 - 29,Springpfuhl, Berlin, Germany",,
00008100_001991fa,00008100:001991fa,00259,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Fichtelbergstraße 20 Wohnhof,Spielbereich an der Kita,1984.0,,103.0,gewidmet,10100314.0,Auersbergstraße,102.23,"Fichtelbergstraße 20 Wohnhof,Auersbergstraße, Berlin, Germany",,
00008100_00199176,00008100:00199176,00228,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Springpfuhlpark, Spielplatz",hinter Murtzaner Ring 63-69,1983.0,,287.0,gewidmet,10100312.0,Springpfuhl,286.09,"Springpfuhlpark, Spielplatz,Springpfuhl, Berlin, Germany",,
00008100_0019973c,00008100:0019973c,2300567,'10,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Ullrichplatz - Spielplatz,Ullrichstraße,,,733.7,gewidmet,10400941.0,Pilgramer Straße,733.0,"Ullrichplatz - Spielplatz,Pilgramer Straße, Berlin, Germany",,
00008100_0019945a,00008100:0019945a,00178,'10,Marzahn-Hellersdorf,Marzahn,Spielplatz,Lea-Grundig-Str. - Spielberg,Spielberg im Innenhof,1986.0,,669.0,gewidmet,10100209.0,Lea-Grundig-Straße,311.62,"Lea-Grundig-Str. - Spielberg,Lea-Grundig-Straße, Berlin, Germany",,
00008100_00199231,00008100:00199231,2307641,'10,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Wilhelmplatz - Spielplatz,Planitzstraße/Mädewalder Weg,2012.0,,913.0,gewidmet,10400836.0,Alt-Kaulsdorf,913.86,"Wilhelmplatz - Spielplatz,Alt-Kaulsdorf, Berlin, Germany",,
