technical_id,key,object_number,neighborhood,locality,type_of_green_space,green_space_name,name_extension,year_built,last_renovation_year,size_sqm,dedication,planning_area_number,planning_area_name,address1,latitude,longitude
00008100_0014bc02,00008100:0014bc02,216310,Mitte,Tiergarten,Grünanlage,Am Karlsbad 18,Grünanlage Karlsbad,,,18672.0,gewidmet,1100104.0,Körnerstraße,"Am Karlsbad 18, Berlin, Germany",52.5037099,13.3718884
00008100_0014b851,00008100:0014b851,301500,Mitte,Wedding,Grünanlage,Afrikanische Str. zur Togostr.,"Eckgrundstück ""Togodreieck""",,,3166.0,gewidmet,1400937.0,Afrikanische Straße,"Afrikanische Str. zur Togostr., Berlin, Germany",,
00008100_0014bd10,00008100:0014bd10,111800,Mitte,Mitte,Grünanlage,"Berliner Dom,  Garten am Dom",Domschale an der Bodestr.,,,5045.8,gewidmet,1100206.0,Unter den Linden,"Berliner Dom,  Garten am Dom, Berlin, Germany",,
00008100_0029e301,00008100:0029e301,320081,Mitte,Gesundbrunnen,Grünanlage,"Volkspark Humboldthain, Gewässerlauf",,1876.0,,2352.0,gewidmet,1300835.0,Humboldthain Süd,"Volkspark Humboldthain, Gewässerlauf, Berlin, Germany",,
00008100_0014b803,00008100:0014b803,105300,Mitte,Mitte,Grünanlage,Holzmarktstr.- Lichtenberger Str.,,,,5973.0,gewidmet,1100311.0,Karl-Marx-Allee,"Holzmarktstr.- Lichtenberger Str., Berlin, Germany",,
00008100_0014bed8,00008100:0014bed8,210100,Mitte,Tiergarten,Grünanlage,Spreeuferpromenade am Paul-Löbe-Haus,Spreeplatz Westufer und Spreetreppe,,,3511.0,gewidmet,1100102.0,Großer Tiergarten,"Spreeuferpromenade am Paul-Löbe-Haus, Berlin, Germany",,
00008100_0014ba08,00008100:0014ba08,204210,Mitte,Moabit,Grünanlage,Bundesratufer /  Bochumer Str.,"Uferpark Bundesratufer od ""Bochumer Pl""",2008.0,,744.0,gewidmet,1200522.0,Elberfelder Straße,"Bundesratufer /  Bochumer Str., Berlin, Germany",,
00008100_0014bab7,00008100:0014bab7,328820,Mitte,Wedding,Grünanlage,Allee du Stade / Quartier Napoleon,"Biotop, neben Radweg, südl. Q.Napoleon",,,20268.0,gewidmet,1400937.0,Afrikanische Straße,"Allee du Stade / Quartier Napoleon, Berlin, Germany",,
00008100_000a6e24,00008100:000a6e24,221.084,Neukölln,Britz,Grünanlage,Papenpfuhl-Grünanlage,,,,1250.0,gewidmet,8200729.0,Britzer Garten,"Papenpfuhl-Grünanlage, Berlin, Germany",,
00008100_0014b875,00008100:0014b875,223910,Mitte,Hansaviertel,Grünanlage,Spreeuferpromenade Holsteiner Ufer,zw. Moabiter Brücke und Lessingbrücke ,,,3105.0,gewidmet,1200629.0,Hansaviertel,"Spreeuferpromenade Holsteiner Ufer, Berlin, Germany",,
00008100_0014b875,00008100:0014b875,223910,Mitte,Hansaviertel,Grünanlage,Spreeuferpromenade Holsteiner Ufer,zw. Moabiter Brücke und Lessingbrücke ,,,3105.0,gewidmet,1200629.0,Hansaviertel,"Spreeuferpromenade Holsteiner Ufer, Berlin, Germany",,
00008100_0014b814,00008100:0014b814,310810,Mitte,Gesundbrunnen,Grünanlage,Boyenstr. am  Erika-Heß-Eisstadion,einschl. Chausseestr. 83,,,9814.8,gewidmet,1300836.0,Humboldthain Nordwest,"Boyenstr. am  Erika-Heß-Eisstadion, Berlin, Germany",,
00008100_0014bb06,00008100:0014bb06,158300,Mitte,Mitte,Grünanlage,Promenade Berlin-Spandauer-Schifffahrtskanal Scharnhorststr. 28-29 ,hinter Scharnhorststr. 28/29,,,896.0,gewidmet,1100308.0,Charitéviertel,"Promenade Berlin-Spandauer-Schifffahrtskanal Scharnhorststr. 28-29 , Berlin, Germany",,
00008100_0014bd73,00008100:0014bd73,157100,Mitte,Mitte,Grünanlage,Luisenstädtischer Kanal  Waldpflanzengarten,zw. Adalbertstr. u. Melchiorstr.,1932.0,2012.0,6657.0,gewidmet,1100313.0,Heine-Viertel Ost,"Luisenstädtischer Kanal  Waldpflanzengarten, Berlin, Germany",52.5055457,13.425184
00008100_0014b82f,00008100:0014b82f,320010,Mitte,Wedding,Grünanlage,Volkspark Humboldthain,,1876.0,,228869.0,gewidmet,1300835.0,Humboldthain Süd,"Volkspark Humboldthain, Berlin, Germany",52.545215,13.3865699
00008100_0014bc93,00008100:0014bc93,253400,Mitte,Tiergarten,Grünanlage,Henriette-Hertz-Park,,,,8711.0,gewidmet,1100102.0,Großer Tiergarten,"Henriette-Hertz-Park, Berlin, Germany",,
00008100_002923e1,00008100:002923e1,123820,Mitte,Mitte,Grünanlage,Volkspark am Weinbergsweg,Nordwestteil Brunnenstr./Veteranenberg,1958.0,,25455.0,gewidmet,1100416.0,Arkonaplatz,"Volkspark am Weinbergsweg, Berlin, Germany",52.5323732,13.4012824
00008100_002923e1,00008100:002923e1,123820,Mitte,Mitte,Grünanlage,Volkspark am Weinbergsweg,Nordwestteil Brunnenstr./Veteranenberg,1958.0,,25455.0,gewidmet,1100416.0,Arkonaplatz,"Volkspark am Weinbergsweg, Berlin, Germany",52.5323732,13.4012824
00008100_0014b843,00008100:0014b843,316010,Mitte,Wedding,Grünanlage,Mettmannplatz,Tegeler Str. 55 / Nordufer,,,5543.0,gewidmet,1300836.0,Humboldthain Nordwest,"Mettmannplatz, Berlin, Germany",52.5385722,13.360171
00008100_0029e2ff,00008100:0029e2ff,214040,Mitte,Moabit,Grünanlage,Kleiner Tiergarten West,westlich der Stromstraße,,2016.0,9095.0,gewidmet,1200522.0,Elberfelder Straße,"Kleiner Tiergarten West, Berlin, Germany",,
00008100_0014b806,00008100:0014b806,102610,Mitte,Mitte,Grünanlage,Luisenstädtischer Kirchpark,,,,11862.0,gewidmet,1100312.0,Heine-Viertel West,"Luisenstädtischer Kirchpark, Berlin, Germany",52.5086886,13.4076468
00008100_000a6bf2,00008100:000a6bf2,211.078,Neukölln,Buckow,Grünanlage,Künheimerweg 7,,,,1053.0,gewidmet,8200831.0,Buckow West,"Künheimerweg 7, Berlin, Germany",52.4156457,13.4110471
00008100_0014bbfb,00008100:0014bbfb,215400,Mitte,Hansaviertel,Grünanlage,Klopstockstr. 3 bis Altonaer Str.,Grünzug parallel Stadtbahntrasse,,,9661.0,gewidmet,1200629.0,Hansaviertel,"Klopstockstr. 3 bis Altonaer Str., Berlin, Germany",,
00008100_0014bac9,00008100:0014bac9,254420,Mitte,Tiergarten,Grünanlage,Schleuseninsel,GT vor Strömungsversuchsanstalt d. FU,,,2426.0,gewidmet,1100102.0,Großer Tiergarten,"Schleuseninsel, Berlin, Germany",52.5309914,13.2923869
00008100_0014bcf9,00008100:0014bcf9,140310,Mitte,Mitte,Grünanlage,Holzmarktstr. - Ifflandstr.,nördl. Sportplatz Holzmarktstr. ,,,3686.0,gewidmet,1100311.0,Karl-Marx-Allee,"Holzmarktstr. - Ifflandstr., Berlin, Germany",,
00008100_0024c455,00008100:0024c455,109560,Mitte,Mitte,Grünanlage,Fernsehturmanlage,Messfeld DWD ,,,53.7,gewidmet,1100310.0,Alexanderplatzviertel,"Fernsehturmanlage, Berlin, Germany",52.5201723,13.4074855
00008100_0014bd37,00008100:0014bd37,131110,Mitte,Mitte,Grünanlage,Invalidenpark,,,,19632.0,gewidmet,1100308.0,Charitéviertel,"Invalidenpark, Berlin, Germany",52.5294948,13.3761275
00008100_001044ec,00008100:001044ec,35622,Reinickendorf,Tegel,Grünanlage,"Alter Wiesenweg, Erholungsfläche",KG Am Wasserbunker,,,4699.6,gewidmet,12200414.0,TXL,"Alter Wiesenweg, Erholungsfläche, Berlin, Germany",,
00008100_0014b82a,00008100:0014b82a,324010,Mitte,Wedding,Grünanlage,Leopoldplatz,,,,23496.0,gewidmet,1401048.0,Leopoldplatz,"Leopoldplatz, Berlin, Germany",52.5463833,13.3591672
00008100_0014b82a,00008100:0014b82a,324010,Mitte,Wedding,Grünanlage,Leopoldplatz,,,,23496.0,gewidmet,1401048.0,Leopoldplatz,"Leopoldplatz, Berlin, Germany",52.5463833,13.3591672
00008100_0014ba88,00008100:0014ba88,201600,Mitte,Hansaviertel,Grünanlage,Hanseatenweg,ggü. Akademie der Künste,,,863.0,gewidmet,1200629.0,Hansaviertel,"Hanseatenweg, Berlin, Germany",52.5186183,13.3460951
00008100_00214f32,00008100:00214f32,328830,Mitte,Wedding,Grünanlage,Allee du Stade / am Berlin-Spandauer-Schiffffahrtskanal,ehem. Baustoffwerk,,,10511.0,gewidmet,1400937.0,Afrikanische Straße,"Allee du Stade / am Berlin-Spandauer-Schiffffahrtskanal, Berlin, Germany",,
00008100_0014b7f1,00008100:0014b7f1,110800,Mitte,Mitte,Grünanlage,Alte Stadtmauer zw. Littenstr. u. Waisenstr.,,,,3124.0,gewidmet,1100310.0,Alexanderplatzviertel,"Alte Stadtmauer zw. Littenstr. u. Waisenstr., Berlin, Germany",,
00008100_0014bb14,00008100:0014bb14,135910,Mitte,Mitte,Grünanlage,Invalidenfriedhof,,1748.0,,21532.0,gewidmet,1100308.0,Charitéviertel,"Invalidenfriedhof, Berlin, Germany",,
00008100_00104485,00008100:00104485,00607,Reinickendorf,Reinickendorf,Grünanlage,"Wackerweg, Kolonie",,,,811.4,gewidmet,12200310.0,Klixstraße,"Wackerweg, Kolonie, Berlin, Germany",,
00008100_0028e9f9,00008100:0028e9f9,242720,Mitte,Tiergarten,Grünanlage,Gartenufer,am Landwehrkanal,,,4037.0,gewidmet,1100102.0,Großer Tiergarten,"Gartenufer, Berlin, Germany",,
00008100_0014bbf8,00008100:0014bbf8,216210,Mitte,Tiergarten,Grünanlage,Lützowplatz,,1966.0,,10723.0,gewidmet,1100103.0,Lützowstraße,"Lützowplatz, Berlin, Germany",52.5047608,13.3525466
00008100_0014bc48,00008100:0014bc48,216710,Mitte,Tiergarten,Grünanlage,Lichtensteinallee,,,,727.0,gewidmet,1100102.0,Großer Tiergarten,"Lichtensteinallee, Berlin, Germany",52.5105961,13.3451688
00008100_0014bce4,00008100:0014bce4,246500,Mitte,Hansaviertel,Grünanlage,Bachstr.,zw. Bachstr. und Stadtbahntrasse,,,3738.0,gewidmet,1200629.0,Hansaviertel,"Bachstr., Berlin, Germany",52.3964246,13.5872476
00008100_000a6bf9,00008100:000a6bf9,231.101,Neukölln,Rudow,Grünanlage,Neudeckerweg-Grünanlage,,,,4471.0,gewidmet,8401246.0,Waltersdorfer Chaussee Ost,"Neudeckerweg-Grünanlage, Berlin, Germany",,
00008100_00214f30,00008100:00214f30,328810,Mitte,Wedding,Grünanlage,Zentraler Festplatz ,Festplatzumring,,,115876.0,-,1400937.0,Afrikanische Straße,"Zentraler Festplatz , Berlin, Germany",52.550012,13.3072489
00008100_0014bd29,00008100:0014bd29,130610,Mitte,Mitte,Grünanlage,Agnes-Sorma-Park Reinhardtstr.,Reinhardtstr. Deutsches Theater,,,5900.0,gewidmet,1100308.0,Charitéviertel,"Agnes-Sorma-Park Reinhardtstr., Berlin, Germany",,
