Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_001c686a;00008100:001c686a;100141;Treptow-Köpenick;Köpenick;Grünanlage;Erpe zw.Bellevuestraße und Grünfließer Gang Köp GA;-;-;-;5899,00;gewidmet;09501941;Friedrichshagener Straße
00008100_001c66e8;00008100:001c66e8;020031;Treptow-Köpenick;Plänterwald;Grünanlage;Kiefholzstraße vor den KGA's Pl GA;-;-;-;10373,00;gewidmet;09100202;Plänterwald West
00008100_002dd0b4;00008100:002dd0b4;090221;Treptow-Köpenick;Oberschöneweide;Grünanlage;Treskowallee 175-211/ Biotopfläche Ob GA;GUS-Flächen;-;-;55371,40;gewidmet;09200512;Wuhlheide
00008100_000a6c91;00008100:000a6c91;321.062;Neukölln;Britz;Grünanlage;Brandpfuhl;-;-;-;503,00;gewidmet;08200725;Mohriner Allee Nord
00008100_003031db;00008100:003031db;110241;Treptow-Köpenick;Friedrichshagen;Grünanlage;Am Neuhagener Mühlenfließ Fr GA;LSG von Brücke Hauptweg KGA Wiesengrund bis Brücke KGA Am Kurpark;-;-;5520,00;-;09501736;Hirschgarten
00008100_003031fa;00008100:003031fa;110301;Treptow-Köpenick;Friedrichshagen;Grünanlage;Grillenweg Fr GA;am südlichen Ende vom Grillenweg ;-;-;290,00;gewidmet;09501736;Hirschgarten
00008100_00351b02;00008100:00351b02;060391;Treptow-Köpenick;Altglienicke;Grünanlage;Am Falkenberg 110-111 Regenrückhaltebecken Ag GA;Neben der Wiese an der B 96;-;-;4340,00;gewidmet;09300921;Preußen Siedlung
00008100_001c670f;00008100:001c670f;060231;Treptow-Köpenick;Altglienicke;Grünanlage;Rosestraße/ Am Winkel Ag GA;-;-;-;913,00;gewidmet;09300921;Preußen Siedlung
00008100_001c678f;00008100:001c678f;020071;Treptow-Köpenick;Plänterwald;Grünanlage;Neue Krugallee/ Bulgarische Straße Pl GA;neben Rathaus Treptow;-;2019;2516,00;gewidmet;09100203;Plänterwald Ost
00008100_001c677b;00008100:001c677b;030041;Treptow-Köpenick;Baumschulenweg;Grünanlage;Kiefholzstraße/ Hohenbirker Weg Ba GA;-;-;-;3838,00;gewidmet;09100304;Baumschulenweg West
00008100_001c652e;00008100:001c652e;010131;Treptow-Köpenick;Alt-Treptow;Grünanlage;Puschkinallee/ Am Treptower Park AT GA;-;-;-;2052,00;gewidmet;09100101;Alt-Treptow
00008100_002308b3;00008100:002308b3;120041;Treptow-Köpenick;Rahnsdorf;Grünanlage;Erknerstraße Schönblicker Straße Ra GA;-;-;-;1347,20;gewidmet;09501838;Rahnsdorf
00008100_001c6a0c;00008100:001c6a0c;150021;Treptow-Köpenick;Schmöckwitz;Grünanlage;Alt-Schmöckwitz/ Wendeschleife Sch GA;Dorfplatz ;-;-;1978,00;gewidmet;09301228;Schmöckwitz/Rauchfangswerder
00008100_002ccdf5;00008100:002ccdf5;020081;Treptow-Köpenick;Plänterwald;Grünanlage;Kiefholzstraße Mauerdenkmal Pl GA;-;-;-;80,00;-;09100202;Plänterwald West
00008100_001c6863;00008100:001c6863;010101;Treptow-Köpenick;Alt-Treptow;Grünanlage;Schmollerplatz AT GA;-;-;-;5008,00;gewidmet;09100101;Alt-Treptow
00008100_001c6548;00008100:001c6548;090141;Treptow-Köpenick;Oberschöneweide;Grünanlage;Platz am Kaisersteg 1 Ob (Pacht);Skulpturengarten / Schauhallen;-;-;4750,00;entwidmet;09200511;Griechischer Park
00008100_00302ffe;00008100:00302ffe;110211;Treptow-Köpenick;Friedrichshagen;Grünanlage;Spitzwegerichweg Fr GA;Zwischen KGA Erpetal und Weide B;-;-;2265,00;gewidmet;09501736;Hirschgarten
00008100_000a6e5b;00008100:000a6e5b;211.080;Neukölln;Buckow;Grünanlage;In den Gärten-Grünanlage;-;-;-;3739,00;gewidmet;08200832;Buckow Mitte
00008100_003031ee;00008100:003031ee;110251;Treptow-Köpenick;Friedrichshagen;Grünanlage;Erpetal/ Neuhagener Mühlenfließ Fr GA;LSG von Brücke KGA Am Kurpark bis Hinter dem Kurpark (Straße);-;-;11026,00;-;09501736;Hirschgarten
00008100_0033db8a;00008100:0033db8a;100241;Treptow-Köpenick;Köpenick;Grünanlage;Hämmerlingstraße/ Wuhlewanderweg Köp GA;Hämmerlingstraße zum Forum;-;-;3671,40;gewidmet;09501939;Bahnhofstraße
00008100_001c6962;00008100:001c6962;100291;Treptow-Köpenick;Köpenick;Grünanlage;Mahlsdorfer Straße/ Gehsener Straße Köp GA;(6b/2-7);-;-;3004,00;gewidmet;09502043;Dammheide
00008100_000a6d56;00008100:000a6d56;411.021;Neukölln;Neukölln;Grünanlage;Böhmische Strasse;-;-;-;1369,00;gewidmet;08100416;Alt-Rixdorf
00008100_001c63fb;00008100:001c63fb;100361;Treptow-Köpenick;Köpenick;Grünanlage;Müggelschlößchenweg/ Alfred-Randt-Straße ggü. Nr. 34 Köp GA;neben Kaufhalle Alfred- Randt-Str;-;-;2939,60;gewidmet;09401433;Allende II
00008100_002518a7;00008100:002518a7;100591;Treptow-Köpenick;Köpenick;Grünanlage;Wanderweg am Müggelsee Köp GA;Uferweg;-;-;958,00;-;09401329;Kietzer Feld/Nachtheide
