Technischer Schlüssel;Schlüssel;Objektnummer;Bezirk;Ortsteil;Art der Grünanlage;Name der Grünanlage;Namenszusatz der Grünanlage;Baujahr;letztes Sanierungsjahr;Größe in m² (Kataster);Widmung;Nummer des Planungsraumes;Name des Planungsraumes
00008100_0022f501;00008100:0022f501;216810;Mitte;Tiergarten;Grünanlage;Köbisstr. ;"an der Köbisstr. Nord ""Canisiusgarten""";-;-;2440,00;gewidmet;01100102;Großer Tiergarten
00008100_0019946e;00008100:0019946e;2301123;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Freifläche Oschatzer Ring;Oschatzer Ring;-;-;4819,00;gewidmet;10200423;Böhlener Straße
00008100_00199143;00008100:00199143;00862;Marzahn-Hellersdorf;Marzahn;Grünanlage;Marchwitzastraße 51/ 53;Grünanlage nach Kita-Abriss;2002;-;7484,00;gewidmet;10100312;Springpfuhl
00008100_00199355;00008100:00199355;2301293;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Grünfläche  Jänschwalder Str.;Dreiecksfläche;-;-;1039,00;gewidmet;10200524;Adele-Sandrock-Straße
00008100_001991cf;00008100:001991cf;00316;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Nordpromenade,;Biesdorf/ Süd;1980;-;6691,90;gewidmet;10300733;Alt-Biesdorf
00008100_0014ba99;00008100:0014ba99;251200;Mitte;Moabit;Grünanlage;Seestr. 131 Tiergarten;Restgrünfläche;-;-;1112,00;gewidmet;01200517;Huttenkiez
00008100_00199456;00008100:00199456;00182;Marzahn-Hellersdorf;Marzahn;Grünanlage;Karl-Holtz-Platz;Stadtplatz;1986;-;5259,00;gewidmet;10100209;Lea-Grundig-Straße
00008100_00199455;00008100:00199455;00173;Marzahn-Hellersdorf;Marzahn;Grünanlage;Max-Herrmann-Straße - Ringkolonnaden;Ringkolonnaden;1990;-;14198,00;gewidmet;10100208;Bürgerpark
00008100_00199474;00008100:00199474;2300188;Marzahn-Hellersdorf;Kaulsdorf;Grünanlage;Um Kaulsdorfer Seen;Kaulsdorf Süd;-;-;366361,00;gewidmet;10400837;Kaulsdorf Süd
00008100_0019946f;00008100:0019946f;2300169;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Windschutzstreifen Gülzower Str.;zw.Gülzower und Glauchauer Str.;-;-;25706,00;gewidmet;10200630;Cecilienplatz
00008100_001991da;00008100:001991da;00284;Marzahn-Hellersdorf;Marzahn;Grünanlage;Landsberger Allee/ Pöhlbergstraße;Grünanlage am Friedhof u.zur Pöhlebergst;1985;-;6821,10;gewidmet;10100315;Bärenstein
00008100_002819c3;00008100:002819c3;R05-26003;Marzahn-Hellersdorf;Marzahn;Grünanlage;Kienberg südlich BMG und BMG 1;-;-;2016;212129,00;gewidmet;10100316;Landsberger Tor
00008100_0014ba13;00008100:0014ba13;115720;Mitte;Mitte;Grünanlage;Nordpark auf dem Friedrichswerder ;Kurstr/ Niederwallstr./ Caroline-von-Humboldt-Weg;-;-;3298,00;gewidmet;01100207;Leipziger Straße
00008100_0019919b;00008100:0019919b;00312;Marzahn-Hellersdorf;Biesdorf;Grünanlage;"""Wuhlegarten"",";südlich Cecilienstr.bis Altentreptower;1995;2007;289940,20;gewidmet;10300732;Buckower Ring
00008100_00282d6b;00008100:00282d6b;R02-25162;Marzahn-Hellersdorf;Marzahn;Grünanlage;Ringkolonnaden - DEGEWO-Fläche;Teilung 31.01.2019, 1. Teilfläche;-;-;4638,00;gewidmet;10100208;Bürgerpark
00008100_00199460;00008100:00199460;2300186;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Landsberger Chaussee, 186;Öffentliche Grünanlage;-;-;12740,00;gewidmet;10200417;Zossener Straße
00008100_0019943c;00008100:0019943c;00153;Marzahn-Hellersdorf;Marzahn;Grünanlage;Seelgraben Marzahn/ Westpark;Dessauer Straße, Geraer Ring - südlich;1994;2006;107856,00;gewidmet;10100101;Marzahn West
00008100_0019964f;00008100:0019964f;2302641;Marzahn-Hellersdorf;Marzahn;Grünanlage;Alfred-Döblin-Straße 33 B im Grünzug;Garten der Begegnungen;2007;-;3724,00;-;10100208;Bürgerpark
00008100_000a3007;00008100:000a3007;00206;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;Grünanlage;Siemensdamm/Letterhausweg - GA;Grünanlage westl. Letterhausweg;-;-;6804,00;gewidmet;04100101;Jungfernheide/Plötzensee
00008100_000a2f43;00008100:000a2f43;00754;Charlottenburg-Wilmersdorf;Schmargendorf;Grünanlage;Platz am Wilden Eber - Grünanlage;Platzmitte;-;-;1685,00;gewidmet;04400832;Breite Straße
00008100_0014bbd0;00008100:0014bbd0;159210;Mitte;Mitte;Grünanlage;Spreekanalpromenade zw. Schleusenbrücke u. Sperlingsgasse;-;-;-;1291,00;gewidmet;01100207;Leipziger Straße
00008100_0019966a;00008100:0019966a;2300160;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Windschutzstreifen;zw.Glauchauer Str.und Riesaer Str.;-;-;45755,00;gewidmet;10200525;Schleipfuhl
00008100_00199446;00008100:00199446;00177;Marzahn-Hellersdorf;Marzahn;Grünanlage;Lea-Grundig-Str. 2 - 18;Spielberg im Wohnhof;1986;-;5271,50;gewidmet;10100209;Lea-Grundig-Straße
00008100_0014b833;00008100:0014b833;256500;Mitte;Moabit;Grünanlage;Quitzowstr. 109;20565;-;-;1492,00;gewidmet;01200623;Stephankiez
00008100_0024c151;00008100:0024c151;R02-24622;Marzahn-Hellersdorf;Marzahn;Grünanlage;Grünanlage Gehrenseestraße;bis zu den Bitterfelder Teichen;2017;2018;24682,50;gewidmet;10100205;Gewerbegebiet Bitterfelder Straße
00008100_00199559;00008100:00199559;2301543;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Paradiessiedlung Grünanlage;Walsheimer Straße;2006;2019;5851,00;gewidmet;10300733;Alt-Biesdorf
00008100_0019932f;00008100:0019932f;2301331;Marzahn-Hellersdorf;Marzahn;Grünanlage;Eugen-Roth-Weg;Grünanlage nach Schulabriss;2005;-;8072,70;gewidmet;10100312;Springpfuhl
00008100_002819c7;00008100:002819c7;R05-26004;Marzahn-Hellersdorf;Marzahn;Grünanlage;Kienberg/Wuhletal;-;-;2016;139228,00;gewidmet;10100316;Landsberger Tor
00008100_000a31b2;00008100:000a31b2;00024;Charlottenburg-Wilmersdorf;Schmargendorf;Grünanlage;Grieser Platz - Grünanlage;-;-;-;360,00;gewidmet;04400727;Flinsberger Platz
00008100_001991d0;00008100:001991d0;00314;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Schlosspark Biesdorf ;Gartendenkmal;1887;1995;32654,80;gewidmet;10300733;Alt-Biesdorf
00008100_001994c2;00008100:001994c2;00695;Marzahn-Hellersdorf;Marzahn;Grünanlage;Landsberger Tor - Stadtgarten;Wellenpark an der Spitzmühler Straße;1999;-;13932,00;gewidmet;10100316;Landsberger Tor
00008100_000a3003;00008100:000a3003;00180;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Schirwindter Allee - Wäldchen - GA;Angerburger Allee bis Tharauer Allee;-;-;4527,00;gewidmet;04200204;Angerburger Allee
00008100_0019931d;00008100:0019931d;2301355;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Barnimhang- öff. Durchwegung;zw. Alt-Mahlsdorf und Elsenstraße;-;-;24447,00;gewidmet;10400940;Elsensee
00008100_000a3008;00008100:000a3008;00183;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Eosanderstr. 20c - Grünanlage;"""Eosanderplatz""";-;-;1332,00;gewidmet;04300619;Alt-Lietzow
00008100_0014bd44;00008100:0014bd44;142610;Mitte;Mitte;Grünanlage;Gipsstr. 29 - 30;"""Gipsdreieck""";-;-;3229,00;gewidmet;01100309;Oranienburger Straße
00008100_00199207;00008100:00199207;00292;Marzahn-Hellersdorf;Marzahn;Grünanlage;Pekrunstraße 51 - 69;breiter Gehölzstreifen;1986;-;3400,00;gewidmet;10100314;Auersbergstraße
00008100_00199414;00008100:00199414;00131;Marzahn-Hellersdorf;Marzahn;Grünanlage;Hellersdorfer Weg;Fachvermögen des SGA Grün;1995;1997;8281,00;gewidmet;10100205;Gewerbegebiet Bitterfelder Straße
00008100_0019942c;00008100:0019942c;00150;Marzahn-Hellersdorf;Marzahn;Grünanlage;Geraer Ring - Lärmschutzwall am Grünzug;Lärmschutzwall;1992;-;4521,10;gewidmet;10100101;Marzahn West
00008100_0019919d;00008100:0019919d;00257;Marzahn-Hellersdorf;Marzahn;Grünanlage;Kiebitzgrund, an der Landsberger Allee;Dreiecksfläche;1984;-;977,00;gewidmet;10100313;Alt-Marzahn
00008100_000a2fea;00008100:000a2fea;00155;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Steinplatz - Grünanlage;-;-;2018;3414,00;gewidmet;04300624;Savignyplatz
00008100_00199442;00008100:00199442;00207;Marzahn-Hellersdorf;Marzahn;Grünanlage;Ahrensfelder Berge;Ahrensfelder Berge;1993;-;300545,00;gewidmet;10100207;Ahrensfelder Berge
00008100_00199356;00008100:00199356;2301291;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Grünfläche Elsenstraße;Elsenstraße/ Kressenweg;-;-;4374,00;gewidmet;10400940;Elsensee
00008100_001991b9;00008100:001991b9;00299;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Cecilienstraße 182;zum Wuhlgarten, zur Garzauer Str.;1986;-;3473,00;gewidmet;10300732;Buckower Ring
00008100_000a3109;00008100:000a3109;01206;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Stuttgarter Platz - Grünanlage;ggb. 1-11, Wilmersdorfer bis Lewisham;2011;-;6067,00;gewidmet;04300623;Karl-August-Platz
00008100_000a30a6;00008100:000a30a6;00041;Charlottenburg-Wilmersdorf;Grunewald;Grünanlage;Koenigsallee 75a - Grünanlage;-;-;-;2400,00;gewidmet;04400729;Hundekehle
00008100_002d9b44;00008100:002d9b44;60013;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Stresemannstr. zw. 38-44;Wilhelmstr. zw. 131 und 138;1991;1999;3797,00;gewidmet;02100101;Askanischer Platz
00008100_002f3afc;00008100:002f3afc;61260;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Tunnelstr. 40;-;-;-;280,00;gewidmet;02500836;Stralauer Halbinsel
00008100_00199182;00008100:00199182;00328;Marzahn-Hellersdorf;Biesdorf;Grünanlage;südlich Alt Biesdorf bis Heerstraße;an der Wuhle - östlich Einzelgrundstücke;1996;-;9632,00;gewidmet;10300734;Biesdorf Süd
00008100_001991d8;00008100:001991d8;00268;Marzahn-Hellersdorf;Marzahn;Grünanlage;Dorf Marzahn, Lesegarten, südlich Dorf;am Rebhuhnweg / an der Blenheimstraße;1984;2007;5592,70;gewidmet;10100313;Alt-Marzahn
00008100_001994fd;00008100:001994fd;2302021;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Erholungsfläche Hermsdorfer Straße;Hermsdorfer Straße;-;-;1388,00;gewidmet;10200525;Schleipfuhl
00008100_002752c2;00008100:002752c2;R05-25009;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Grünanlage Wurzener Straße;Wurzener Straße;-;-;2044,00;gewidmet;10200423;Böhlener Straße
00008100_002adce5;00008100:002adce5;00285a;Marzahn-Hellersdorf;Marzahn;Grünanlage;Dorf Alt -Marzahn Weideflächen;-;-;-;9997,10;gewidmet;10100313;Alt-Marzahn
00008100_001994df;00008100:001994df;00696;Marzahn-Hellersdorf;Marzahn;Grünanlage;Altlandsberger Platz- Landsberger Tor;Zinndorfer Straße/Hasenholzer Allee;1999;-;5803,00;gewidmet;10100316;Landsberger Tor
00008100_00199247;00008100:00199247;2307301;Marzahn-Hellersdorf;Marzahn;Grünanlage;Informations- und Erinnerungsort;NS-Zwangslager Marzahn, O.-Rosenberg-Pl.;2011;-;948,00;gewidmet;10100205;Gewerbegebiet Bitterfelder Straße
00008100_00199450;00008100:00199450;00170;Marzahn-Hellersdorf;Marzahn;Grünanlage;Hochzeitspark Marzahn Teil 1;zw. Ludwig-Renn-Straße und A.-Döblin-Straße;1988;2006;4751,00;gewidmet;10100208;Bürgerpark
00008100_00199144;00008100:00199144;00858;Marzahn-Hellersdorf;Marzahn;Grünanlage;Klandorfer Straße 34/36;und FS 343 (ehemal. Giebelfläche);2002;2004;11922,00;gewidmet;10100102;Rosenbecker Straße
00008100_00199457;00008100:00199457;00204;Marzahn-Hellersdorf;Marzahn;Grünanlage;Landsberger Allee 565;Dreiecksfläche Ringenwalder/Brodowiner R;1996;-;5802,00;gewidmet;10100207;Ahrensfelder Berge
00008100_001991fd;00008100:001991fd;00254;Marzahn-Hellersdorf;Marzahn;Grünanlage;Paul-Schwenk-Straße Wohnhof;Hof und Flächen um Kita;1984;-;8724,00;gewidmet;10100313;Alt-Marzahn
00008100_00199262;00008100:00199262;2306661;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Südlich Cecilienstraße/ Blumberger Damm;neue Öffentliche Grünanlage;2012;-;4383,40;gewidmet;10300732;Buckower Ring
00008100_00146ba0;00008100:00146ba0;60290;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Weidenweg neben 42;Giebel Pflegeheim;-;-;751,00;gewidmet;02400522;Richard-Sorge-Viertel
00008100_0019973d;00008100:0019973d;2300191;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;West.der Wuhle KNII;(zw.Cecilien Str. u.Rohrbruchpark);-;-;33335,00;gewidmet;10200627;Am Kienberg
00008100_00199461;00008100:00199461;2300184;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Freifläche an der Frohburger Str.;Frohburger Straße;-;-;17003,00;gewidmet;10200525;Schleipfuhl
00008100_00199438;00008100:00199438;00155;Marzahn-Hellersdorf;Marzahn;Grünanlage;Gleisschleife Ahrensfelde, und am Dorf;Klandorfer Straße am Stützpunkt;1987;-;4088,50;gewidmet;10100102;Rosenbecker Straße
00008100_00146bbc;00008100:00146bbc;60313;Friedrichshain-Kreuzberg;Friedrichshain;Grünanlage;Warschauer Straße, Grünanl.;Brücke;-;-;1331,00;gewidmet;02500834;Revaler Straße
00008100_00146e12;00008100:00146e12;50101;Friedrichshain-Kreuzberg;Kreuzberg;Grünanlage;Kohlfurter Str. 38;Fraenkelufer neben 10;-;-;1838,00;gewidmet;02100106;Wassertorplatz
00008100_002fbbee;00008100:002fbbee;216100;Mitte;Tiergarten;Grünanlage;Herkulesufer;-;-;-;1245,00;gewidmet;01100102;Großer Tiergarten
00008100_0019946b;00008100:0019946b;2301247;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Hellersdorfer Graben, 1247;(zw.Brücke Kastanienallee u.Jug.Club U 5;-;-;12549,00;gewidmet;10200526;Boulevard Kastanienallee
00008100_0019945d;00008100:0019945d;2300189;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Wuhle Eisenacher u.Feld.Ring;(Abschnitt zw. Eisenacher u.Feldberger;-;-;59218,00;gewidmet;10200420;Gut Hellersdorf
00008100_0019966d;00008100:0019966d;2301086;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Durlacher Platz;Durlacher Straße;-;-;6467,00;gewidmet;10400940;Elsensee
00008100_00349642;00008100:00349642;00130.01;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;Grünanlage;Charlottenburg Nord - Halemweg - Grünanlage;Halemweg - westl. Heilmannring;2022;-;-;gewidmet;04100101;Jungfernheide/Plötzensee
00008100_001994a9;00008100:001994a9;00793;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Wuhlegrünzug, westlich der Wuhle;zw. Zimmermannstraße u.Bischofstaler Str;2000;2008;22807,80;gewidmet;10300734;Biesdorf Süd
00008100_001991ba;00008100:001991ba;00323;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Walslebener Platz;Biesdorf/ Süd;1996;-;9247,00;gewidmet;10300734;Biesdorf Süd
00008100_00199656;00008100:00199656;2300137;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Grünanlage an der Rahnsdorfer Str.;Rahnsdorfer Straße;-;-;2548,00;gewidmet;10400941;Pilgramer Straße
00008100_00199439;00008100:00199439;00152;Marzahn-Hellersdorf;Marzahn;Grünanlage;Seelgrabenpark Marzahn/ Nord;Wuhletalstraße, nördlich ;1994;2008;218293,50;gewidmet;10100103;Wittenberger Straße
00008100_0014bbef;00008100:0014bbef;216400;Mitte;Tiergarten;Grünanlage;Kluckstr. 1-17 Schutzstreifen;Schöneberger Ufer bis Lützowstr.;-;-;1697,00;gewidmet;01100103;Lützowstraße
00008100_0014bdae;00008100:0014bdae;337600;Mitte;Gesundbrunnen;Grünanlage;Hochstr. Ecke Wiesenstr.;ggü. Wiesenstr. 23B an der S-Bahn;-;-;325,00;gewidmet;01300836;Humboldthain Nordwest
00008100_00199353;00008100:00199353;2301294;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Windschutzstreifen (Verlängerung);zw.Jänschwalder Str. und Hoyerswerdaer;-;-;8897,00;gewidmet;10200524;Adele-Sandrock-Straße
00008100_00282db1;00008100:00282db1;R02-25163;Marzahn-Hellersdorf;Marzahn;Grünanlage;Bürgerpark Marzahn  DEGEWO-Fläche;Teilung 31.01.2019, 2. Teilfläche;-;-;167,10;gewidmet;10100208;Bürgerpark
00008100_000a30c6;00008100:000a30c6;00032;Charlottenburg-Wilmersdorf;Schmargendorf;Grünanlage;Krampasplatz - Grünanlage;-;-;-;799,00;gewidmet;04400832;Breite Straße
00008100_000a306a;00008100:000a306a;00133;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Wiesendamm/Spreeuferweg - GA (Dahlemer Wiese);Dahlemer Wiese;-;-;5483,00;gewidmet;04200308;Branitzer Platz
00008100_0014b80a;00008100:0014b80a;102210;Mitte;Mitte;Grünanlage;Köpenicker Str.- Heinrich-Heine-Str.;Schmidstr. Druckerei;-;-;1715,00;gewidmet;01100313;Heine-Viertel Ost
00008100_001991f2;00008100:001991f2;00227;Marzahn-Hellersdorf;Marzahn;Grünanlage;Springpfuhlpark Murtzaner Ring/Märkische;zw.H.-Weigel-Platz und neuem Kaufland;1980;2007;57941,20;gewidmet;10100312;Springpfuhl
00008100_0014bd1f;00008100:0014bd1f;127310;Mitte;Mitte;Grünanlage;Max-Beer-Str. - Schendelpark;"""Schendelpark""";-;-;1663,00;gewidmet;01100310;Alexanderplatzviertel
00008100_00241bd9;00008100:00241bd9;R07-24411;Marzahn-Hellersdorf;Kaulsdorf;Grünanlage;Grünflächen entlang der Wuhle;südlich der Altentreptower Straße;-;-;13185,00;gewidmet;10400836;Alt-Kaulsdorf
00008100_000a2ffd;00008100:000a2ffd;00142;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Tegeler Weg - Grünanlage;Bonhoefferufer bis Bhf. Jungfernheide;-;-;7696,00;gewidmet;04300517;Tegeler Weg
00008100_0019940a;00008100:0019940a;00186;Marzahn-Hellersdorf;Marzahn;Grünanlage;Wuhletalstraße-an der Gleisschleife, 186;Straßenbahnschleife Wuhletalstraße;1986;-;17323,00;gewidmet;10100206;Wuhletalstraße
00008100_0019948e;00008100:0019948e;00701;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Schmetterlingswiesen - Brodersengarten;Wuhlegrünzug ;1999;-;105510,40;gewidmet;10300734;Biesdorf Süd
00008100_002819eb;00008100:002819eb;R07-26010;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Märkischer Garten mit Festplatz;-;2016;-;5475,00;gewidmet;10200627;Am Kienberg
00008100_001992b8;00008100:001992b8;2301454;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Öffentliche Grünanlage, 2301454;Packet - Park;-;-;6964,00;gewidmet;10200629;Teterower Ring
00008100_000a314c;00008100:000a314c;00630;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;Grünanlage;Goerdelerdamm - Paul-Hertz-Siedlung - GA;Grünfläche am Goerdelersteg;-;-;2853,00;künftige Widmung;04100102;Paul-Hertz-Siedlung
00008100_00199213;00008100:00199213;00278;Marzahn-Hellersdorf;Marzahn;Grünanlage;Hain der Freundschaft;zw. Bärensteinstr. u. Kienbergstr.;1985;-;20833,10;gewidmet;10100315;Bärenstein
00008100_00245135;00008100:00245135;R06-24534;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Hellersdorfer Graben(Albert-Kuntz-Straße);zw.Fußgängerbrücke und Louis-Lewin-Straße;-;-;5099,00;gewidmet;10200524;Adele-Sandrock-Straße
00008100_00199739;00008100:00199739;2300195;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Wuhle -Rev.5 bis Eisenacher Str.;Grenze Rev.9 bis an die Eisenacher Str.;-;-;104773,00;gewidmet;10200418;Kyritzer Straße
00008100_001991bb;00008100:001991bb;00322;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Garziner Platz,;Biesdorf/ Süd;1996;2010;4608,30;gewidmet;10300734;Biesdorf Süd
00008100_000a2feb;00008100:000a2feb;00153;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Sophie-Charlotten-Platz - GA;-;-;-;2959,00;gewidmet;04300414;Schloßstraße
00008100_000a3061;00008100:000a3061;01255;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Schuhmannplatz - Grünanlage;Waldschulallee/Harbigstr.;-;-;1882,20;gewidmet;04200207;Eichkamp
00008100_001991a7;00008100:001991a7;00285;Marzahn-Hellersdorf;Marzahn;Grünanlage;Dorf Alt-Marzahn - Am Mühlenberg;Grünanlagen bis Marktplatz;1986;-;7408,20;gewidmet;10100313;Alt-Marzahn
00008100_0019942a;00008100:0019942a;00134;Marzahn-Hellersdorf;Marzahn;Grünanlage;Wiesenburger Weg, Grünanl.hinter Friedh.;östlich der Boxberger Straße;1997;-;71628,50;gewidmet;10100205;Gewerbegebiet Bitterfelder Straße
00008100_00199628;00008100:00199628;2303361;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Biesdorfer Promenade/ Wasserweg;östlich Blumberger Damm;1960;2007;1097,70;gewidmet;10300732;Buckower Ring
00008100_0019943d;00008100:0019943d;00193;Marzahn-Hellersdorf;Marzahn;Grünanlage;Brodowiner Ring/Hohensaatener Str.;um RHB Marzahn-Ost;1987;-;19784,40;gewidmet;10100207;Ahrensfelder Berge
00008100_00199148;00008100:00199148;00864;Marzahn-Hellersdorf;Marzahn;Grünanlage;Mehrower Allee 86/ 88,;Grünanlage nach Kita-Abriß;2002;-;6457,00;gewidmet;10100209;Lea-Grundig-Straße
00008100_0019967c;00008100:0019967c;2300130;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Ullrichplatz - Teil 1;Ullrichstraße;1969;1990;4748,60;gewidmet;10400941;Pilgramer Straße
00008100_00199318;00008100:00199318;2301354;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Stadtgarten Biesdorf-Süd;Grabensprung/ Minsker Straße;2004;2018;17163,60;gewidmet;10300733;Alt-Biesdorf
00008100_0019951c;00008100:0019951c;2301606;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;"Grünfläche  ""Hellersdorfer Graben""";Sebnitzer Straße 6, 8;-;-;9609,00;gewidmet;10200524;Adele-Sandrock-Straße
00008100_001991e3;00008100:001991e3;00286;Marzahn-Hellersdorf;Marzahn;Grünanlage;Poelchaustraße - nördlich;Grünzug am Siedlungsgebiet;1986;-;10323,80;gewidmet;10100313;Alt-Marzahn
00008100_001b5d3d;00008100:001b5d3d;R05-23437;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Grünanlage Oschatzer Ring ;ehm.Sonderschule,Oschatzer Ring 1;-;-;4832,00;gewidmet;10200423;Böhlener Straße
00008100_0019918c;00008100:0019918c;00301;Marzahn-Hellersdorf;Biesdorf;Grünanlage;Biesdorfer Promenade, Biesdorf/ Nord;zw. Eugen-Roth-Weg u. Blumberger Damm;1979;-;15828,00;gewidmet;10300731;Oberfeldstraße
00008100_00199452;00008100:00199452;00132;Marzahn-Hellersdorf;Marzahn;Grünanlage;Wolfener/Leunaer/Schkopauer/Nordring;Grüne Wegeverbindung im Gewerbegebiet, 7.BA;1997;-;19078,00;gewidmet;10100205;Gewerbegebiet Bitterfelder Straße
00008100_002ab7d3;00008100:002ab7d3;00207a;Marzahn-Hellersdorf;Marzahn;Grünanlage;Um Ahrensfelder Berge;-;-;-;54008,00;gewidmet;10100207;Ahrensfelder Berge
00008100_0019965c;00008100:0019965c;2301111;Marzahn-Hellersdorf;Hellersdorf;Grünanlage;Grünanlage Waldheimer Str.;Waldheimer/Döbelner Str.;-;-;14286,00;gewidmet;10200525;Schleipfuhl
00008100_00224a87;00008100:00224a87;R02-23906;Marzahn-Hellersdorf;Marzahn;Grünanlage;Ringkolonnaden Erweiterung Max-Herrmann-Str. 6;Rückauflassung zum 01.04.2018;2009;-;390,60;gewidmet;10100208;Bürgerpark
00008100_001991f7;00008100:001991f7;00258;Marzahn-Hellersdorf;Marzahn;Grünanlage;Fichtelbergstraße 18/28;zum Salanderweg;1982;-;6614,60;gewidmet;10100314;Auersbergstraße
00008100_0019967e;00008100:0019967e;2300135;Marzahn-Hellersdorf;Mahlsdorf;Grünanlage;Lehnitzplatz;Lenitzstraße/ Bütower Straße;1993;-;9909,50;gewidmet;10400941;Pilgramer Straße
00008100_0019920f;00008100:0019920f;00221;Marzahn-Hellersdorf;Marzahn;Grünanlage;Marchwitzastr./ Allee d.Kosmonauten;Heinz-Graffunder-Park;1982;-;44253,80;gewidmet;10100312;Springpfuhl
00008100_000a330a;00008100:000a330a;01258;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Spreewiesen - GA;Rahmengrün Kleingartenkolonie;-;-;5380,00;künftige Widmung;04200308;Branitzer Platz
00008100_001991a2;00008100:001991a2;00295;Marzahn-Hellersdorf;Marzahn;Grünanlage;"""Wiesenpark"" Landsberger Tor, 295";Wuhlepark südl. Landsberger Allee;1995;-;205960,00;gewidmet;10100316;Landsberger Tor
00008100_000a3125;00008100:000a3125;01159;Charlottenburg-Wilmersdorf;Westend;Grünanlage;Spreeuferweg / Tiefer Grund - GA;nördl. Kol. Tiefer Grund II;-;-;1090,00;künftige Widmung;04200308;Branitzer Platz
00008100_000a300a;00008100:000a300a;00163;Charlottenburg-Wilmersdorf;Charlottenburg;Grünanlage;Gervinusstr. 28 - Grünanlage;/Holtzendorffstr.;-;-;1600,00;gewidmet;04500936;Droysenstraße
00008100_002dd64d;00008100:002dd64d;254430;Mitte;Tiergarten;Grünanlage;Schleusenkrug;Pachtfläche;-;-;1053,50;gewidmet;01100102;Großer Tiergarten
00008100_001c6a03;00008100:001c6a03;110051;Treptow-Köpenick;Friedrichshagen;Grünanlage;Dahlwitzer Landstraße/ Hinter dem Kurpark I Fr GA;ohne waldähnlichen Teil - Gartendenkmal;-;-;37556,00;gewidmet;09501736;Hirschgarten
00008100_000a3301;00008100:000a3301;01054;Charlottenburg-Wilmersdorf;Wilmersdorf;Grünanlage;Pfalzburger Str. 35-38 - Grünanlage;-;-;-;1097,00;gewidmet;04501147;Leon-Jessel-Platz
00008100_0029052f;00008100:0029052f;110191;Treptow-Köpenick;Friedrichshagen;Grünanlage;Josef-Nawrocki-Straße/ Müggelpark Pachtfläche Fr SOP;Cafe Müggelpark;-;-;344,00;-;09501737;Alt-Friedrichshagen
00008100_00251ee7;00008100:00251ee7;120071;Treptow-Köpenick;Rahnsdorf;Grünanlage;Wolfgang-Steinitz-Straße/ Lagunenweg Ra GA;naturnahe Parkanlage;-;-;21472,80;gewidmet;09501838;Rahnsdorf
00008100_001c6704;00008100:001c6704;060071;Treptow-Köpenick;Altglienicke;Grünanlage;Gerosteig /Ortolfstraße Ag GA;-;-;-;19774,00;gewidmet;09300920;Dorf Altglienicke
