Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_000e3bf6,00008100:000e3bf6,102110,Steglitz-Zehlendorf,Dahlem,Spielplatz,Edwin-Redslob-Straße SP,-,-,-,1594.00,gewidmet,06400844,Dahlem,1369.35
00008100_000e3c93,00008100:000e3c93,101774,Steglitz-Zehlendorf,Steglitz,Spielplatz,Külzer Straße 3 SP,Jeverstraße / Külzer Straße,-,-,1504.00,gewidmet,06100209,Feuerbachstraße,825.93
00008100_000e3c99,00008100:000e3c99,101993,Steglitz-Zehlendorf,Lichterfelde,Spielplatz,Rütliplatz SP,Carstennstraße / Berner Straße,-,-,973.00,gewidmet,06300632,Schweizer Viertel,616.54
00008100_000e3c97,00008100:000e3c97,101994,Steglitz-Zehlendorf,Lankwitz,Spielplatz,Elisabethstraße 37 SP,Charlottenstraße / Elisabethstraße,-,-,853.00,gewidmet,06200314,Kaiser-Wilhelm-Straße,244.86
00008100_0011dfb2,00008100:0011dfb2,40485,Spandau,Siemensstadt,Spielplatz,Jugendweg (KS),"Ecke Rohrdamm (ehem. R-Reinick-GS (KS), 13629",-,2019,2402.00,-,05300841,Siemensdamm,2223.00
00008100_0011df22,00008100:0011df22,60115,Spandau,Staaken,Spielplatz,Torweg (KS),Ecke Isenburger Weg,2005,2018,2185.00,gewidmet,05200418,Isenburger Weg,2185.00
00008100_0011dfac,00008100:0011dfac,41680,Spandau,Wilhelmstadt,Spielplatz,Wörther Platz (KS),-,-,-,1073.00,gewidmet,05200631,Wilhelmstadt Ost,947.00
00008100_0011e3c2,00008100:0011e3c2,30270,Spandau,Wilhelmstadt,Spielplatz,Jaczostraße (KS), ,-,2020,4110.00,gewidmet,05200634,Börnicker Straße,2877.00
00008100_00212c40,00008100:00212c40,23657,Spandau,Spandau,Spielplatz,Jägerstraße,-,2015, ,715.00,gewidmet,05200630,Wilhelmstadt West,850.00
00008100_002a7e5e,00008100:002a7e5e,61242,Spandau,Haselhorst,Spielplatz,Haselhorster Damm-Saatwinkler Damm-KS,an der  Weihnachtskirche,2020,-,1841.00,gewidmet,05300737,Gartenfelder Straße,1841.00
00008100_0011e130,00008100:0011e130,00555,Spandau,Spandau,Spielplatz,Mittelstraße (KS), ,1998,-,3000.00,gewidmet,05100315,Ackerstraße,2624.00
00008100_0011dfb8,00008100:0011dfb8,40121,Spandau,Spandau,Spielplatz,Parkstraße (KS),-,-,2012,2099.00,gewidmet,05100313,Eiswerder,600.00
00008100_0011df9c,00008100:0011df9c,41630,Spandau,Staaken,Spielplatz,Spandauer Straße (KS),-,-,2019,4170.00,gewidmet,05200421,Spandauer Straße,4170.00
00008100_0011dec4,00008100:0011dec4,60821,Spandau,Spandau,Spielplatz,Altstadt-Markt (KS),Breite Str.,-,-,90.00,-,05100316,Carl-Schurz-Straße,90.00
00008100_0011e2a4,00008100:0011e2a4,50044,Spandau,Wilhelmstadt,Spielplatz,Metzer Platz (KKS),Tiefbau,-,-,36.00,-,05200630,Wilhelmstadt West,36.00
00008100_0011e00b,00008100:0011e00b,00114,Spandau,Falkenhagener Feld,Spielplatz,Germersheimer Platz-westl. (BS),Ballspielplatz,-,2015,1232.00,gewidmet,05100210,Germersheimer Platz,1232.00
00008100_0011df08,00008100:0011df08,60147,Spandau,Gatow,Spielplatz,Havelblick (KS),Gustav-Haestskau-Str.,-,-,380.00,gewidmet,05400942,Alt-Gatow,380.00
00008100_0011dfc5,00008100:0011dfc5,40301,Spandau,Spandau,Spielplatz,Stresow-Plantage (KS),-,-,2021,1646.00,gewidmet,05100317,Freiheit,1200.00
00008100_0011df3b,00008100:0011df3b,60079,Spandau,Hakenfelde,Spielplatz,Boca-Raton-Straße (KS),Wasserstadt-Maselakekanal,2001,2020,1345.00,gewidmet,05100103,Mertensstraße,1345.00
00008100_002f9adc,00008100:002f9adc,40062,Spandau,Falkenhagener Feld,Spielplatz,Germersheimer Platz-Calesthenics,-,2022,-,103.00,gewidmet,05100210,Germersheimer Platz,103.00
00008100_002f9b08,00008100:002f9b08,60214,Spandau,Kladow,Spielplatz,Landstadt Gatow Pumptrack,-,2020,-,1403.00,gewidmet,05400943,Jägerallee,1403.00
00008100_0011e2eb,00008100:0011e2eb,00708,Spandau,Hakenfelde,Spielplatz,Havelspitze-Uferpromenade (KS),-,1998,-,827.00,gewidmet,05100104,Maselake,827.00
00008100_002ae6b3,00008100:002ae6b3,60130,Spandau,Kladow,Spielplatz,George-Caylay-Str (KS),-,-,-,273.00,-,05400943,Jägerallee,273.00
00008100_002d9762,00008100:002d9762,40232,Spandau,Spandau,Spielplatz,Spektegrünzug A-(KS)-Jenneweg 1 ,Georg-Ramin-Park,-,-,214.00,gewidmet,05100316,Carl-Schurz-Straße,214.11
00008100_0011def4,00008100:0011def4,60401,Spandau,Kladow,Spielplatz,Saint-Exupery-Straße (KS)-Landstadt Gatow,an der Kita Süd,2004,-,303.00,gewidmet,05400943,Jägerallee,300.00
00008100_002fa061,00008100:002fa061,60215,Spandau,Kladow,Spielplatz,Landstadt Gatow Calesthenics-Anlage,-,2020,-,211.00,gewidmet,05400943,Jägerallee,211.00
00008100_0011df9b,00008100:0011df9b,40070,Spandau,Staaken,Spielplatz,Hauptstraße 30 (KS),-,-,2017,1186.00,gewidmet,05200422,Werkstraße,1080.00
00008100_0011e301,00008100:0011e301,00663,Spandau,Staaken,Spielplatz,Am Rain (KS),innerhalb Grünanlage Am Rain,1997,-,560.00,gewidmet,05200524,Döberitzer Weg,560.00
00008100_002cd319,00008100:002cd319,01201,Spandau,Gatow,Spielplatz,Rothenbücher Weg Pfirsichweg (KS),-,2018,-,145.00,gewidmet,05400942,Alt-Gatow,145.00
00008100_0011df5d,00008100:0011df5d,40031,Spandau,Hakenfelde,Spielplatz,Wansdorfer Platz I (BS),Schwendyweg,-,2020,571.00,gewidmet,05100105,Amorbacher Weg,571.00
00008100_0011e011,00008100:0011e011,00112,Spandau,Hakenfelde,Spielplatz,Wansdorfer Platz II (KS),Michelstadter Weg,2020,-,585.00,gewidmet,05100105,Amorbacher Weg,585.00
00008100_0011df92,00008100:0011df92,41650,Spandau,Falkenhagener Feld,Spielplatz,Im Spektefeld (KS),"Bereich Sportanlage ""im Spektefeld""",-,-,1596.00,gewidmet,05100208,Im Spektefeld,1596.00
00008100_0011df87,00008100:0011df87,40061,Spandau,Falkenhagener Feld,Spielplatz,Germersheimer Platz-östl. (KS),-,-,2020,797.00,gewidmet,05100210,Germersheimer Platz,797.00
00008100_0011df82,00008100:0011df82,49904,Spandau,Spandau,Spielplatz,Altstadt-Alte Stadtmauer (KKS),Remisenplatz,-,-,301.00,gewidmet,05100316,Carl-Schurz-Straße,300.00
00008100_0011df88,00008100:0011df88,41660,Spandau,Wilhelmstadt,Spielplatz,Schmidt-Knobelsdorf-Straße (KS),Seeburger Str.,1982,2011,4490.00,gewidmet,05200630,Wilhelmstadt West,4460.00
00008100_0011e2fe,00008100:0011e2fe,00664,Spandau,Hakenfelde,Spielplatz,Aalemannufer-Zu den Fichtewiesen (KS),Wasserstadt II,1997,2017,370.00,gewidmet,05100101,Hakenfelde Nord,370.00
00008100_0011dfa9,00008100:0011dfa9,40020,Spandau,Wilhelmstadt,Spielplatz,Reclamweg (BS),-,-,-,495.00,gewidmet,05200527,Maulbeerallee,495.00
00008100_002a19dc,00008100:002a19dc,12228,Spandau,Staaken,Spielplatz,Hohenlohe-KS Seegefelder Weg,parallel zur Landesgrenze Berlin-Brandenburg,2020,-,2069.00,gewidmet,05100207,An der Tränke,584.69
00008100_0011de9e,00008100:0011de9e,61681,Spandau,Haselhorst,Spielplatz,Gorgasring (KS),-,-,2016,1612.00,gewidmet,05300737,Gartenfelder Straße,1043.00
00008100_0011dfaa,00008100:0011dfaa,40441,Spandau,Haselhorst,Spielplatz,Zitadelle-östl Glacis (KKS),Fledermäuse am Turm,-,2015,299.00,gewidmet,05300736,Zitadellenweg,299.00
00008100_002d1f57,00008100:002d1f57,70122,Spandau,Haselhorst,Spielplatz,Ufergrünzug Salzhof (KS),-,2021,-,993.00,gewidmet,05300735,Haveleck,993.00
00008100_000a3270,00008100:000a3270,01109,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Holsteinische Str. 33 - Spielplatz,Spielplatz Holsteinische Str.,-,2006,1157.00,gewidmet,04501149,Nikolsburger Platz,727.00
00008100_000a318d,00008100:000a318d,00541,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Mindener Str. 18 - Spielplatz,Spielplatz,-,-,603.00,gewidmet,04300517,Tegeler Weg,510.00
00008100_000a31a3,00008100:000a31a3,00532,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Goethestr. 11a - Spielplatz,Spielplatz Goethestr.,-,2016,1012.00,gewidmet,04300624,Savignyplatz,937.00
00008100_000a317e,00008100:000a317e,00539,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Königin-Elisabeth-Str. 51 - Spielplatz,ehem. Spielplatz Soorstr.,-,1995,2207.00,gewidmet,04200311,Königin-Elisabeth-Straße,1415.00
00008100_000a3275,00008100:000a3275,01212,Charlottenburg-Wilmersdorf,Grunewald,Spielplatz,Wildentensteig 7 - Spielplatz,Spielplatz Wildentensteig,-,-,1166.00,gewidmet,04400729,Hundekehle,1166.62
00008100_000a328c,00008100:000a328c,00895,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Krampasplatz - Spielplatz,Spielplatz Krampasplatz,-,-,240.00,gewidmet,04400832,Breite Straße,239.00
00008100_002b0d17,00008100:002b0d17,01255.1,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Schuhmannplatz - Spielplatz,Spielplatz am Mommsenstadion,2020,-,2060.80,gewidmet,04200207,Eichkamp,2061.80
00008100_000a3253,00008100:000a3253,00781,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Eisenzahnstr. 6 / Paulsborner Str. - Spielplatz,Spielplatz Paulsborner Str.,-,-,2056.00,gewidmet,04500938,Hochmeisterplatz,1145.46
00008100_000a3288,00008100:000a3288,00906,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Plöner Str. 14 - Spielplatz,Spielplatz Plöner Str.,-,-,3625.00,gewidmet,04400727,Flinsberger Platz,2235.00
00008100_000a3266,00008100:000a3266,00788,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Xantener Str. 03 - Spielplatz,Spielplatz Xantener Str.,-,-,1415.00,gewidmet,04501043,Preußenpark,1050.00
00008100_000a328b,00008100:000a328b,00900,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Misdroyer Str. 04 - Spielplatz,Spielplatz Misdroyer Str.,-,2023,782.00,gewidmet,04400832,Breite Straße,769.00
00008100_000a3133,00008100:000a3133,01142,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Rudolstädter Str. - Skateranlage,ggü. Ermslebener Weg,2007,2021,960.00,-,04501148,Brabanter Platz,960.00
00008100_000a3280,00008100:000a3280,00790,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Gieselerstr. 23 - Spielplatz,Spielplatz Gieselerstr.,-,-,657.00,gewidmet,04501147,Leon-Jessel-Platz,476.00
00008100_000a31af,00008100:000a31af,00538,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Hessenallee - Spielstraße,Spielplatz Hessenallee,-,-,301.00,-,04200310,Fürstenplatz,301.00
00008100_000a328e,00008100:000a328e,00903,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Kissinger Platz - Spielplatz,Spielplatz Kissinger Platz,-,-,616.00,gewidmet,04400830,Forckenbeckstraße,610.00
00008100_000a3265,00008100:000a3265,00901,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Heiligendammer Str. 5 - Spielplatz,Spielplatz Heiligendammer Str.,-,-,336.00,gewidmet,04400832,Breite Straße,224.00
00008100_000a326d,00008100:000a326d,00876,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Nikolsburger Str. 6-7 - Spielplatz,Aladin Spielplatz ,2006,2023,3563.00,gewidmet,04501149,Nikolsburger Platz,2707.00
00008100_000a325d,00008100:000a325d,00782,Charlottenburg-Wilmersdorf,Halensee,Spielplatz,Joachim-Friedrich-Str. 47 - Spielplatz,Spielplatz Joachim-Friedrichstr.,-,-,1240.00,gewidmet,04500938,Hochmeisterplatz,866.00
00008100_000a3287,00008100:000a3287,00787,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Habermannplatz - Spielplatz,Spielplatz Habermannplatz,-,2004,3470.00,gewidmet,04501147,Leon-Jessel-Platz,2168.00
00008100_000a3257,00008100:000a3257,00890,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Heidelberger Platz - Spielplatz,Ballspielplatz Heidelberger Platz,-,-,152.00,gewidmet,04400834,Binger Straße,136.00
00008100_000a31c6,00008100:000a31c6,00531,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Sesenheimer Str. - Spielplatz,-,-,2016,2055.00,gewidmet,04300623,Karl-August-Platz,2559.00
00008100_000a3254,00008100:000a3254,00784,Charlottenburg-Wilmersdorf,Halensee,Spielplatz,Georg-Wilhelm-Str. 5-6 - Spielplatz,Spielplatz Georg-Wilhelm-Str.,2007,-,3917.00,gewidmet,04500937,Halensee,3000.00
00008100_000a3189,00008100:000a3189,00503,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Knesebeckstr. 78/79 - Spielplatz,Robin Hood-Spielplatz,-,2018,1539.00,gewidmet,04501041,George-Grosz-Platz,1525.53
00008100_000a323e,00008100:000a323e,00873,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Landhausstr. 29 - Spielplatz,Spielplatz Landhausstr.,-,-,1773.00,gewidmet,04501149,Nikolsburger Platz,1228.00
00008100_000a3283,00008100:000a3283,00929,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Offenbacher Str. - Spielplatz,Spielplatz Offenbacher Str.,-,-,807.00,gewidmet,04400835,Rüdesheimer Platz,630.00
00008100_000a323c,00008100:000a323c,01088,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Pariser Str. 10 - Spielplatz,Spielplatz Pariser Str.,-,-,662.00,gewidmet,04501045,Schaperstraße,460.00
00008100_000a324d,00008100:000a324d,00944,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Wilhelmsaue - Spielplatz,Spielplatz Wilhelmsaue,-,2016,1667.00,gewidmet,04501150,Wilhelmsaue,943.00
00008100_000a31a2,00008100:000a31a2,00530,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Wielandstr. 10 - Spielplatz,Jim-Knopf-Spielplatz,-,-,1745.00,gewidmet,04501041,George-Grosz-Platz,1589.00
00008100_000a3191,00008100:000a3191,00518,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Kurländer Platz/Kurländer Allee - Spielplatz,-,1980,-,130.00,-,04200207,Eichkamp,130.00
00008100_000a318e,00008100:000a318e,00562,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Oldenburgallee 29 - Spielplatz,-,-,-,2516.00,gewidmet,04200309,Neu Westend,787.00
00008100_000a31c8,00008100:000a31c8,00519,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Olbersstr. 23 - Spielplatz,Spielplatz Gallesteig,-,-,1598.00,gewidmet,04300517,Tegeler Weg,1305.00
00008100_000a3259,00008100:000a3259,00894,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Kolberger Platz - Spielplatz,Spielplatz Kolberger Platz,-,2018,377.00,gewidmet,04400830,Forckenbeckstraße,376.95
00008100_000a3258,00008100:000a3258,01169,Charlottenburg-Wilmersdorf,Grunewald,Spielplatz,Warmbrunner Str. 6-8 . Spielplatz,Spielplatz Warmbrunner Str.,-,-,3349.00,gewidmet,04400726,Bismarckallee,3347.88
00008100_000a317a,00008100:000a317a,00510,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Schlüterstr. 24 / Wielandstr. 42 - Spielplatz,Spielplatz Schlüterstr./Wielandstr.,-,2015,2143.00,gewidmet,04300624,Savignyplatz,2043.00
00008100_000a323f,00008100:000a323f,00851,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Schaperstr. 06-08 - Spielplatz,Spielplatz Schaperstr.,-,2022,1529.00,gewidmet,04501045,Schaperstraße,1361.00
00008100_000a3171,00008100:000a3171,00533,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Stuttgarter Platz/Windscheidstr. - Spielplatz,-,-,-,1421.00,künftige Widmung,04300416,Amtsgerichtsplatz,1420.85
00008100_000a3199,00008100:000a3199,00526,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Pestalozzistr./ Fritschestr. 52 - Spielplatz,Günter-Schwannecke-Spielplatz,-,-,1174.00,gewidmet,04300416,Amtsgerichtsplatz,861.00
00008100_000a3170,00008100:000a3170,00534,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Niebuhrstr. 33 - Spielplatz,-,-,-,1344.00,gewidmet,04501040,Hindemithplatz,828.00
00008100_000a3188,00008100:000a3188,00528,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Mommsenstr. 48/49 - Spielplatz,Schneewittchen-Spielplatz,2008,-,2307.00,gewidmet,04501040,Hindemithplatz,1662.00
00008100_000a326c,00008100:000a326c,00878,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Bamberger Str. 25 - Spielplatz,Spielplatz Bamberger Str.,-,-,946.00,gewidmet,04501152,Prager Platz,926.42
00008100_000a3284,00008100:000a3284,00887,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Wiesbadener Str. 36 - Spielplatz,Spielplatz Wiesbadener Str.,-,2017,3300.00,gewidmet,04400834,Binger Straße,3000.00
00008100_000a3246,00008100:000a3246,00789,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Eisenzahnstr. 54 - Spielplatz,Spielplatz Eisenzahnstr.,-,-,1045.00,gewidmet,04500939,Eisenzahnstraße,700.15
00008100_002fb7a8,00008100:002fb7a8,00488.1,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Galvanistr./Röntgenbrücke - Spielplatz,Spielplatz Galvanistr.,-,2020,1813.00,gewidmet,04300619,Alt-Lietzow,1835.60
00008100_002fcc6b,00008100:002fcc6b,01503,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Olivaer Platz - Spielplatz,Spielplatz Olivaer Platz,2021,-,873.30,gewidmet,04501043,Preußenpark,685.49
00008100_0032b429,00008100:0032b429,00512.01,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,Spielplatz,Charlottenburg Nord - Halemweg - Ballspielplatz,Bolzplatz,-,-,320.00,gewidmet,04100101,Jungfernheide/Plötzensee,317.21
00008100_000a31a8,00008100:000a31a8,00505,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Bleibtreustr. 2 - Spielplatz,Spielplatz Bleibtreustr.,-,-,271.00,gewidmet,04300624,Savignyplatz,220.15
00008100_000a31cc,00008100:000a31cc,00933,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Fritschestr. 38 - Spielplatz,Spielplatz,-,-,706.00,gewidmet,04300416,Amtsgerichtsplatz,589.00
00008100_000a31a4,00008100:000a31a4,00502,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Gierkezeile 43 - Spielplatz,Spielplatz (Gierkeplatz 13),-,-,612.00,gewidmet,04300621,Richard-Wagner-Straße,574.63
00008100_000a3182,00008100:000a3182,00918,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Alt-Lietzow - Spielplatz,Spielplatz Alt-Lietzow,-,2016,560.00,gewidmet,04300619,Alt-Lietzow,565.09
00008100_000a3256,00008100:000a3256,01140,Charlottenburg-Wilmersdorf,Schmargendorf,Spielplatz,Grieser Platz - Spielplatz,Spielplatz Grieser Platz,-,-,1010.00,gewidmet,04400727,Flinsberger Platz,673.00
00008100_000a31ca,00008100:000a31ca,00529,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Waitzstr. 10 - Spielplatz,-,-,-,996.00,gewidmet,04500936,Droysenstraße,672.00
00008100_000a3281,00008100:000a3281,00797,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Mansfelder Str. 17 - Spielplatz,Spielplatz Mansfelder Str.,-,-,1815.00,gewidmet,04501146,Barstraße,1707.00
00008100_000a3269,00008100:000a3269,00877,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Aschaffenburger Str. 21-22 - Spielplatz,Spielplatz Aschaffenburger Str.,-,-,2185.00,gewidmet,04501152,Prager Platz,1617.21
00008100_002d9631,00008100:002d9631,00189.1,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Reichsstr.- Spielplatz,-,2021,-,2779.00,gewidmet,04200309,Neu Westend,2779.00
00008100_000a31c4,00008100:000a31c4,00545,Charlottenburg-Wilmersdorf,Westend,Spielplatz,Spreetalallee 3 - Ballspielplatz,Ballspielplatz,-,-,1048.00,gewidmet,04200308,Branitzer Platz,519.00
00008100_000a31b1,00008100:000a31b1,00553,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Schillerstr. 086,Spielhaus,-,-,3047.00,-,04300623,Karl-August-Platz,2321.00
00008100_000a31a5,00008100:000a31a5,00525,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Schillerstr. 108 / Herderstr. - Spielplatz,Spielplatz Schillerstr./Herderstr.,-,2022,1319.00,gewidmet,04300624,Savignyplatz,1155.00
00008100_000a325f,00008100:000a325f,00888,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Homburger Str. 14 - Spielplatz,Spielplatz Homburger Str.,-,2018,3627.00,gewidmet,04400835,Rüdesheimer Platz,2910.05
00008100_000a328d,00008100:000a328d,00886,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Rudolf-Mosse-Platz - Spielplatz,Rudolf-Mosse-Str. 6,-,-,1836.00,gewidmet,04400833,Schlangenbader Straße,1147.00
00008100_000a328a,00008100:000a328a,00858,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Eberbacher Str. - Spielplatz,Spielplatz Eberbacher Str.,-,-,845.00,gewidmet,04400834,Binger Straße,777.30
00008100_000a3157,00008100:000a3157,00487,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Tegeler Weg - Spielplatz,Spielplatz,-,2024,641.00,gewidmet,04300517,Tegeler Weg,641.00
00008100_000a323d,00008100:000a323d,00882,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Holsteinische Str. 45 - Spielplatz,ASP Holsteinische Str.,-,-,1757.00,gewidmet,04501149,Nikolsburger Platz,879.00
00008100_000a326b,00008100:000a326b,00881,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Pfalzburger Str. 38 - Spielplatz,Spielplatz AOK Pfalzburger Str.,-,-,1572.00,gewidmet,04501147,Leon-Jessel-Platz,970.00
00008100_000a3260,00008100:000a3260,00796,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Blüthgenstr. 5 - Spielplatz,Spielplatz Blüthgenstr.,-,2024,752.00,gewidmet,04500939,Eisenzahnstraße,751.14
00008100_000a3273,00008100:000a3273,00931,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Ludwigkirchplatz - Spielplatz,Spielplatz Ludwigkirchplatz,-,-,1488.00,gewidmet,04501044,Ludwigkirchplatz,1018.00
00008100_000a31b9,00008100:000a31b9,00949,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Eosanderstr. 06 - Spielplatz,Spielplatz Dschungelbuch,-,-,1061.00,gewidmet,04300619,Alt-Lietzow,827.89
00008100_000a31c7,00008100:000a31c7,00580,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Gierkezeile 04 - Spielplatz,"Spielplatz  Villa Kunterbunt,  (Zillestr. 87)",-,-,1160.00,gewidmet,04300621,Richard-Wagner-Straße,1140.00
00008100_000a31b4,00008100:000a31b4,00527,Charlottenburg-Wilmersdorf,Charlottenburg,Spielplatz,Margarete-und-Arthur-Eloesser-Park - Spielplatz,Gervinusstr. - Spielplatz,-,-,4850.00,gewidmet,04500936,Droysenstraße,2604.00
00008100_000a326f,00008100:000a326f,00879,Charlottenburg-Wilmersdorf,Wilmersdorf,Spielplatz,Pfalzburger Str. 19c - Spielplatz,Spielplatz Pfalzburger Str. 19c,-,2014,1499.00,gewidmet,04501044,Ludwigkirchplatz,992.00
00008100_0016ce80,00008100:0016ce80,70190,Pankow,Weißensee,Spielplatz,Mahlerstr.  27,-,2005,-,1451.00,-,03500936,Komponistenviertel Weißensee,875.00
00008100_0016d078,00008100:0016d078,00883,Pankow,Rosenthal,Spielplatz,Hauptstr. vor 171,An der Vogelweide,-,-,477.00,gewidmet,03400618,Rosenthal,386.00
00008100_0016d312,00008100:0016d312,70205,Pankow,Prenzlauer Berg,Spielplatz,Norwegerstr. 1/ Behmstr.,-,2016,-,1434.00,gewidmet,03601140,Malmöer Straße,556.00
00008100_0016cf29,00008100:0016cf29,79441,Pankow,Prenzlauer Berg,Spielplatz,Oderberger Str. 19,Hirschhof,2012,-,3599.00,gewidmet,03701554,Teutoburger Platz,2341.00
00008100_0016d0ce,00008100:0016d0ce,00781,Pankow,Französisch Buchholz,Spielplatz,Tiriotstr.,-,1998,-,2977.00,gewidmet,03200310,Krugpfuhl,1860.00
00008100_0016d248,00008100:0016d248,70857,Pankow,Prenzlauer Berg,Spielplatz,Syringenweg ggü. 7 - Spielplatz,-,-,-,462.00,gewidmet,03601450,Volkspark Prenzlauer Berg,436.00
00008100_0016cf11,00008100:0016cf11,00894,Pankow,Pankow,Spielplatz,Mühlenstr. 22-24,-,2007,-,4627.00,gewidmet,03400721,Florakiez,3504.00
00008100_0016d152,00008100:0016d152,70827,Pankow,Prenzlauer Berg,Spielplatz,Thomas-Mann-Str. ggü. 61,-,-,-,621.00,gewidmet,03601449,Michelangelostraße,569.00
00008100_0016d40e,00008100:0016d40e,70907,Pankow,Prenzlauer Berg,Spielplatz,Pasteurstr. 24,-,-,-,973.00,gewidmet,03701660,Bötzowstraße,712.00
00008100_0016cf59,00008100:0016cf59,78401,Pankow,Prenzlauer Berg,Spielplatz,Christburger Str. 34,-,2006,-,413.00,gewidmet,03701658,Christburger Straße,366.00
00008100_0035a51d,00008100:0035a51d,78520,Pankow,Weißensee,Spielplatz,Heinersdorfer/Chalottenburger Str,-,-,-,416.20,-,03500934,Weißenseer Spitze,278.15
00008100_0016d111,00008100:0016d111,00062,Pankow,Pankow,Spielplatz,Trelleborger Str. 44,-,-,2012,6084.00,gewidmet,03400827,Trelleborger Viertel,3287.00
00008100_0016d0e5,00008100:0016d0e5,00656,Pankow,Niederschönhausen,Spielplatz,SP Wilhelm-Wolff-Str. 23,-,-,-,1434.00,gewidmet,03200206,Pastor-Niemöller-Platz,1028.00
00008100_0016d3a2,00008100:0016d3a2,00522,Pankow,Pankow,Spielplatz,Prenzlauer Promenade 148,-,-,-,1219.00,gewidmet,03400829,Arnold-Zweig-Straße,1094.00
00008100_0016d0ad,00008100:0016d0ad,00024,Pankow,Pankow,Spielplatz,Kreuzstr./ Wollankstr. - Spielplatz,-,-,-,700.00,gewidmet,03400721,Florakiez,395.00
