Technischer Schlüssel,Schlüssel,Objektnummer,Bezirk,Ortsteil,Art der Grünanlage,Name des Spielplatzes,Namenszusatz des Spielplatzes,Baujahr,letztes Sanierungsjahr,Größe in m² (Kataster),Widmung,Nummer des Planungsraumes,Name des Planungsraumes,Nettospielfläche in m²
00008100_0019935e,00008100:0019935e,2301244,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Waldheimer/Jenaer Str.-Bolzplatz,Waldheimer Straße,2000,-,473.00,gewidmet,10200525,Schleipfuhl,472.86
00008100_001994fc,00008100:001994fc,2301981,Marzahn-Hellersdorf,Biesdorf,Spielplatz,"Habichtshorst 1 ""Am Brodersengarten""",Spielplatz in den Schmetterlingswiesen,2005,-,565.70,gewidmet,10300734,Biesdorf Süd,565.65
00008100_001991ac,00008100:001991ac,00236,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grünzug Akazienwäldchen/Murtzaner Ring 23 - 29,-,1983,-,207.10,gewidmet,10100312,Springpfuhl,207.11
00008100_001991fa,00008100:001991fa,00259,Marzahn-Hellersdorf,Marzahn,Spielplatz,Fichtelbergstraße 20 Wohnhof,Spielbereich an der Kita,1984,-,103.00,gewidmet,10100314,Auersbergstraße,102.23
00008100_00199176,00008100:00199176,00228,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Springpfuhlpark, Spielplatz",hinter Murtzaner Ring 63-69,1983,-,287.00,gewidmet,10100312,Springpfuhl,286.09
00008100_0019973c,00008100:0019973c,2300567,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Ullrichplatz - Spielplatz,Ullrichstraße,-,-,733.70,gewidmet,10400941,Pilgramer Straße,733.00
00008100_0019945a,00008100:0019945a,00178,Marzahn-Hellersdorf,Marzahn,Spielplatz,Lea-Grundig-Str. - Spielberg,Spielberg im Innenhof,1986,-,669.00,gewidmet,10100209,Lea-Grundig-Straße,311.62
00008100_00199231,00008100:00199231,2307641,Marzahn-Hellersdorf,Kaulsdorf,Spielplatz,Wilhelmplatz - Spielplatz,Planitzstraße/Mädewalder Weg,2012,-,913.00,gewidmet,10400836,Alt-Kaulsdorf,913.86
00008100_0019925e,00008100:0019925e,2306861,Marzahn-Hellersdorf,Marzahn,Spielplatz,Alfred-Döblin-Straße - Spielplatz,südlich Sportplatz W.-Felsenstein-Str.,2009,-,373.10,gewidmet,10100208,Bürgerpark,373.15
00008100_00199407,00008100:00199407,00194,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Brodowiner Ring, am RHB",Plansche Marzahn/ Ost,1987,-,69.00,gewidmet,10100207,Ahrensfelder Berge,68.90
00008100_0024c5ed,00008100:0024c5ed,R04-24638,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Stadtgarten Biesdorf Spielplatz ,Spielplatz Minsker Straße mit Wasser-Sprühfeld,2017,-,1574.50,gewidmet,10300733,Alt-Biesdorf,1574.40
00008100_00199731,00008100:00199731,2300575,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Teterower Ring -Spielplatz,Teterower Ring,-,-,3063.00,gewidmet,10200629,Teterower Ring,1623.91
00008100_0020a38b,00008100:0020a38b,R05-23507,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Öff.Spielplatz Oschatzer Ring,ehm.Schulgrundstück Oschatzer Ring 1,2014,-,1828.00,gewidmet,10200423,Böhlener Straße,397.68
00008100_00199449,00008100:00199449,00205,Marzahn-Hellersdorf,Marzahn,Spielplatz,Landsberger Allee 565 - Spielplatz,Brodowiner Ring/ Ringenwalder Straße,1996,-,729.00,gewidmet,10100207,Ahrensfelder Berge,728.12
00008100_001991f9,00008100:001991f9,00256,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Paul-Schwenk-Straße, Wohnhof ",Bolzplatz,1984,-,970.00,gewidmet,10100313,Alt-Marzahn,965.52
00008100_0019918a,00008100:0019918a,00250,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Bruno-Baum-Straße - Grünzug, Spielplatz",Bolz- und Spielplatz am RHB,1983,-,1781.50,gewidmet,10100313,Alt-Marzahn,868.10
00008100_00199771,00008100:00199771,2301261,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Alte Hellersdorfer  Str. Spielplatz,Alte  Hellersdorfer  Straße (Hasenpfuhl),-,-,1857.00,gewidmet,10200627,Am Kienberg,787.37
00008100_00199420,00008100:00199420,00181,Marzahn-Hellersdorf,Marzahn,Spielplatz,Grohsteig 23 - Bolzplatz,Bolzplatz am Grohsteig/ Jan-Petersen-Straße,1986,-,858.00,gewidmet,10100209,Lea-Grundig-Straße,796.75
00008100_00199246,00008100:00199246,2307361,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Südlich Cecilienstraße - Ballspielanlage,Höhe Blumberger Damm 14,2010,-,1946.00,gewidmet,10300732,Buckower Ring,1945.96
00008100_001991d1,00008100:001991d1,00300,Marzahn-Hellersdorf,Biesdorf,Spielplatz,Cecilienstraße 182,Spielbereich zum Wuhlgarten,1986,-,582.70,gewidmet,10300732,Buckower Ring,583.00
00008100_0019931b,00008100:0019931b,2301353,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Spielplatz an der Frohburger Straße,Frohburger Straße,-,-,765.00,gewidmet,10200525,Schleipfuhl,765.00
00008100_001991f4,00008100:001991f4,00224,Marzahn-Hellersdorf,Marzahn,Spielplatz,Marchwitzastr/ Allee d.Kosmonauten/,Spielbereich hinter Marchwitzastr. 35/37,1983,-,756.00,gewidmet,10100312,Springpfuhl,701.40
00008100_00199264,00008100:00199264,2306721,Marzahn-Hellersdorf,Marzahn,Spielplatz,Hohensaatener Straße,neuer Ballspielplatz,2007,-,568.00,gewidmet,10100207,Ahrensfelder Berge,567.99
00008100_00199727,00008100:00199727,2300581,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Windschutzstreifen-Spielplatz,Carola- Neher- Str.,-,-,1194.00,gewidmet,10200526,Boulevard Kastanienallee,899.90
00008100_001991f3,00008100:001991f3,00279,Marzahn-Hellersdorf,Marzahn,Spielplatz,"Hain der Freundschaft, ",Spielplatz,1985,-,867.00,gewidmet,10100315,Bärenstein,866.87
00008100_00199729,00008100:00199729,2300576,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Lubminer -Spielplatz,Spielplatz - Wuhletal,-,-,7698.00,gewidmet,10200629,Teterower Ring,1993.41
00008100_001994cf,00008100:001994cf,00805,Marzahn-Hellersdorf,Marzahn,Spielplatz,"""Wiesenpark"" Landsberger Tor",Ballspielplätze,2000,-,1426.00,gewidmet,10100316,Landsberger Tor,1426.67
00008100_001994ee,00008100:001994ee,2302341,Marzahn-Hellersdorf,Marzahn,Spielplatz,Eichhorster Str. an der Gleisschleife,Bolzplatz,2000,-,1576.00,gewidmet,10100102,Rosenbecker Straße,1322.11
00008100_0019941a,00008100:0019941a,00141,Marzahn-Hellersdorf,Marzahn,Spielplatz,Clara-Zetkin-Park II,Wasserspielplatz,1989,-,569.10,gewidmet,10100104,Golliner Straße,467.22
00008100_0019949e,00008100:0019949e,00802,Marzahn-Hellersdorf,Marzahn,Spielplatz,Seelgrabenpark Marzahn/ Nord,Spielplatz Kletterolymp Kemberger Straße,2000,-,1461.40,gewidmet,10100104,Golliner Straße,1461.41
00008100_0019925d,00008100:0019925d,2306921,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Öffentlicher Spielplatz,im Regine- Hildebrandt- Park,-,-,1002.00,gewidmet,10200526,Boulevard Kastanienallee,941.00
00008100_0019933b,00008100:0019933b,2301321,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Kyritzer Str. - Bolzplatz,Am Wuhlewanderweg,-,-,3167.00,gewidmet,10200418,Kyritzer Straße,2633.06
00008100_00199332,00008100:00199332,2301328,Marzahn-Hellersdorf,Marzahn,Spielplatz,Rosenbecker Straße 37,Ecke Eichhorster Straße ,2003,-,1944.50,gewidmet,10100102,Rosenbecker Straße,1543.47
00008100_001993be,00008100:001993be,2300595,Marzahn-Hellersdorf,Hellersdorf,Spielplatz,Kastanie/Teupitzer Str.Spiel und Bolzplatz,Mittenwalder/Teupitzer Straße,-,-,5326.00,gewidmet,10200417,Zossener Straße,1515.28
00008100_00199408,00008100:00199408,00195,Marzahn-Hellersdorf,Marzahn,Spielplatz,Brodowiner Ring 22,Spielplatz,1987,-,325.00,gewidmet,10100207,Ahrensfelder Berge,324.47
00008100_0019926d,00008100:0019926d,2306441,Marzahn-Hellersdorf,Mahlsdorf,Spielplatz,Spielplatz am Waldowpark,Waldowstraße,-,-,2025.00,gewidmet,10400939,Alt-Mahlsdorf,672.50
