original_id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
2020,Kita Homburger Straße,Unknown,Unknown,Nan,Unknown,Unknown,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2021,Kita Lasiuszeile,"Lasiuszeile 6, 13585 Berlin",13585.0,Nan,Unknown,Unknown,Jugendwohnen im Kiez e.V.,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2022,"Kita ""Seespatzen""","Grottkauer Straße 33, 12621 Berlin",12621.0,Kaulsdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2023,nan,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,132.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2024,Kita Schneckenhaus,"Walporzheimer Straße 18, 13465 Berlin",13465.0,Frohnau,Unknown,Unknown,Forum Soziale Dienste Kita 1 GmbH,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2025,Ev. Kindertagesstätte der Patmos-Kirchengemeinde Steglitz,"Lepsiusstraße 25, 12163 Berlin",12163.0,Steglitz,Unknown,Unknown,Patmos-Kirchengemeinde Steglitz,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2026,Steglitzer Kinderkreisel e.V.,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2027,Ev. Kita „Johann Christoph Blumhardt“,"Buckower Damm 59/61, 12349 Berlin",12349.0,Britz,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2028,Jugend-Freizeit-Einrichtung Flemmingstraße,"Flemmingstraße 14b, 12163 Berlin",12163.0,Nan,Unknown,Unknown,Bezirksamt Steglitz-Zehlendorf,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2029,Evangelischer Kindergarten Kaulsdorf,Unknown,Unknown,Nan,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2030,Katholischer Kindergarten Maria Gnaden,"Roswithastraße 21-23, 13467 Berlin",13467.0,Hermsdorf,Unknown,Unknown,Katholische Kirchengemeinde Maria Gnaden,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2031,Kita Forumhaus,"Wilhelmsruher Damm 192, 13435 Berlin",13435.0,Nan,Unknown,Unknown,Forum Soziale Dienste,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2032,KITA „mIGELito“ Berlin-Hellersdorf,"Alte Hellersdorfer Straße 134, 12629 Berlin",12629.0,Hellersdorf,Unknown,Unknown,Unknown,Unknown,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
2033,Kinderhaus Frohnau e. V.,"Gutshofstraße 10, 13465 Berlin",13465.0,Frohnau,Unknown,Unknown,Unknown,26.0,openstreetmap,2025-08-18 07:49:16,2025-08-18 07:49:16
