area_id,area_name,Straftaten -insgesamt-,Raub,"Straßenraub, Handtaschen-raub",Körper-verletzungen -insgesamt-,Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Diebstahl -insgesamt-,Diebstahl von Kraftwagen,Diebstahl an/aus Kfz,Fahrrad- diebstahl,Wohnraum- einbruch,Branddelikte -insgesamt-,Brand- stiftung,Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten,year,data_type
32002,Blankenfelde/Niederschönhausen,5866.953077800899,30.20742431362019,20.138282875746793,540.3772571658723,114.1169362958985,375.9146136806068,2245.4185406457673,144.3243606095187,362.4890917634423,392.6965160770625,161.10626300597434,53.702087668658116,13.425521917164529,597.4357253138215,73.8403705444049,77.19675102369604,1261.9990602134658,2024,frequency
32003,Buchholz,4794.447976266158,42.38186056367874,37.0841279932189,614.5369781733418,132.44331426149608,280.7798262343717,1981.3519813519813,169.52744225471497,455.60500105954645,222.5047679593134,164.2297096842551,42.38186056367874,0,492.6891290527654,26.488662852299214,74.1682559864378,1287.3490146217418,2024,frequency
33004,Karow,3926.520102990691,44.563279857397504,9.902951079421667,435.7298474945534,99.02951079421668,227.76787482669835,1356.7042978807683,59.41770647653,163.3986928104575,277.2826302238067,198.05902158843335,49.51475539710834,24.75737769855417,777.3816597346009,133.6898395721925,34.660328777975835,1227.9659338482868,2024,frequency
33005,Blankenburg/Heinersdorf/Märchenland,10897.47382121517,82.82553392888836,35.49665739809501,851.9197775542804,207.0638348222209,366.79879311364846,3969.709519020292,106.48997219428504,508.78542270602856,301.7215878838076,301.7215878838076,88.74164349523754,11.832219132698338,1112.2285984736438,141.98662959238004,47.32887653079335,1887.238951665385,2024,frequency
34006,Schönholz/Wilhelmsruh/Rosenthal,5737.358809247335,58.05974875963264,31.668953868890533,475.034308033358,147.7884513881558,422.2527182518738,2602.1323762271722,221.68267708223374,427.5308772300222,306.1332207326085,358.9148105140927,89.72870262852318,15.834476934445266,643.9353953341075,52.78158978148422,79.17238467222633,1451.4937189908162,2024,frequency
34007,Pankow Zentrum,8380.893619209213,118.25800812381098,69.41230911614993,742.9687901691603,203.09527482132756,383.05311327060514,3992.493187310401,113.11635559668876,331.636587999383,832.9477093937991,226.23271119337753,35.991567689855515,5.141652527122217,894.6475397192658,182.5286647128387,120.8288343873721,2113.219188647231,2024,frequency
34008,Pankow Süd,6714.705961730494,59.37440962944971,26.98836801338623,674.7092003346557,143.03835047094702,358.94529457803685,3111.758831943432,197.0150864977195,456.1034194262273,626.1301379105605,161.93020808031739,51.277899225433835,21.590694410708984,931.0986964618249,167.32788168299462,62.07324643078833,1999.8380697919197,2024,frequency
35009,Weißensee,7567.226482865742,77.66236287739055,48.53897679836909,718.3768566158626,165.0325211144549,458.6933307445879,3633.1424133579267,160.178623434618,422.2890981458111,626.1528006989613,167.45946995437336,72.80846519755364,16.98864187942918,953.7908940879527,191.7289583535579,89.79710707698283,2320.1630909620426,2024,frequency
35010,Weißensee Ost,9112.253315565707,76.14696363982486,44.419062123231164,1173.9323561139665,203.05856970619962,615.5212894219176,3674.090995621549,260.16879243606826,710.7049939716986,399.7715591090805,241.13205152611204,120.56602576305602,25.382321213274952,1427.7555682467162,88.83812424646233,76.14696363982486,3280.6650168157876,2024,frequency
36011,Prenzlauer Berg Nordwest,11919.543985767708,174.27295501579349,141.5967759503322,1299.7857894927931,326.76179065461275,620.8474022437642,5834.513306466252,163.38089532730638,424.7903278509966,1042.007043531932,152.4888356388193,68.98304469375158,14.522746251316123,1415.967759503322,457.4665069164579,421.15964128816756,3601.6410703263987,2024,frequency
