stop_id,stop_name,stop_lat,stop_lon
de:11000:900110011:1:51,S Bornholmer Str. (Berlin),52.554628,13.397809
de:11000:900110011:2:52,S Bornholmer Str. (Berlin),52.55463,13.39794
de:11000:900110011:2:53,S Bornholmer Str. (Berlin),52.554635,13.39808
de:11000:900120003:3:55,S Ostkreuz Bhf (Berlin),52.503509,13.468841
de:11000:900120005:4:55,S Ostbahnhof (Berlin),52.510515,13.435336
de:11000:900120005:4:56,S Ostbahnhof (Berlin),52.510594,13.435426
de:11000:900120005:5:57,S Ostbahnhof (Berlin),52.510646,13.435474
de:11000:900120005:5:58,S Ostbahnhof (Berlin),52.510717,13.435552
de:11000:900130001:1:50,S Pankow-Heinersdorf (Berlin),52.578081,13.429448
de:11000:900130001:1:51,S Pankow-Heinersdorf (Berlin),52.578039,13.429576
de:11000:900130002:1:50,S+U Pankow (Berlin),52.566222,13.410354
de:11000:900130002:1:51,S+U Pankow (Berlin),52.566292,13.41026
de:11000:900130003:1:50,S Wollankstr. (Berlin),52.565329,13.392139
de:11000:900130003:1:51,S Wollankstr. (Berlin),52.565283,13.392058
de:11000:900135001:1:50,S Buch (Berlin),52.635818,13.491694
de:11000:900142001:1:50,S Blankenburg (Berlin),52.591376,13.443308
de:11000:900142001:1:51,S Blankenburg (Berlin),52.591334,13.443411
de:11000:900143001:1:51,S Karow Bhf (Berlin),52.615235,13.469409
de:11000:900151001:1:50,S Wartenberg (Berlin),52.573076,13.50379
de:11000:900151001:1:51,S Wartenberg (Berlin),52.573023,13.503676
de:11000:900152001:1:50,S Hohenschönhausen Bhf (Berlin),52.566268,13.512604
de:11000:900152001:1:51,S Hohenschönhausen Bhf (Berlin),52.56622,13.512489
de:11000:900152002:1:50,S Gehrenseestr. (Berlin),52.556471,13.524843
de:11000:900152002:1:51,S Gehrenseestr. (Berlin),52.556425,13.524692
de:11000:900160001:1:50,S Rummelsburg (Berlin),52.501235,13.478701
de:11000:900160001:1:51,S Rummelsburg (Berlin),52.501169,13.478667
de:11000:900160002:1:50,S Betriebsbahnhof Rummelsburg (Berlin),52.493969,13.497724
