station_id,station,line,latitude,longitude,district,district_id
94,S Schönholz (Berlin),"['S1', 'S25', 'S26', 'S85']",52.571407,13.381026,Reinickendorf,11012012
95,S Tegel (Berlin),['S25'],52.588123,13.289879,Reinickendorf,11012012
96,S Tegel (Berlin),['S25'],52.588072,13.289675,Reinickendorf,11012012
97,S Heiligensee (Berlin),['S25'],52.624476,13.229361,Reinickendorf,11012012
98,S Heiligensee (Berlin),['S25'],52.62453,13.229471,Reinickendorf,11012012
99,S Schulzendorf (Berlin),['S25'],52.612931,13.246032,Reinickendorf,11012012
100,S Eichborndamm (Berlin),['S25'],52.577688,13.317219,Reinickendorf,11012012
101,S+U Karl-Bonhoeffer-Nervenklinik (Berlin),['S25'],52.578017,13.328994,Reinickendorf,11012012
102,S+U Friedrichstr. Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.520364,13.38716,Mitte,11001001
103,S+U Friedrichstr. Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.520458,13.387211,Mitte,11001001
104,S Hackescher Markt (Berlin),"['S3', 'S5', 'S7', 'S9']",52.522663,13.402462,Mitte,11001001
105,S Hackescher Markt (Berlin),"['S3', 'S5', 'S7', 'S9']",52.522726,13.40243,Mitte,11001001
106,S+U Alexanderplatz Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.52152,13.411226,Mitte,11001001
107,S+U Alexanderplatz Bhf (Berlin),"['S3', 'S5', 'S7', 'S9']",52.521589,13.411357,Mitte,11001001
108,S+U Jannowitzbrücke (Berlin),"['S3', 'S5', 'S7', 'S9']",52.514193,13.419471,Mitte,11001001
109,S+U Jannowitzbrücke (Berlin),"['S3', 'S5', 'S7', 'S9']",52.51425,13.419526,Mitte,11001001
110,S+U Schönhauser Allee (Berlin),"['S41', 'S8', 'S85']",52.549274,13.415186,Pankow,11003003
111,S+U Schönhauser Allee (Berlin),"['S42', 'S8', 'S85']",52.549382,13.415241,Pankow,11003003
112,S Prenzlauer Allee (Berlin),"['S41', 'S8', 'S85']",52.544757,13.425865,Pankow,11003003
113,S Prenzlauer Allee (Berlin),"['S42', 'S8', 'S85']",52.54486,13.425975,Pankow,11003003
114,S Bornholmer Str. (Berlin),"['S1', 'S25', 'S26', 'S85']",52.554619,13.397673,Pankow,11003003
115,S Bornholmer Str. (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.554628,13.397809,Pankow,11003003
116,S Bornholmer Str. (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.55463,13.39794,Pankow,11003003
117,S Bornholmer Str. (Berlin),"['S1', 'S2', 'S25', 'S26', 'S85']",52.554635,13.39808,Pankow,11003003
118,S Ostkreuz Bhf (Berlin),"['S3', 'S5', 'S7', 'S75']",52.503509,13.468841,Friedrichshain-Kreuzberg,11002002
119,S Ostbahnhof (Berlin),"['S3', 'S5', 'S7', 'S9']",52.510515,13.435336,Friedrichshain-Kreuzberg,11002002
120,S Ostbahnhof (Berlin),"['S3', 'S5', 'S7', 'S75', 'S9']",52.510594,13.435426,Friedrichshain-Kreuzberg,11002002
121,S Ostbahnhof (Berlin),"['S3', 'S5', 'S7', 'S75', 'S9']",52.510646,13.435474,Friedrichshain-Kreuzberg,11002002
122,S Ostbahnhof (Berlin),"['S3', 'S5', 'S7', 'S9']",52.510717,13.435552,Friedrichshain-Kreuzberg,11002002
123,S Pankow-Heinersdorf (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.578081,13.429448,Pankow,11003003
124,S Pankow-Heinersdorf (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.578039,13.429576,Pankow,11003003
125,S+U Pankow (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.566222,13.410354,Pankow,11003003
126,S+U Pankow (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.566292,13.41026,Pankow,11003003
127,S Wollankstr. (Berlin),"['S1', 'S25', 'S85']",52.565329,13.392139,Pankow,11003003
128,S Wollankstr. (Berlin),"['S1', 'S25', 'S26', 'S85']",52.565283,13.392058,Pankow,11003003
129,S Buch (Berlin),['S2'],52.635818,13.491694,Pankow,11003003
130,S Blankenburg (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.591376,13.443308,Pankow,11003003
131,S Blankenburg (Berlin),"['S1', 'S2', 'S25', 'S26', 'S8', 'S85']",52.591334,13.443411,Pankow,11003003
132,S Karow Bhf (Berlin),['S2'],52.615235,13.469409,Pankow,11003003
133,S Wartenberg (Berlin),['S75'],52.573076,13.50379,Lichtenberg,11011011
134,S Wartenberg (Berlin),['S75'],52.573023,13.503676,Lichtenberg,11011011
135,S Hohenschönhausen Bhf (Berlin),['S75'],52.566268,13.512604,Lichtenberg,11011011
