id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at
895,"Ali Baba und seine Räuber ""Die kleinen Strolche""","Kranoldstraße 1A, 12051 Berlin",12051,Neukölln,52.46617,13.4360915,Kinderladen Ali Baba und seine Räuber e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
896,Kinderladen Mauersegler,"Lankwitzer Straße 10, 12209 Berlin",12209,Nan,52.4294656,13.3318817,Montessori-Kinderladen-Mitte e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
897,Kita Zwergplaneten,"Hobrechtstraße 8, 12043 Berlin",12043,Neukölln,52.4865934,13.427025,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
898,Kita Wichtelgarten,"Donaustraße 6, 12043 Berlin",12043,Neukölln,52.4848431,13.4304025,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
899,Hort Sonnenkids,Unknown,Unknown,Nan,52.4859971,13.4299233,AWO,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
900,Kita Mascha und der Bär,Unknown,Unknown,Nan,52.5335406,13.4363569,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
901,Die drei Affen,"Kienitzer Straße 16, 12053 Berlin",12053,Neukölln,52.4774047,13.4363789,Die drei Affen gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
902,Kita Sturmtüten,"Pasteurstraße 38, 10407 Berlin",10407,Nan,52.5319711,13.4365524,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
903,Kita Cheburashka,"Bernhard-Lichtenberg-Straße 9, 10407 Berlin",10407,Prenzlauer Berg,52.5352608,13.4370167,Cheburashka gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
904,Kleine Helden Köpenick,"Müggelheimer Straße 45, 12555 Berlin",12555,Köpenick,52.4428984,13.5822594,Kleine Helden Köpenick gGmbh,24.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
905,Grashüpferchen,"Hildburghauser Straße 73, 12279 Berlin",12279,Marienfelde,52.4149774,13.3451245,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
906,Die Ameisen,"Dudenstraße 17, 10965 Berlin",10965,Tempelhof,52.4848675,13.3826789,Aalem el Atfal - Welt der Kinder e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
907,Kita Columbus,"Weisestraße 26, 12049 Berlin",12049,Neukölln,52.4746674,13.4246236,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
908,Kita LuftBallon 2,Unknown,Unknown,Nan,52.563972,13.3304057,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
909,Bazuba Kaminka,"Dunckerstraße 77, 10437 Berlin",10437,Prenzlauer Berg,52.5435972,13.4214935,Sonnenburg Soziale Dienste gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
910,Deutsch-Chinesische Kita,"Dunckerstraße 90a, 10437 Berlin",10437,Prenzlauer Berg,52.5405349,13.4187389,Das China Büro e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
911,10 Vorne,"Schliemannstraße 33, 10437 Berlin",10437,Prenzlauer Berg,52.5437922,13.4196071,10 Vorne e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
912,Mischpoke,"Lychener Straße 76, 10437 Berlin",10437,Prenzlauer Berg,52.5464213,13.4208491,Mischpoke e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
913,Berliner Pandabären,"Schliemannstraße 42, 10437 Berlin",10437,Prenzlauer Berg,52.5418356,13.4170637,Interkulturelle Kindheit gUG,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
914,Schaukelpferd,"Schliemannstraße 47, 10437 Berlin",10437,Prenzlauer Berg,52.5410091,13.4166785,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
915,EKT - Die Mini-Entdecker e.V.,Unknown,Unknown,Nan,52.5622526,13.3575071,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
916,Kangaroo Garden,Unknown,Unknown,Nan,52.4970077,13.2977864,Kids in Berlin,20.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
917,Wallaby,Unknown,Unknown,Nan,52.4971867,13.297558,Kids in Berlin,10.0,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
918,Kinderladen Löwenherz,"Bergmannstraße 69, 10961 Berlin",10961,Nan,52.4889788,13.4004521,EKT – Löwenherz & Spunk e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
919,Kita Erdmännchen,Unknown,Unknown,Nan,52.4342756,13.4549609,Unknown,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
920,Kita Feuerfalter,"Chausseestraße 84, 10115 Berlin",10115,Mitte,52.5378211,13.3731736,Socius - Die Bildungspartner gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
921,Kita Smile,Unknown,Unknown,Nan,52.5573319,13.3420415,Smile Kindergärten gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
922,Kita Müllerstraße,"Müllerstraße 64, 13349 Berlin",13349,Wedding,52.5560566,13.3425785,Johemi Kindertagesstätten gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
923,Hort Orenda,Unknown,Unknown,Nan,52.3840683,13.3884783,IKT Stadtindianer e.V.,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
924,Krippe Barfusstraße,"Barfusstraße 14, 13349 Berlin",13349,Wedding,52.5555769,13.3473642,Johemi Kindertagesstätten gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
925,Kita Ofener Straße,"Ofener Straße 15, 13349 Berlin",13349,Wedding,52.5554114,13.3437334,Johemi Kindertagesstätten gGmbH,Unknown,openstreetmap,2025-08-18 08:53:26,2025-08-18 08:53:26
