kindergarten_id,district_id,name,address,postal_code,phone_number,email,website,coordinates,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
34,11,Kinderladen Affentheater,"Merseburger Straße 5, 10823 Berlin",10823,,,,"52.4878741,13.3526806",52.4878741,13.3526806,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Affentheater e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
35,05,Arche Moabit,"Huttenstraße 31, 10553 Berlin",10553,,,,"52.529794,13.3156844",52.529794,13.3156844,Mitte,Mitte,Arche Moabit e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
36,11,Kinderladen Atze + Co.,"Wilhelmshöher Straße 9, 12161 Berlin",12161,,,,"52.4726664,13.3246757",52.4726664,13.3246757,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Atze + Co. e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
37,06,Altenbraker Kinderladen,Unknown,0,,,,"52.4713145,13.4318601",52.4713145,13.4318601,Neukölln,Neukölln,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
38,06,Feldmäuse an der Hasenheide,"Lichtenrader Straße 11, 12049 Berlin",12049,,,,"52.4770404,13.419956",52.4770404,13.419956,Neukölln,Neukölln,Kinderladen an der Hasenheide e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
39,10,Kinderladen Blumenladen,"Moltkestraße 47, 12203 Berlin",12203,,,,"52.4459867,13.3079431",52.4459867,13.3079431,Steglitz-Zehlendorf,Steglitz-Zehlendorf,EKT-Blumenladen e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
40,01,Kita Bollerwagen,"Sophie-Charlotten-Straße 83b, 14059 Berlin",14059,,,,"52.5141335,13.2895477",52.5141335,13.2895477,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Kita Bollerwagen e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
41,02,EKT - Brausepulver e.V.,"Urbanstraße 6, 10961 Berlin",10961,,,,"52.4939862,13.4015118",52.4939862,13.4015118,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
42,02,EKT - Bunte Mischung e.V.,"Böckhstraße 47-48, 10967 Berlin",10967,,,,"52.4942784,13.4172573",52.4942784,13.4172573,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
43,06,"Kinderladen ""Lieblingsmenschen""","Nogatstraße 24, 12051 Berlin",12051,,,,"52.4693894,13.4316805",52.4693894,13.4316805,Neukölln,Neukölln,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
44,11,Kinderladen Berliner Malbüro,"Mainauer Straße 6, 12161 Berlin",12161,,,,"52.4758505,13.3258095",52.4758505,13.3258095,Tempelhof-Schöneberg,Tempelhof-Schöneberg,EKT Berliner Malbüro e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
45,07,Kita Billabong,"Greifenhagener Straße 14, 10437 Berlin",10437,,,,"52.5466679,13.4152842",52.5466679,13.4152842,Pankow,Pankow,Billabong 02 e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
46,08,EKT - Das EI,Unknown,0,,,,"52.575228,13.3545645",52.575228,13.3545645,Reinickendorf,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
47,02,EKT - Combo e.V.,10965 Berlin,10965,,,,"52.4874788,13.3936034",52.4874788,13.3936034,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
48,02,EKT - Der kleine Horrorladen e.V.,Unknown,0,,,,"52.4941875,13.4189042",52.4941875,13.4189042,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
49,03,EKT - Das tapfere Schneiderlein,Unknown,0,,,,"52.4883261,13.5243187",52.4883261,13.5243187,Lichtenberg,Lichtenberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
50,05,Cocorico et Co,"Kluckstraße 29, 10785 Berlin",10785,,,,"52.5027488,13.3614793",52.5027488,13.3614793,Mitte,Mitte,Cocorico et Co e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
51,01,CIP Kita Theo Tintenklecks,"Mierendorffstraße 21, 10589 Berlin",10589,,,,"52.5238536,13.302174",52.5238536,13.302174,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
52,01,Sonnenblume,"Christstraße 42, 14059 Berlin",14059,,,,"52.5167272,13.2932159",52.5167272,13.2932159,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
53,09,EKT - Die Knöpfe,Unknown,0,,,,"52.5557638,13.204318",52.5557638,13.204318,Spandau,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
54,06,Die Kinkies,"Weisestraße 4, 12049 Berlin",12049,,,,"52.4796947,13.4230255",52.4796947,13.4230255,Neukölln,Neukölln,EKT Die Kinkies e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
55,02,Kinderladen Monumentenbande,"Monumentenstraße 16, 10965 Berlin",10965,,,,"52.4876781,13.3742344",52.4876781,13.3742344,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Kinderladen Monumentenbande e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
56,10,EKT - Die Maulwürfe,Unknown,0,,,,"52.4173,13.3225",52.4173,13.3225,Steglitz-Zehlendorf,Steglitz-Zehlendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
57,11,Kita Tulpen,Unknown,0,,,,"52.4856076,13.3636921",52.4856076,13.3636921,Tempelhof-Schöneberg,Tempelhof-Schöneberg,Selbsthilfeprojekt für Frauen e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
58,01,Kinderladen Die Lauser,"Koblenzer Straße 7, 10715 Berlin",10715,,,,"52.4801079,13.3214015",52.4801079,13.3214015,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,Kinderladen Die Lauser e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
