id,name,address,postal_code,district,latitude,longitude,operator,capacity,source,created_at,updated_at,neighborhood
2012,Kath. Kita Bruder Klaus,"Bruno-Taut-Ring 9g, 12359 Berlin",12359,Britz,,,Katholische Pfarrgemeinde Bruder Klaus,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2013,Kath. Kita Heiliger Schutzengel,"Alt-Britz 41D, 12359 Berlin",12359,Britz,,,Katholische Pfarrgemeinde Bruder Klaus,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2014,Montessori-Kinderhaus Friedenau,Unknown,00000,Nan,,,Montessori & Friends Education gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2015,Evangelische Kita Auferstehung,"Diestelmeyerstraße 7, 10249 Berlin",10249,Nan,,,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2016,Stadtteil-Kita High-Deck,"Michael-Bohnen-Ring 18, 12057 Berlin",12057,Neukölln,,,Juwo-Kita gGmbH,120.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2017,Kita Drachen Kids,"Cottbusser Platz 12, 12627 Berlin",12627,Hellersdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2018,Waldorf-Kindergarten Mansfelder Straße e.V.,"Mansfelder Straße 37, 10709 Berlin",10709,Wilmersdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2019,Freche Früchtchen,"Matenzeile 2-4, 13053 Berlin",13053,Nan,,,Kindergärten NordOst,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2020,Kita Homburger Straße,Unknown,00000,Nan,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2021,Kita Lasiuszeile,"Lasiuszeile 6, 13585 Berlin",13585,Nan,,,Jugendwohnen im Kiez e.V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2022,"Kita ""Seespatzen""","Grottkauer Straße 33, 12621 Berlin",12621,Kaulsdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2023,Not Provided,Unknown,00000,Nan,,,Unknown,132.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2024,Kita Schneckenhaus,"Walporzheimer Straße 18, 13465 Berlin",13465,Frohnau,,,Forum Soziale Dienste Kita 1 GmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2025,Ev. Kindertagesstätte der Patmos-Kirchengemeinde Steglitz,"Lepsiusstraße 25, 12163 Berlin",12163,Steglitz,,,Patmos-Kirchengemeinde Steglitz,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2026,Steglitzer Kinderkreisel e.V.,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2027,Ev. Kita „Johann Christoph Blumhardt“,"Buckower Damm 59/61, 12349 Berlin",12349,Britz,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2028,Jugend-Freizeit-Einrichtung Flemmingstraße,"Flemmingstraße 14b, 12163 Berlin",12163,Nan,,,Bezirksamt Steglitz-Zehlendorf,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2029,Evangelischer Kindergarten Kaulsdorf,Unknown,00000,Nan,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2030,Katholischer Kindergarten Maria Gnaden,"Roswithastraße 21-23, 13467 Berlin",13467,Hermsdorf,,,Katholische Kirchengemeinde Maria Gnaden,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2031,Kita Forumhaus,"Wilhelmsruher Damm 192, 13435 Berlin",13435,Nan,,,Forum Soziale Dienste,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2032,KITA „mIGELito“ Berlin-Hellersdorf,"Alte Hellersdorfer Straße 134, 12629 Berlin",12629,Hellersdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2033,Kinderhaus Frohnau e. V.,"Gutshofstraße 10, 13465 Berlin",13465,Frohnau,,,Unknown,26.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2034,Christliche Montessori-Kindertagesstätte,"Karmeliterweg 14, 13465 Berlin",13465,Frohnau,,,Theophanu gGmbH,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2035,Kita Nordhauser Straße,"Nordhauser Straße 22, 10589 Berlin",10589,Nan,,,Kindertagesstätten Nordwest,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2036,Kita Theo & Dora,"Pilgramer Straße 311, 12623 Berlin",12623,Mahlsdorf,,,Volkssolidarität Landesverband Berlin e. V.,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2037,Emma & Lukas Kindertagesstätten,"An der Schule 1-1A, 12623 Berlin",12623,Mahlsdorf,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2038,Villa Flohkiste,"Hielscherstraße 2, 13158 Berlin",13158,Wilhelmsruh,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2039,Kita Steinbergzwerge,"Am Steinberg 35, 13086 Berlin",13086,Heinersdorf,,,Jugendwerk Aufbau Ost JAO gGmbH,105.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2040,"Kita ""Sonnenschein""","Wustrower Straße 39-41, 13051 Berlin",13051,Neu-Hohenschönhausen,,,Unknown,Unknown,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2041,Kita SpreeEule,"Küstriner Straße 49, 13055 Berlin",13055,Alt-Hohenschönhausen,,,SpreeEULE gGmbH,118.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
2042,Kita Frohnatur,Unknown,00000,Nan,,,Kindertagesstätten Nordwest,65.0,openstreetmap,2025-08-18 11:28:11,2025-08-18 11:28:11,Unknown
