Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Einrichtungsbezirk,Einrichtungsbezirk Name,Einrichtungsnummer,Einrichtungsname,Straße,Hausnummer,PLZ,Telefon,Einrichtungstyp,Trägernummer,Trägername,ETRS_YKOORDINATE,ETRS_XKOORDINATE,Erlaubte Plätze (BE)
05,Spandau,05081140,Kita Havelpiraten,An der Havelspitze,019,13587,030 55271575,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5824503.5,0379383.1,110
05,Spandau,05081150,Kita Zauberschiff,Spandauer Str.,084,13591,030 3670920,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5822245.8,0374803.3,135
05,Spandau,05081170,EKG Weinberg,Jaczostr.,52,13595,0163-0805369,Reguläre Einrichtung,8820,Ev. Kindertageseinrichtung im Kirchenkreis Spandau,5819500.7,0376910.3,15
05,Spandau,05081210,Kita Wiesenweg,Wiesenweg,020,13591,030 55874022,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5821377.4,0373823.7,130
05,Spandau,05081220,Kita Freinet-Haus Entdeckerland,Richard-Münch-Str.,001,13591,030 3699850,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5821339.3,0374461.7,150
05,Spandau,05081230,Kita Tausendfühler,Richard-Münch-Str.,069,13591,030 36479501,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5820988.0,0374410.4,100
05,Spandau,05081250,Kita Tabaluga,Olga-Tschechowa-Str.,015,13599,030 34629890,Reguläre Einrichtung,0124,Kindertagesstätten Nordwest Eigenbetrieb von Berlin,5823241.7,0379698.5,90
05,Spandau,05081260,Kita Kinder in Bewegung (KiB),Brauereihof,001,13585,030 33773950,Reguläre Einrichtung,1329,Kinder in Bewegung gGmbH Gemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports,5823408.8,0378602.7,110
05,Spandau,05081280,AWO-Kita Landstadt Gatow,Saint-Exupéry-Str.,010,14089,030 369 96 990,Reguläre Einrichtung,0151,Arbeiterwohlfahrt Kreisverband Spandau e.V.,5815042.6,0372995.3,140
05,Spandau,05081340,EKT- Gatower Straße,Gatower Str.,274,14089,030 36286825,Reguläre Einrichtung,1186,Kindgerecht e. V.,5817674.5,0376442.1,16
05,Spandau,05081350,AWO-Kita Zwergenwinkel,Zweiwinkelweg,012,13591,030 371 51 761,Reguläre Einrichtung,0151,Arbeiterwohlfahrt Kreisverband Spandau e.V.,5821754.9,0374262.0,142
05,Spandau,05081480,Kita an der Schilfdachkapelle,Waldallee,3,14089,365 092 13,Reguläre Einrichtung,8820,Ev. Kindertageseinrichtung im Kirchenkreis Spandau,5814446.8,0372795.3,20
05,Spandau,05081580,Kita Kinderparadies Spandau,Wilhelmstr.,025,13593,030 74742747,Reguläre Einrichtung,8476,IBEB Initiative für Bildung und Erziehung Berlin gemeinnützige GmbH,5820401.2,0376853.4,106
05,Spandau,05081600,Kita Villa Sprechspatzen,Pulvermühlenweg,008,13599,030 84824040,Reguläre Einrichtung,7707,BGFF - Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung e. V.,5823311.5,0379857.1,93
05,Spandau,05081620,FRÖBEL Kindergarten Siemens Technopark,Wohlrabedamm,010,13629,030 30364743,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,5821804.6,0382969.3,115
05,Spandau,05081680,Kita Schatztruhe,Heidereuterstr.,031,13597,03020603995210,Reguläre Einrichtung,1374,Havel-Kids Kinderbetreuung gGmbH,5821345.9,0378653.1,170
05,Spandau,05081690,Kita Bananas,Metzer Str.,004,13595,030 33308750,Reguläre Einrichtung,7944,Elterninitiativ Kita Bananas e. V.,5820975.9,0377601.3,33
05,Spandau,05081710,Waldfüchse Spandau,Hohenzollernring,104,13585,030 3357974,Reguläre Einrichtung,7389,Waldfüchse Spandau e.V.,5824367.7,0378266.0,16
05,Spandau,05081750,Krippe Melanchthon,Pichelsdorfer Str.,079,13595,339369026,Reguläre Einrichtung,8820,Ev. Kindertageseinrichtung im Kirchenkreis Spandau,5820613.1,0377712.7,25
05,Spandau,05081760,Kita Lasiuszeile,Lasiuszeile,006,13585,030 20339304,Reguläre Einrichtung,8071,Juwo - Kita gGmbH,5823423.3,0378187.4,87
05,Spandau,05081770,Vierfelderhof Bauernhofkindergarten,Straße 264,012,14089,030/77379595,Reguläre Einrichtung,8082,Vierfelderhof Bauernhofkindergarten gemeinnützige GmbH,5816340.5,0376024.5,35
05,Spandau,05081800,Multilingua Elsa-Neumann-Straße,Elsa-Neumann-Str.,13,13629,030 28505187,Reguläre Einrichtung,8926,Early Years gUG,5823282.9,0381365.0,70
05,Spandau,05081810,Kita Kinderarche Berlin,Germersheimer Weg,027,13583,030-12029155,Reguläre Einrichtung,8442,TW Help for Family gGmbH,5823051.6,0376941.0,40
05,Spandau,05081820,Klax Kindergarten Karlsson vom Dach,Klosterstr.,3,13581,030639623691,Reguläre Einrichtung,1214,KLAX Berlin gGmbH,5821891.1,0377789.1,100
05,Spandau,05081830,Kleiner Fratz,Flankenschanze,048,13585,030 35 13 19 15,Reguläre Einrichtung,0627,Kleiner Fratz GmbH,5822673.8,0377754.4,100
05,Spandau,05081840,FRÖBEL Kita Seeburger Straße,Seeburger Str.,009,13581,030 31168989,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,5821368.6,0377328.4,95
05,Spandau,05081850,Das Haus der kleinen Freunde,Streitstr.,074,13587,030 37584640,Reguläre Einrichtung,8245,Kinder Vision gemeinnützige GmbH,5824566.9,0378486.8,25
05,Spandau,05081860,Kita Kükenbande,Staakener Str.,016,13581,030 54833613,Reguläre Einrichtung,8257,Center Lingual gemeinnützige UG (haftungsbeschränkt),5822192.5,0376844.9,25
05,Spandau,05081870,Gerda und Rolf Schopf Kindertagesstätte,Mertensstr.,014,13587,030 33309540,Reguläre Einrichtung,1209,CJD Berlin-Brandenburg im CJD e.V.,5825377.8,0378759.0,100
05,Spandau,05081880,Kita Am Maselakepark,Am Maselakepark,021,13587,030 339379290,Reguläre Einrichtung,1343,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,5824367.7,0378841.4,150
05,Spandau,05081930,Kita Pichelsdorfer Zwerge,Pichelsdorfer Str.,053,13595,030 25209170,Reguläre Einrichtung,8357,Pichelsdorfer Zwerge gemeinnützige GmbH,5820224.1,0377698.6,50
05,Spandau,05081940,Kita Heerstraße,Heerstr.,570,13591,030 36436236,Reguläre Einrichtung,1343,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,5821060.8,0373840.9,190
05,Spandau,05081950,Kita Kindervilla Spandau,Brunsbütteler Damm,077,13581,37306129,Reguläre Einrichtung,9317,Futura Kindertagesstätten gGmbH,5821981.5,0376995.0,46
05,Spandau,05081960,Immanuel-Kita,Im Spektefeld,044,13589,030 4431237-240,Reguläre Einrichtung,8252,Christburg Campus gemeinnützige GmbH,5823771.1,0374777.3,45
05,Spandau,05081970,Siekids Bärchenbande,Schuckertdamm,343,13629,030 669 33 720,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,5822596.1,0382393.2,85
05,Spandau,05081990,Kita Kids R Kids Haus Spandau,Magistratsweg,073,13591,03080104153,Reguläre Einrichtung,8461,Kids-R-Kids gUG (haftungsbeschränkt),5821285.1,0375174.6,184
05,Spandau,05082000,Little Kiwis - Internationaler Kindergarten,Heerstr.,613,13591,030 24352136,Reguläre Einrichtung,8597,Little Kiwis Internationaler Kindergarten gemeinnützige UG (haftungsbeschränkt),5821163.3,0373391.7,59
05,Spandau,05082010,Jona's Haus (nur Sprachförderung),Schulstr.,003,13591,,Sprachförderung,8477,Stiftung Jona,5821591.8,0373746.4,10
05,Spandau,05082020,Kita Elfenbein Haselhorst,Gorgasring,015,13599,030 64160038,Reguläre Einrichtung,8150,GFBE gGmbH- Gesellschaft für Bildung und Erziehung,5822648.7,0380834.0,70
05,Spandau,05082050,Kita Silberflöte,Pichelsdorfer Str.,065,13595,030 23530805,Reguläre Einrichtung,8726,Silberflöte gemeinnützige GmbH,5820390.3,0377667.3,41
05,Spandau,05082060,Kindertagesstätte der Freien Georgschule,Götelstr.,132,13595,030 587064960,Reguläre Einrichtung,8050,Verein zur Förderung der Waldorfpädagogik Berlin-Spandau e. V.,5820725.7,0378128.3,30
05,Spandau,05082080,Kita der kleinen Knöpfchen,Mertensstr.,002,13587,030 91531974,Reguläre Einrichtung,8245,Kinder Vision gemeinnützige GmbH,5825399.0,0378650.4,25
05,Spandau,05082090,Kita Wiesenpieper,Seegefelder Str.,088,13583,030 47058920,Reguläre Einrichtung,7707,BGFF - Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung e. V.,5822462.2,0376892.5,35
05,Spandau,05082110,Kita Rex-Waite-Straße,Rex-Waite-Str.,094,14089,36286379,Reguläre Einrichtung,1230,"Humanistischer Verband Deutschlands, Landesverband Berlin-Brandenburg KdöR",5815477.0,0372878.3,90
05,Spandau,05082120,Gemeinschaftsunterkunft Am Oberhafen (nur Sprachförderung),Gartenfelder Str.,56,13599,017645950544,Sprachförderung,8568,Edusation - gemeinnützige Gesellschaft für Integration und Sprachförderung mbH,5823136.1,0381062.9,25
05,Spandau,05082130,Sprachförderung für Vorschulkinder (nur Sprachförderung),Ulrikenstr.,007,13581,030 0151 11377705,Sprachförderung,4962,Kompaxx e.V.,5821117.5,0376272.2,30
05,Spandau,05082140,Kita Grasfinken,Kandeler Weg,003,13583,030 35056317,Reguläre Einrichtung,7707,BGFF - Berliner Gesellschaft für Förderung interkultureller Bildung und Erziehung e. V.,5822849.0,0376896.4,50
05,Spandau,05082150,Kita Schatzkiste,Westerwaldstr.,020,13589,030 94790041,Reguläre Einrichtung,8836,World Kids gUG,5823934.0,0376526.2,61
05,Spandau,05082160,Kita Spürnasen,Haberlandweg,006,13591,84523796,Reguläre Einrichtung,8402,smartKids Kindertagesstätten gGmbH,5821866.8,0374839.8,76
05,Spandau,05082180,"Kita ""Lummerland""",Seegefelder Str.,034,13583,030 01724619045,Reguläre Einrichtung,8245,Kinder Vision gemeinnützige GmbH,5822281.2,0377426.8,25
05,Spandau,05082190,Kita Nusshütte,Weißenburger Str.,021,13595,030 98405721,Reguläre Einrichtung,8864,CeFi - Bildung und Verständigung gGmbH,5820743.1,0377856.9,25
05,Spandau,05082200,Kita Kiesteich-Surfer,Am Kiesteich,040,13589,030 94790204,Reguläre Einrichtung,8575,casa bambini - Gesellschaft zur Förderung und Begleitung von Kindesentwicklung mbH,5823523.1,0375413.8,119
05,Spandau,05082210,Kita Blumengarten,Seegefelder Weg,381,13591,030 34624160,Reguläre Einrichtung,8906,Kita Blumengarten gGmbH,5823344.6,0374224.3,98
05,Spandau,05082220,Kita Mondstern,Seeburger Str.,065,13581,03013891343,Reguläre Einrichtung,8903,Kinderzone gUG,5821158.7,0376792.4,70
05,Spandau,05082240,Kita Rauchstr. 17,Rauchstr.,017,13587,030 33502651,Reguläre Einrichtung,8150,GFBE gGmbH- Gesellschaft für Bildung und Erziehung,5824905.2,0378947.8,22
05,Spandau,05082250,Kita Kinderburg,Gatower Str.,095,13595,030 22320463,Reguläre Einrichtung,8740,Kinderburg gemeinnützige GmbH,5819505.9,0376659.7,50
05,Spandau,05082260,Kita Elfenbein Hakenfelde,Streitstr.,058,13587,030 33977977,Reguläre Einrichtung,8150,GFBE gGmbH- Gesellschaft für Bildung und Erziehung,5824995.3,0378538.4,40
05,Spandau,05082270,Kita der kleinen Kreativen Spandau,Falkenseer Chaussee,257,13583,030 015164751446,Reguläre Einrichtung,9170,Kita der kleinen Kreativen 2 gGmbH,5823499.1,0376781.2,165
05,Spandau,05082280,Josua Gemeinde e.V. (nur Sprachförderung),Bismarckstr.,020,13585,,Sprachförderung,7955,Josua Gemeinde e.V.,5823028.9,0377967.8,21
05,Spandau,05082290,Kita Paradiesvögel-Pinguine,Seegefelder Str.,080,13583,030 45964795,Reguläre Einrichtung,7464,eventus Bildung gGmbH,5822427.2,0376964.4,50
