kindergarten_id,district_id,name,address,postal_code,latitude,longitude,neighborhood,district,operator,capacity,source,created_at,updated_at
2074,11005005,Kita Tausendfühler,"Richard-Münch-Straße 69, 13591 Berlin",13591,,,,Spandau,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2075,,Kita Raupe Nimmersatt,Unknown,Unknown,,,,,Jugendwerk Aufbau Ost gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2076,,Montessori-Kinderhaus,"Lissabonallee 28, 14163 Berlin",14163,,,,,Stiftung Unionhilfswerk Berlin,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2077,11011011,Kita Fiorella,"Wiecker Straße 1-3, 13051 Berlin",13051,,,,Lichtenberg,JAO gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2078,11009009,Kita Rumpelbude,"Alter Markt 11, 12555 Berlin",12555,,,,Treptow-Köpenick,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2079,11002002,Kita Alte Jakobstr. 173,"Alte Jakobstraße 173, 10969 Berlin",10969,,,,Friedrichshain-Kreuzberg,Kotti e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2080,11007007,Kita Töpis Feldmäuse,"Töpchiner Weg 127, 12309 Berlin",12309,,,,Tempelhof-Schöneberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2081,11010010,Kita Waldhäuschen,"Schwabenallee 86, 12683 Berlin",12683,,,,Marzahn-Hellersdorf,Volkssolidarität Landesverband Berlin e.V.,55,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2082,,Kindergarten Mehringdamm 116,Unknown,Unknown,,,,,Kindergärten City,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2083,11009009,Kita Kietzer Feld,"Grüne Trift 178, 12557 Berlin",12557,,,,Treptow-Köpenick,Berliner Institut für Kleinkindpädagogik,100,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2084,,Kita Holzweg,"Eschengraben 49 a, 13189 Berlin",13189,,,,,Camino · Dein Weg GmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2085,,Kita Victoria,Unknown,Unknown,,,,,AS Kids & Pets Service,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2086,11010010,Kita Wuhleblick,"Cecilienstraße 184, 12683 Berlin",12683,,,,Marzahn-Hellersdorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2087,11011011,Kindergarten Falkenberg,"Dorfstraße 5, 13057 Berlin",13057,,,,Lichtenberg,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2088,,EinStein,Unknown,Unknown,,,,,Kindergärten NordOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2089,,Kita Dreikäsehoch,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2090,11003003,Kita Mandelbäumchen,"Mandelstraße 15, 10409 Berlin",10409,,,,Pankow,Bürgerhaus BüHa gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2091,,Kindergarten am Wasserturm,"Knaackstraße 27, 10405 Berlin",10405,,,,,Kindergärten NordOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2092,11005005,Kita Sternschnuppe,"Falkenseer Chaussee 8, 13583 Berlin",13583,,,,Spandau,AWO,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2093,,Kita Am Maselakepark,Unknown,Unknown,,,,,Outlaw gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,150,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2094,11009009,Kita Wilhelmine,"Wilhelmine-Duncker-Straße 2, 12526 Berlin",12526,,,,Treptow-Köpenick,JAO gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2095,,Grashüpfer e.V.,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2096,,Kinderhaus Waldfriede,"Wilskistraße 55, 14163 Berlin",14163,,,,,Advent-Wohlfahrtswerk e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2097,,Villa Honighut,Unknown,Unknown,,,,,Villa Honighut e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2098,,Kita am See,Unknown,Unknown,,,,,Hanna gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2099,11010010,Kita Havelländer Ring,"Havelländer Ring 46, 12629 Berlin",12629,,,,Marzahn-Hellersdorf,Kindergärten NordOst,120,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2100,11007007,Kindertagesstätte Judas Thaddäus,"Bäumerplan 23, 12101 Berlin",12101,,,,Tempelhof-Schöneberg,Unknown,45,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2101,,FRÖBEL-Kindergarten Seewinkel,Unknown,Unknown,,,,,FRÖBEL Bildung und Erziehung,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2102,,SpIn-Kita HÜPFNASEN,"Dessauerstraße 45, 12249 Berlin",12249,,,,,SpIn-Kita gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2103,11011011,Europa-Kita,"Judith-Auer-Straße 6, 10369 Berlin",10369,,,,Lichtenberg,P.E.K. Private Europa-Kita Elite gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2104,,Kita Paradiesvögel,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2105,11010010,Kita Akazieninsel,"Allee der Kosmonauten 73-75, 12681 Berlin",12681,,,,Marzahn-Hellersdorf,JAO gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2106,,Kita/JAO-Jugendwerk Aufbau Ost e.V.,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2107,,Kindergarten Kleine Füße - Naseweis,"Auerstraße 13 - 17, 10249 Berlin",10249,,,,,FRÖBEL Bildung und Erziehung,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2108,,Kinderladen Lankwitz,Unknown,Unknown,,,,,Elterninitiative Lankwitz e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2109,,Kindergarten Jablonskistraße,"Jablonskistraße 33, 10405 Berlin",10405,,,,,Kindergärten NordOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2110,11009009,Arche Kunterbunt,"Am Generalshof 7, 12555 Berlin",12555,,,,Treptow-Köpenick,Evangelische Stadtkirchengemeinde Köpenick,48,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2111,,Kiek mal,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2112,,Kita Gänseblümchen,"Hedwigstraße 6, 13086 Berlin",13086,,,,,Forum Soziale Dienste gGmbH,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2113,,Kita WIR Bölschestraße,"Bölschestraße 29, 12587 Berlin",12587,,,,,Kindertagesstätten SüdOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2114,,Waldorfkindergarten Kreuzberg,"Alte Jakobstraße 12, 10969 Berlin",10969,,,,,Waldorfkindergarten Kreuzberg e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2115,,Kita Schlosskobolde,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2116,11012012,Kita Sonnenkinder,"Auguste-Viktoria-Allee 97-98, 13403 Berlin",13403,,,,Reinickendorf,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2117,,Kita Karower Knirpse,"Bahnhofstraße 53, 13125 Berlin",13125,,,,,Jugend- und Sozialwerk,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2118,,Katholische Kindertagesstätte Heilige Familie,"Kuglerstraße 40, 10439 Berlin",10439,,,,,Katholische Kirchengemeinde Heilige Familie,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2119,,Kindergarten am Hirschhof,"Eberswalder Straße 11/12, 10437 Berlin",10437,,,,,Netzwerk Spiel/Kultur Prenzlauer Berg e.V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2120,,Evangelische Kita St. Elisabeth,"Elisabethkirchstraße 19-21, 10115 Berlin",10115,,,,,Evangelischer Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2121,11003003,Kindergarten Am Hain,"Am Friedrichshain 18A, 10407 Berlin",10407,,,,Pankow,Kindergärten NordOst,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2122,11003003,Kita Pappelallee,"Pappelallee 40, 10437 Berlin",10437,,,,Pankow,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2123,11003003,Prenzlberger Spielmäuse,"Pappelallee 41a, 10437 Berlin",10437,,,,Pankow,Unknown,200,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2124,,Kita Schwedter Straße,Unknown,Unknown,,,,,Kinder im Kiez,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2125,11004004,Kita Schlüterstraße,"Schlüterstraße 25, 10629 Berlin",10629,,,,Charlottenburg-Wilmersdorf,Kindertagesstätten Nordwest,135,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2126,11003003,Platanus Kindergarten,"Benjamin-Vogelsdorff-Straße 1, 13187 Berlin",13187,,,,Pankow,Platanus,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2127,11003003,Villa Sternenschiff,"Benjamin-Vogelsdorff-Straße 3, 13187 Berlin",13187,,,,Pankow,SEHstern e. V.,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2128,11002002,Kita Leonardo,"Kleine Markusstraße 9, 10243 Berlin",10243,,,,Friedrichshain-Kreuzberg,AWO,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2129,,Kita Forckenbeck,Unknown,Unknown,,,,,KUBIBE gGmbH,120,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2130,,Kindergarten Lobeckstraße 11,"Lobeckstraße 11, 10969 Berlin",10969,,,,,Kindergärten City,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2131,11004004,Kita Orber Straße,"Orber Straße 13, 14193 Berlin",14193,,,,Charlottenburg-Wilmersdorf,Kindertagesstätten Nordwest,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2132,11004004,Kita Cunostraße,"Cunostraße 9, 14199 Berlin",14199,,,,Charlottenburg-Wilmersdorf,Kindertagesstätten Nordwest,190,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2133,,Kita Alboingärten,"In den Alboingärten 39, 12103 Berlin",12103,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2134,,Geschützter Spielplatz,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2135,,Kita Prellerweg,"Riemenschneiderweg 100, 12157 Berlin",12157,,,,,Kindertagesstätten Berlin Süd-West,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2136,,Kita Sophies Welt,Unknown,Unknown,,,,,Sozialdiakonische Arbeit Lichtenberg-Oberspree GmbH,90,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2137,,Notenzwerge,"Friedrich-Wilhelm-Straße 78-79, 12103 Berlin",12103,,,,,Rahn Dittrich Group,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2138,11006006,Kita El Mundo de los Niños,"Jungfernstieg 4C, 12207 Berlin",12207,,,,Steglitz-Zehlendorf,El Mundo de los Niños,90,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
2139,,Kita El Mundo de los Niños,Unknown,Unknown,,,,,Unknown,Unknown,openstreetmap,18/08/2025 11:28,18/08/2025 11:28
