pool_id,name,pool_type,street,postal_code,latitude,longitude,open_all_year,district,district_id
7893,Boiler Berlin,Sonstiges Bad,Mehringdamm 34,10961,52.49361,13.38776,True,Friedrichshain-Kreuzberg,5
7896,Haubentaucher Berlin,Freibad,Revaler Str. 99,10245,52.50814,13.45182,False,Friedrichshain-Kreuzberg,5
7898,Hotel The Yard,Hotelbad,Alexandrinenstraße 125,10969,52.49906,13.39989,True,Friedrichshain-Kreuzberg,5
7911,Holmes Place Berlin,Sonstiges Bad,Hirschberger Straße 3,10317,52.50468,13.4736,True,Lichtenberg,4
7912,Sportforum Berlin,Hallenbad,Weißenseer Weg 53,13053,52.53881,13.47189,False,Lichtenberg,4
7913,Andels Hotel Berlin,Hotelbad,Landsberger Allee 106,10369,52.52842,13.45716,True,Pankow,6
7932,Nils Holgersson Schule,Schulbad,Otto-Marquardt-Straße 12-14,10369,52.53387,13.47167,True,Lichtenberg,4
7935,St. Marien Krankenhaus,Klinikbad,Gallwitzallee 123 -143,12249,52.42349,13.35094,True,Steglitz-Zehlendorf,10
8070,Holmes Place Berlin Schlossstraße,Sonstiges Bad,Schildhornstrasse 1,12163,52.46208,13.32444,True,Steglitz-Zehlendorf,10
8072,Kinderschwimmschule Steglitz,Hallenbad,Plantagenstraße 2,12169,52.45453,13.32958,True,Steglitz-Zehlendorf,10
8075,PrimaVita Berlin,Klinikbad,Teltower Damm 95-101,14167,52.42421,13.26374,True,Steglitz-Zehlendorf,10
8112,Hallenbad Zehlendorfer Wespen,Hallenbad,Lloyd-G.-Wells-Str. 55,14163,52.42301,13.22634,True,Steglitz-Zehlendorf,10
8229,Immanuel Krakenhaus,Klinikbad,Königstraße 63,14109,52.41958,13.16418,True,Steglitz-Zehlendorf,10
8311,Peter-Frankenfeld Schule,Schulbad,Wedellstraße 26,12247,52.43519,13.35496,True,Steglitz-Zehlendorf,10
8312,Fitness First Berlin,Sonstiges Bad,Schloßstraße 110,12163,52.46093,13.32494,True,Steglitz-Zehlendorf,10
8315,Vitaworxx,Hallenbad,Ferdinandstraße 33,12209,52.42767,13.32852,False,Steglitz-Zehlendorf,10
8316,Elixia Lichterfelde,Hallenbad,Lankwitzer Str. 19-24,12209,52.42924,13.32967,True,Steglitz-Zehlendorf,10
8317,Fitness First Zehlendorf,Hallenbad,Clayallee 328-334,14169,52.43819,13.26265,True,Steglitz-Zehlendorf,10
8318,Fitness First im Schloss Ladies Club,Hallenbad,Schloßstr. 33-36,12163,52.45796,13.32144,True,Steglitz-Zehlendorf,10
8322,Kurbad Lichterfelde Ost,Klinikbad,Bahnhofstraße 39,12207,52.43016,13.32351,True,Steglitz-Zehlendorf,10
8325,Clays Berlin,Hallenbad,Clayallee 171,14195,52.45215,13.27077,True,Steglitz-Zehlendorf,10
8329,Crowne Plaza Berlin City Center,Hotelbad,Nürnberger Str. 65,10787,52.50386,13.3405,True,Charlottenburg-Wilmersdorf,12
