Bad-ID,Name,Badtyp,Straße,Postleitzahl,Ort,Breitengrad,Längengrad,eu_badegewaesser,Öffnungsstunden pro Jahr,Baujahr,Ganzjährig geöffnet,Name des Eigentümers,Ermäßigung Kind,Ermäßigung Familie,Ermäßigung Behinderte
1952,Schwimmhalle Thomas-Mann-Straße,Schulbad,Thomas-Mann-Straße 3,10409,Berlin,52.5429,13.44299,nein,,,ja,"Berliner Bäder-Betriebe, Anstalt des öffentlichen Rechts",nein,ja,ja
1953,Sportzentrum Siemensstadt,Hallenbad,Buolstr. 14,13629,Berlin,52.54525,13.25877,nein,,1984.0,nein,Sport Club Siemensstadt Berlin e.V.,ja,nein,ja
2084,Strandbad Müggelsee,Naturbad,Fürstenwalder Damm 838,12589,Berlin–Köpenick,52.44537,13.67614,,,,nein,,ja,ja,ja
2085,Flussbad Gartenstraße,Naturbad,Gartenstraße 46-48,12557,Berlin,52.44103,13.57604,,,1897.0,nein,,,,
2086,Freibad Heiligensee,Naturbad,Sandhauser Str. 132-140,13503,Berlin,52.6001,13.21309,,,,nein,Berlin,ja,,
3958,Vabali Berlin,Sonstiges Bad,Seydlitzstr. 6,10557,Berlin,52.52754,13.3605,nein,,,ja,Vabali Spa Berlin GmbH & Co. KG,nein,nein,nein
6394,Sportbad Britz,Freibad,Kleiberweg 3,12359,Berlin,52.439552,13.473681,nein,,1996.0,nein,Berliner Bäder-Betriebe Infrastruktur GmbH,nein,nein,nein
6987,Centrovital Spa,Hotelbad,Neuendorfer Straße 25,13585,Berlin,52.54689,13.20953,nein,,,ja,,nein,nein,nein
6988,Hallenbad im Johannesstift,Klinikbad,Schönwalder Allee 26,13587,Berlin,52.56768,13.19243,nein,,,ja,,nein,nein,nein
6994,Hotelbad Mercure Hotel,Hotelbad,Ohmstraße 4-6,13629,Berlin,52.53571,13.27307,nein,,,,,nein,nein,nein
6996,Bewegungsbad Vivantes Klinikum,Klinikbad,Neue Bergstraße 6,13585,Berlin,52.55013,13.207,nein,,,ja,,nein,nein,nein
7002,Schwimmbad Holiday Inn,Hotelbad,Rohrdamm 80,13629,Berlin,52.54047,13.26229,nein,,,ja,,nein,nein,nein
7283,Merdian Spa,Sonstiges Bad,Klostertraße 3,13581,Berlin,52.53366,13.19839,nein,,,ja,,ja,nein,nein
7889,Bethanien Havel Garten,Klinikbad,Spandauer Burgwall 29,13581,Berlin,52.52633,13.20077,nein,,,ja,,nein,nein,nein
7891,Seniorenhaus Havelblick,Klinikbad,Havelschanze 3,13587,Berlin-Spandau,52.55422,13.20851,nein,,,ja,,nein,nein,nein
7893,Boiler Berlin,Sonstiges Bad,Mehringdamm 34,10961,Berlin,52.49361,13.38776,nein,,,ja,,ja,nein,nein
7896,Haubentaucher Berlin,Freibad,Revaler Str. 99,10245,Berlin,52.50814,13.45182,nein,,,,,,,
7898,Hotel The Yard,Hotelbad,Alexandrinenstraße 125,10969,Berlin,52.49906,13.39989,nein,,,ja,,,,
7911,Holmes Place Berlin,Sonstiges Bad,Hirschberger Straße 3,10317,Berlin,52.50468,13.4736,nein,,,ja,,nein,nein,nein
7912,Sportforum Berlin,Hallenbad,Weißenseer Weg 53,13053,Berlin,52.53881,13.47189,nein,,,,,nein,nein,nein
7913,Andels Hotel Berlin,Hotelbad,Landsberger Allee 106,10369,Berlin,52.52842,13.45716,nein,,,ja,,nein,nein,nein
7932,Nils Holgersson Schule,Schulbad,Otto-Marquardt-Straße 12-14,10369,Berlin,52.53387,13.47167,nein,,,ja,,nein,nein,nein
7935,St. Marien Krankenhaus,Klinikbad,Gallwitzallee 123 -143,12249,Berlin-Lankwitz,52.42349,13.35094,nein,,,ja,,nein,nein,nein
8070,Holmes Place Berlin Schlossstraße,Sonstiges Bad,Schildhornstrasse 1,12163,Berlin,52.46208,13.32444,nein,,,ja,,nein,nein,nein
8072,Kinderschwimmschule Steglitz,Hallenbad,Plantagenstraße 2,12169,Berlin,52.45453,13.32958,nein,,,ja,,nein,nein,nein
8075,PrimaVita Berlin,Klinikbad,Teltower Damm 95-101,14167,Berlin,52.42421,13.26374,nein,,,ja,,nein,nein,nein
8112,Hallenbad Zehlendorfer Wespen,Hallenbad,Lloyd-G.-Wells-Str. 55,14163,Berlin,52.42301,13.22634,nein,,,ja,,nein,nein,nein
8229,Immanuel Krakenhaus,Klinikbad,Königstraße 63,14109,Berlin,52.41958,13.16418,nein,,,ja,,nein,nein,nein
8311,Peter-Frankenfeld Schule,Schulbad,Wedellstraße 26,12247,Berlin,52.43519,13.35496,nein,,,ja,,nein,nein,nein
8312,Fitness First Berlin,Sonstiges Bad,Schloßstraße 110,12163,Berlin,52.46093,13.32494,nein,,,ja,,nein,nein,nein
8315,Vitaworxx,Hallenbad,Ferdinandstraße 33,12209,Berlin,52.42767,13.32852,nein,,,,,nein,nein,nein
8316,Elixia Lichterfelde,Hallenbad,Lankwitzer Str. 19-24,12209,Berlin,52.42924,13.32967,nein,,,ja,,nein,nein,nein
8317,Fitness First Zehlendorf,Hallenbad,Clayallee 328-334,14169,Berlin,52.43819,13.26265,nein,,,ja,,nein,nein,nein
8318,Fitness First im Schloss Ladies Club,Hallenbad,Schloßstr. 33-36,12163,Berlin,52.45796,13.32144,nein,,,ja,,nein,nein,nein
8322,Kurbad Lichterfelde Ost,Klinikbad,Bahnhofstraße 39,12207,Berlin,52.43016,13.32351,nein,,,ja,,nein,nein,nein
8325,Clays Berlin,Hallenbad,Clayallee 171,14195,Berlin,52.45215,13.27077,nein,,,ja,,nein,nein,nein
8329,Crowne Plaza Berlin City Center,Hotelbad,Nürnberger Str. 65,10787,Berlin,52.50386,13.3405,nein,,,ja,,nein,nein,nein
8379,Tertianum Residenz Schöneberg,Klinikbad,Passauer Str. 5-7,10789,Berlin,52.50115,13.33957,nein,,,ja,,nein,nein,nein
8380,Tranxx Berlin,Hallenbad,Akazienstraße 27/28,10823,Berlin,52.48684,13.35497,nein,,,ja,,nein,nein,nein
8381,Flughafensee,Natürliche Badestelle,,13507,Reinickendorf,52.56843,13.28369,,,,ja,,nein,nein,nein
8496,Geatriezentrum Berlin,Klinikbad,Reinickendorfer Str. 61,13347,Berlin,52.55456,13.36572,nein,,,ja,,nein,nein,nein
8498,Holmes Place Neue Welt,Sonstiges Bad,Hasenheide 109,10967,Berlin,52.4855,13.42189,nein,,,ja,,nein,nein,nein
8499,Schwimmschule Robbi,Hallenbad,Alt-Britz 101B,12359,Berlin,52.44496,13.43625,nein,,,ja,,ja,nein,nein
8500,Schule am Park,Schulbad,Eichborndamm 276 – 284,13437,Berlin,52.59398,13.32978,nein,,,ja,,nein,nein,nein
8501,Schule am Pappelhof,Schulbad,Eilenburger Str. 4,12627,Berlin,52.54015,13.62883,nein,,,ja,,nein,nein,nein
8578,Schilling Schule Berlin,Schulbad,Paster-Behrens-Straße 81,12359,Berlin,52.44276,13.44384,nein,,,ja,,nein,nein,nein
