type,first_tenant,price,rooms,surface_m2,floor,availability,address,bezirk,city,postal_code
Wohnung,,1290.0,2.0,55.4,5. Geschoss,,14199,,,14199
Wohnung,,1690.0,3.0,82.6,5. Geschoss,01.09.2025,13089,,,13089
Wohnung,Erstbezug,1015.0,1.0,40.2,8. Geschoss,,10557,,,10557
Wohnung,,1600.0,3.0,82.0,4. Geschoss,,13127,,,13127
Wohnung,,1912.0,4.0,119.5,1. Geschoss,16.09.2025,13125,,,13125
Studio,Erstbezug,2073.0,4.0,100.4,1. Geschoss,01.10.2025,13088,,,13088
Wohnung,Erstbezug,1350.0,2.0,60.5,4. Geschoss,,10557,,,10557
,Erstbezug,2100.0,5.0,154.0,,sofort,14621,,,14621
Wohnung,,597.0,2.0,64.6,2. Geschoss,sofort,13507,,,13507
,,2400.0,4.5,157.0,4. Geschoss,sofort,10553,,,10553
Wohnung,,649.0,3.0,66.6,3. Geschoss,17.08.2025,13507,,,13507
Wohnung,,1948.0,4.0,115.8,2. Geschoss,,12557,,,12557
Wohnung,,1933.0,4.0,114.9,2. Geschoss,,12557,,,12557
Wohnung,,1589.0,4.0,95.1,3. Geschoss,,12557,,,12557
Wohnung,,1262.0,3.0,81.5,1. Geschoss,21.08.2025,12557,,,12557
Wohnung,,2970.0,3.0,135.0,1. Geschoss,01.09.2025,10961,,,10961
Wohnung,,1562.0,4.0,95.8,2. Geschoss,01.11.2025,12557,,,12557
Wohnung,,1714.0,4.0,121.1,3. Geschoss,21.08.2025,12527,,,12527
,,1728.0,4.0,119.2,1. Geschoss,16.08.2025,12207,,,12207
Wohnung,,1190.0,2.0,72.7,5. Geschoss,01.10.2025,13585,,,13585
Wohnung,,992.0,2.0,69.3,4. Geschoss,01.09.2025,13629,,,13629
Wohnung,,1179.0,3.0,76.8,3. Geschoss,16.08.2025,12351,,,12351
Wohnung,,1290.0,2.0,54.0,3. Geschoss,01.09.2025,13089,,,13089
Wohnung,,2802.0,3.0,106.3,8. Geschoss,,10179,,,10179
Wohnung,,1963.0,2.0,112.3,4. Geschoss,,10247,,,10247
Wohnung,Erstbezug,2165.0,5.0,159.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,966.0,3.0,81.8,1. Geschoss,06.09.2025,12305,,,12305
Wohnung,,839.0,2.0,51.1,4. Geschoss,,10315,,,10315
Wohnung,,1064.0,3.0,86.5,3. Geschoss,21.08.2025,13409,,,13409
Wohnung,,529.0,2.0,60.5,1. Geschoss,,10178,,,10178
Wohnung,,1002.0,2.0,56.2,2. Geschoss,,12557,,,12557
Wohnung,,2443.0,5.0,159.7,3. Geschoss,,12557,,,12557
Wohnung,,909.0,1.0,31.4,EG,,12103,,,12103
,,2660.0,5.0,141.0,3. Geschoss,15.08.2025,10827,,,10827
Wohnung,Erstbezug,2190.0,2.0,105.3,1. Geschoss,,10557,,,10557
Wohnung,,2416.0,4.0,131.1,2. Geschoss,,10405,,,10405
Wohnung,,1540.0,2.0,61.2,2. Geschoss,sofort,10117,,,10117
Wohnung,,1960.0,3.0,122.5,1. Geschoss,,14109,,,14109
,,1350.0,4.0,100.1,2. Geschoss,sofort,14193,,,14193
Wohnung,Erstbezug,2100.0,5.0,154.0,3. Geschoss,sofort,14621,,,14621
Wohnung,,1542.0,4.0,93.0,3. Geschoss,,12557,,,12557
Wohnung,,1540.0,4.0,92.9,2. Geschoss,,12557,,,12557
Wohnung,,1168.0,3.0,70.5,1. Geschoss,,12557,,,12557
Wohnung,,1002.0,2.0,56.2,1. Geschoss,,12557,,,12557
Wohnung,,1174.0,3.0,70.8,2. Geschoss,,12557,,,12557
Wohnung,,1755.0,3.0,95.3,3. Geschoss,,13086,,,13086
Wohnung,,1485.0,3.0,87.3,1. Geschoss,,13086,,,13086
Wohnung,,1243.0,3.0,112.3,Souterrain,01.09.2025,13357,,,13357
Wohnung,Erstbezug,920.0,2.0,42.6,1. Geschoss,01.11.2025,12439,,,12439
,Erstbezug,945.0,2.0,43.2,EG,01.11.2025,12439,,,12439
Wohnung,,1950.0,4.0,92.0,1. Geschoss,,12157,,,12157
Wohnung,,3519.0,2.0,50.0,,sofort,10969,,,10969
Wohnung,Erstbezug,1545.0,2.0,69.2,2. Geschoss,,10779,,,10779
,Erstbezug,1415.0,3.0,69.4,EG,01.11.2025,12439,,,12439
Wohnung,,1200.0,2.0,66.7,EG,,13086,,,13086
Wohnung,,1113.0,2.0,49.5,EG,,14199,,,14199
Wohnung,,2349.0,3.0,148.0,4. Geschoss,sofort,10117,,,10117
Wohnung,,1349.0,4.0,96.4,3. Geschoss,,12529,,,12529
Wohnung,Erstbezug,1850.0,2.0,58.0,7. Geschoss,sofort,10779,,,10779
Wohnung,Erstbezug,2800.0,4.0,93.5,7. Geschoss,,10779,,,10779
Wohnung,,3350.0,3.0,99.0,,,10117,,,10117
Wohnung,,3170.0,4.0,109.0,EG,,10115,,,10115
Studio,,2300.0,3.0,125.4,2. Geschoss,01.09.2025,10823,,,10823
Wohnung,,1839.0,3.0,98.4,4. Geschoss,,10405,,,10405
Wohnung,Erstbezug,2245.0,3.0,91.7,10. Geschoss,,10557,,,10557
Wohnung,,1849.0,3.0,99.1,3. Geschoss,,12051,,,12051
Wohnung,,1400.0,2.0,41.4,4. Geschoss,sofort,10117,,,10117
Wohnung,,4050.0,6.0,188.7,7. Geschoss,sofort,10117,,,10117
Wohnung,,1495.0,2.0,56.6,5. Geschoss,01.09.2025,10249,,,10249
Wohnung,Erstbezug,1045.0,1.0,40.3,8. Geschoss,,10557,,,10557
Wohnung,,2952.0,5.5,194.2,1. Geschoss,16.08.2025,14109,,,14109
Wohnung,,849.0,2.0,53.1,1. Geschoss,,12529,,,12529
Wohnung,,869.0,1.0,29.4,EG,,12103,,,12103
Wohnung,Erstbezug,950.0,2.0,42.3,3. Geschoss,01.11.2025,12439,,,12439
Wohnung,,1690.0,2.0,78.4,EG,sofort,10117,,,10117
Wohnung,Erstbezug,1325.0,3.0,67.3,1. Geschoss,01.11.2025,12439,,,12439
Wohnung,,820.0,1.0,21.0,4. Geschoss,,12157,,,12157
Wohnung,,1290.0,2.0,81.0,4. Geschoss,sofort,13629,,,13629
Wohnung,,1380.0,2.0,48.0,2. Geschoss,,10245,,,10245
Wohnung,,347.0,1.0,31.0,7. Geschoss,01.09.2025,10969,,,10969
