trip_id,arrival_time,departure_time,route_id,service_id,direction_id,agency_id,route_short_name,route_type,agency_name,agency_url,stop_lat,stop_lon,zone_id
262718853,16:16:00,16:16:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718847,14:20:00,14:20:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.176475,13.141332,"4052_fürstenberg_(havel),_schule"
262718847,14:23:00,14:23:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718847,14:24:00,14:24:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718847,14:26:00,14:26:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718847,14:27:00,14:27:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718847,14:29:00,14:29:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718847,14:31:00,14:31:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.199697,13.082898,"4051_steinförde,_kleinmenow"
262718847,14:34:00,14:34:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
262718847,14:39:00,14:39:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718857,6:35:00,6:35:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718857,6:36:00,6:36:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718857,6:38:00,6:38:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718857,6:39:00,6:39:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718857,6:41:00,6:41:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718857,6:43:00,6:43:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
262718857,6:48:00,6:48:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718856,8:45:00,8:45:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718856,8:46:00,8:46:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718856,8:48:00,8:48:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718856,8:49:00,8:49:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718856,8:51:00,8:51:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718856,8:53:00,8:53:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.187947,13.090547,"4051_steinförde,_brücke"
262718856,8:58:00,8:58:00,15068_3,1132,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.194556,13.043504,"4051_steinförde,_großmenow"
262718855,9:00:00,9:00:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.186056,13.140349,"4052_fürstenberg_(havel),_bahnhof"
262718855,9:01:00,9:01:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.18523,13.144512,"4052_fürstenberg_(havel),_markt"
262718855,9:03:00,9:03:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.191016,13.141724,"4052_fürstenberg_(havel),_tunnel"
262718855,9:04:00,9:04:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.190993,13.128139,"4052_fürstenberg_(havel),_röblinsee_nord"
262718855,9:06:00,9:06:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.193811,13.106253,"4051_fürstenberg_(havel),_steinhavelmühle"
262718855,9:08:00,9:08:00,15068_3,274,0,32,848,bus,oberhavel_verkehrsgesellschaft_mbh,https://www.ovg-online.de,53.199697,13.082898,"4051_steinförde,_kleinmenow"
