osm_type,osm_id,name,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source
way,120314493,EKZ Tempelhofer Hafen,,Mo-Sa 10:00-20:00,Tempelhofer Damm,227,12099,Berlin,52.4548347,13.3845588,yes,,,,,OSM Overpass
way,142202879,Zentrum am Rathaus,,,,,,,52.5616949,13.4670198,,,,,,OSM Overpass
way,150810044,Park Center,,Mo-Sa 08:00-22:00,Am Treptower Park,14,12435,,52.4905895,13.4573467,yes,ATCP Management GmbH,,,,OSM Overpass
way,152177691,Taut Passage,https://taut-passage-berlin.de/,Mo-Fr 09:00-20:00; Sa 08:00-16:00,Bruno-Taut-Straße,1,12524,Berlin,52.4124323,13.5719082,yes,,,,,OSM Overpass
way,156959020,FALKENBOGEN,,,,,,,52.5688054,13.515824,yes,,,,,OSM Overpass
way,167177398,,,Mo-Sa 10:00-20:00; PH off,Bahnhofstraße,,12555,,52.457739,13.5796652,yes,,,,,OSM Overpass
way,179019726,Marheineke Markthalle,https://meine-markthalle.de/,Mo-Fr 08:00-20:00; Sa 08:00-18:00,Marheinekeplatz,15,10961,Berlin,52.4892913,13.3946855,yes,,,,,OSM Overpass
way,183966473,,,"Mo-Fr 07:00-24:00, Sa 07:00-23:30",Hermann-Blankenstein-Straße,38,10249,Berlin,52.5236528,13.4619765,yes,,,,,OSM Overpass
way,194952966,Boulevard Berlin,,"Mo-Sa 10:00-20:00; PH,Su off",,,,,52.4628374,13.3243602,yes,,,,,OSM Overpass
way,211775432,Wutzky,,"Mo-Sa 06:00-22:00, Su,PH 07:00-16:00",,,,,52.4230228,13.4755919,yes,,,,,OSM Overpass
way,258898047,Alexa,,Mo-Sa 10:00-21:00,Grunerstraße,20,10179,Berlin,52.5190551,13.4157891,yes,,,2007-9-12,,OSM Overpass
way,294455863,Rathaus-Center Pankow,,Mo-Sa 10:00-20:00,Breite Straße,20,13187,Berlin,52.5703096,13.4040977,yes,,,,,OSM Overpass
way,317858421,Landsberger Spitze,,,,,,,52.5303689,13.4620481,,,,,,OSM Overpass
way,360417478,Schultheiss Quartier,https://schultheissquartier.de/,"Mo-Fr 10:00-20:00; Su,PH off",,,,,52.527843,13.3441934,yes,,,,,OSM Overpass
way,364457341,Bikini Berlin,,Mo-Sa 10:00-20:00,,,,,52.5057217,13.3360431,limited,,,,,OSM Overpass
way,377223108,Zentrum Schöneweide,,Mo-Sa 10:00-20:00,Schnellerstraße,21,12439,Berlin,52.4570633,13.5079497,yes,,,,,OSM Overpass
way,382117071,Storchenhof,,,Hauptstraße,9-9D,13055,Berlin,52.5482424,13.5039336,yes,,,,,OSM Overpass
way,409103517,Einkaufszentrum Adlershofer Tor,,Mo-Sa 07:00-22:00,,,,,52.4330494,13.5353389,yes,,,,,OSM Overpass
