osm_type,osm_id,name_left,website,opening_hours,addr_street,addr_housenumber,addr_postcode,addr_city,lat,lon,wheelchair,operator,brand,start_date,level,source,geometry,index__district,name__district,gem_left,namgem_left,namlan_left,lan_left,index__neigh,name,gem__neigh,namgem__neigh,namlan__neigh,lan__neigh
way,30977186,Mühlenberg-Center,,Mo-Fr 07:00-20:00; Sa 07:00-18:00,Greifswalder Straße,90,10409.0,Berlin,52.5434687,13.4426018,yes,Concarus Real Estate Invest GmbH,,,,OSM Overpass,POINT (13.4426018 52.5434687),,,,,,,,,,,,
way,31831879,Jannowitz-Center,,,Brückenstraße,5-6a,10179.0,Berlin,52.5131286,13.4181242,,,,,,OSM Overpass,POINT (13.4181242 52.5131286),,,,,,,,,,,,
way,32269730,Staaken-Center,,Mo - Fr 9:00 - 20:00; Sa 9:00 - 18:00,Obstallee,28-30,13593.0,Berlin,52.5220475,13.1642048,yes,,,,,OSM Overpass,POINT (13.1642048 52.5220475),,,,,,,,,,,,
way,32509599,RiZ,,,,,,,52.5701517,13.4957402,limited,,,,,OSM Overpass,POINT (13.4957402 52.5701517),,,,,,,,,,,,
way,32574854,Marktplatz-Center,,,,,,,52.5379642,13.6054811,yes,,,,,OSM Overpass,POINT (13.6054811 52.5379642),,,,,,,,,,,,
way,32651656,Kant Center,,,,,,,52.5062764,13.3074406,,,,,,OSM Overpass,POINT (13.3074406 52.5062764),,,,,,,,,,,,
way,34000362,Marzahner Promenade,,,,,,,52.5459511,13.5551681,yes,,,,,OSM Overpass,POINT (13.5551681 52.5459511),,,,,,,,,,,,
way,34113800,Marzahner Promenade,,,Marzahner Promenade,"41,42,43",,,52.5454448,13.5529516,yes,,,,,OSM Overpass,POINT (13.5529516 52.5454448),,,,,,,,,,,,
way,34146669,Fußgängerzone Marzahner Promenade,,24/7,,,,,52.5447834,13.5506173,,,,,,OSM Overpass,POINT (13.5506173 52.5447834),,,,,,,,,,,,
way,34348766,Marzahner Promenade,,,,,,,52.5427654,13.5443144,yes,,,,,OSM Overpass,POINT (13.5443144 52.5427654),,,,,,,,,,,,
way,35092463,Welsegalerie 1,,,,,,,52.5668795,13.5277286,,,,,,OSM Overpass,POINT (13.5277286 52.5668795),,,,,,,,,,,,
way,35160810,Kaiser-Wilhelm-Passage,,,,,,,52.4858474,13.3570245,yes,,,,,OSM Overpass,POINT (13.3570245 52.4858474),,,,,,,,,,,,
way,39674922,Hermann Quartier,,,Hermannstraße,158,12051.0,Berlin,52.4673083,13.4325301,yes,,,,,OSM Overpass,POINT (13.4325301 52.4673083),,,,,,,,,,,,
way,42500531,Forum Kienberg,,,,,,,52.5295065,13.5927133,limited,,,,,OSM Overpass,POINT (13.5927133 52.5295065),,,,,,,,,,,,
way,42738239,Zehlendorfer Welle,,,Clayallee,328-334,14169.0,Berlin,52.4377344,13.2632365,,,,,,OSM Overpass,POINT (13.2632365 52.4377344),,,,,,,,,,,,
way,47282874,Spree Center,https://spree-center-berlin.de/,Mo-Fr 09:00-19:30; Sa 09:00-16:00,Hellersdorfer Straße,77-83,12619.0,Berlin,52.5233607,13.5862763,limited,,,,,OSM Overpass,POINT (13.5862763 52.5233607),,,,,,,,,,,,
way,47282925,Spree Center,https://spree-center-berlin.de/,Mo-Sa 09:00-19:30; Su 09:00-16:00,Hellersdorfer Straße,77-83,12619.0,Berlin,52.5223853,13.5868785,yes,,,,,OSM Overpass,POINT (13.5868785 52.5223853),,,,,,,,,,,,
way,47283010,Spree Center,,Mo-Fr 09:00-19:00; Sa 09:00-16:00,,,,,52.5212158,13.5871897,limited,,,,,OSM Overpass,POINT (13.5871897 52.5212158),,,,,,,,,,,,
way,48395703,Nordmeile,http://www.nordmeile-berlin.de,Mo-Sa 08:00-20:00,Oraniendamm,6-10,13469.0,,52.6074351,13.3259022,limited,,,,,OSM Overpass,POINT (13.3259022 52.6074351),,,,,,,,,,,,
way,48990546,Markthalle Tempelhof,,,Tempelhofer Damm,198-200,12099.0,Berlin,52.4587641,13.3830395,yes,,,,,OSM Overpass,POINT (13.3830395 52.4587641),,,,,,,,,,,,
way,75405910,Cittipoint,,Mo-Sa 08:00-20:00,Müllerstraße,141,13353.0,Berlin,52.548852,13.3538334,yes,,,,,OSM Overpass,POINT (13.3538334 52.548852),,,,,,,,,,,,
way,88716001,LIO,,,,,,,52.4294707,13.3295789,yes,,,,,OSM Overpass,POINT (13.3295789 52.4294707),,,,,,,,,,,,
way,105154993,Ackerhalle,,Mo-Sa 07:00-23:00,,,,,52.5320908,13.3970391,yes,,,1886..1888,,OSM Overpass,POINT (13.3970391 52.5320908),,,,,,,,,,,,
way,120314493,EKZ Tempelhofer Hafen,,Mo-Sa 10:00-20:00,Tempelhofer Damm,227,12099.0,Berlin,52.4548347,13.3845588,yes,,,,,OSM Overpass,POINT (13.3845588 52.4548347),,,,,,,,,,,,
way,142202879,Zentrum am Rathaus,,,,,,,52.5616949,13.4670198,,,,,,OSM Overpass,POINT (13.4670198 52.5616949),,,,,,,,,,,,
way,150810044,Park Center,,Mo-Sa 08:00-22:00,Am Treptower Park,14,12435.0,,52.4905895,13.4573467,yes,ATCP Management GmbH,,,,OSM Overpass,POINT (13.4573467 52.4905895),,,,,,,,,,,,
way,152177691,Taut Passage,https://taut-passage-berlin.de/,Mo-Fr 09:00-20:00; Sa 08:00-16:00,Bruno-Taut-Straße,1,12524.0,Berlin,52.4124323,13.5719082,yes,,,,,OSM Overpass,POINT (13.5719082 52.4124323),,,,,,,,,,,,
way,156959020,FALKENBOGEN,,,,,,,52.5688054,13.515824,yes,,,,,OSM Overpass,POINT (13.515824 52.5688054),,,,,,,,,,,,
way,167177398,,,Mo-Sa 10:00-20:00; PH off,Bahnhofstraße,,12555.0,,52.457739,13.5796652,yes,,,,,OSM Overpass,POINT (13.5796652 52.457739),,,,,,,,,,,,
way,179019726,Marheineke Markthalle,https://meine-markthalle.de/,Mo-Fr 08:00-20:00; Sa 08:00-18:00,Marheinekeplatz,15,10961.0,Berlin,52.4892913,13.3946855,yes,,,,,OSM Overpass,POINT (13.3946855 52.4892913),,,,,,,,,,,,
way,183966473,,,"Mo-Fr 07:00-24:00, Sa 07:00-23:30",Hermann-Blankenstein-Straße,38,10249.0,Berlin,52.5236528,13.4619765,yes,,,,,OSM Overpass,POINT (13.4619765 52.5236528),,,,,,,,,,,,
way,194952966,Boulevard Berlin,,"Mo-Sa 10:00-20:00; PH,Su off",,,,,52.4628374,13.3243602,yes,,,,,OSM Overpass,POINT (13.3243602 52.4628374),,,,,,,,,,,,
way,211775432,Wutzky,,"Mo-Sa 06:00-22:00, Su,PH 07:00-16:00",,,,,52.4230228,13.4755919,yes,,,,,OSM Overpass,POINT (13.4755919 52.4230228),,,,,,,,,,,,
way,258898047,Alexa,,Mo-Sa 10:00-21:00,Grunerstraße,20,10179.0,Berlin,52.5190551,13.4157891,yes,,,2007-9-12,,OSM Overpass,POINT (13.4157891 52.5190551),,,,,,,,,,,,
way,294455863,Rathaus-Center Pankow,,Mo-Sa 10:00-20:00,Breite Straße,20,13187.0,Berlin,52.5703096,13.4040977,yes,,,,,OSM Overpass,POINT (13.4040977 52.5703096),,,,,,,,,,,,
way,317858421,Landsberger Spitze,,,,,,,52.5303689,13.4620481,,,,,,OSM Overpass,POINT (13.4620481 52.5303689),,,,,,,,,,,,
way,360417478,Schultheiss Quartier,https://schultheissquartier.de/,"Mo-Fr 10:00-20:00; Su,PH off",,,,,52.527843,13.3441934,yes,,,,,OSM Overpass,POINT (13.3441934 52.527843),,,,,,,,,,,,
way,364457341,Bikini Berlin,,Mo-Sa 10:00-20:00,,,,,52.5057217,13.3360431,limited,,,,,OSM Overpass,POINT (13.3360431 52.5057217),,,,,,,,,,,,
way,377223108,Zentrum Schöneweide,,Mo-Sa 10:00-20:00,Schnellerstraße,21,12439.0,Berlin,52.4570633,13.5079497,yes,,,,,OSM Overpass,POINT (13.5079497 52.4570633),,,,,,,,,,,,
way,382117071,Storchenhof,,,Hauptstraße,9-9D,13055.0,Berlin,52.5482424,13.5039336,yes,,,,,OSM Overpass,POINT (13.5039336 52.5482424),,,,,,,,,,,,
way,409103517,Einkaufszentrum Adlershofer Tor,,Mo-Sa 07:00-22:00,,,,,52.4330494,13.5353389,yes,,,,,OSM Overpass,POINT (13.5353389 52.4330494),,,,,,,,,,,,
way,449574126,Spandau Arcaden,https://www.spandau-arcaden.de/,Mo-Sa 10:00-20:00,Klosterstraße,3,13581.0,Berlin,52.5337689,13.1966537,yes,,,,,OSM Overpass,POINT (13.1966537 52.5337689),,,,,,,,,,,,
way,494737961,Mall of Berlin,https://www.mallofberlin.de/,Mo-Sa 10:00-21:00,Leipziger Platz,12,10117.0,Berlin,52.5105691,13.3813724,yes,,,,,OSM Overpass,POINT (13.3813724 52.5105691),,,,,,,,,,,,
way,512957003,Plaza Marzahn,,24/7,Mehrower Allee,20,12687.0,Berlin,52.5556413,13.5586819,,,,,,OSM Overpass,POINT (13.5586819 52.5556413),,,,,,,,,,,,
way,513015071,Castello,http://www.castelloberlin.de/,Mo-Fr 06:00-20:00; Sa 06:00-20:00,,,,,52.5322726,13.4691626,yes,,,,,OSM Overpass,POINT (13.4691626 52.5322726),,,,,,,,,,,,
way,515927450,"Einkaufszentrum ""Zu den Eichen""",,,,,,,52.5654272,13.5714421,,,,,,OSM Overpass,POINT (13.5714421 52.5654272),,,,,,,,,,,,
way,566145932,Schönhauser Allee Arcaden,https://schoenhauseralleearcaden.de/,Mo-Sa 10:00-20:00,Schönhauser Allee,,10439.0,Berlin,52.5494818,13.4154267,yes,,,,,OSM Overpass,POINT (13.4154267 52.5494818),,,,,,,,,,,,
way,594722015,Seddiner Passagen,,,Seddiner Straße,8,10315.0,Berlin,52.5134235,13.5216971,yes,,,,,OSM Overpass,POINT (13.5216971 52.5134235),,,,,,,,,,,,
way,594722016,Seddiner Passagen,,,Seddiner Straße,8,10315.0,Berlin,52.5134614,13.5222653,,,,,,OSM Overpass,POINT (13.5222653 52.5134614),,,,,,,,,,,,
way,615700425,East Side Mall,https://www.eastsidemall.de/,Mo-Sa 10:00-21:00,Tamara-Danz-Straße,11,10243.0,Berlin,52.5061593,13.4466389,,,,,,OSM Overpass,POINT (13.4466389 52.5061593),,,,,,,,,,,,
way,682543123,Südmeile,,Mo-Sa 07:00-22:00,,,,,52.4096389,13.3812564,yes,,,,,OSM Overpass,POINT (13.3812564 52.4096389),,,,,,,,,,,,
way,703257706,Kaufmitte Siemensstadt,,Mo-Sa 06:00-22:00,,,,,52.5363177,13.2750963,,,,1961-10-26,,OSM Overpass,POINT (13.2750963 52.5363177),,,,,,,,,,,,
way,753249359,Moa Bogen,,Mo-Sa 07:00-22:00,,,,,52.5320391,13.344805,,,,,,OSM Overpass,POINT (13.344805 52.5320391),,,,,,,,,,,,
way,1035930982,Biesdorf Center,https://www.biesdorf-center.de/,Mo-Sa 09:30-20:00,Weißenhöher Straße,108,12683.0,Berlin,52.5064438,13.5590298,yes,Greenman Biesdorf B.V.,,,,OSM Overpass,POINT (13.5590298 52.5064438),,,,,,,,,,,,
way,1041665235,Märkische Zeile,https://www.maerkische-zeile.de/,"Mo-Fr 09:30-20:00, Sa 09:00-20:00",Senftenberger Ring,17,13439.0,Berlin,52.5992116,13.3545864,,ECE Marketplaces GmbH & Co. KG,,,,OSM Overpass,POINT (13.3545864 52.5992116),,,,,,,,,,,,
way,1054276972,Europa-Center,,Mo-Sa 10:00-20:00,,,,,52.5043341,13.3380417,,,,1965-04,,OSM Overpass,POINT (13.3380417 52.5043341),,,,,,,,,,,,
way,1065811824,Ring-Center Berlin II,,Mo-Sa 10:00-20:00; PH off,Frankfurter Allee,113-117,10365.0,Berlin,52.5143274,13.4765019,yes,,,,,OSM Overpass,POINT (13.4765019 52.5143274),,,,,,,,,,,,
way,1238152790,Tempelhofer Hafen,,Mo-Sa 10:00-20:00,,,,,52.4558061,13.386016,yes,,,2009-04-29,,OSM Overpass,POINT (13.386016 52.4558061),,,,,,,,,,,,
way,1244901436,Märkisches Zentrum,https://www.maerkisches-zentrum.de/,,Senftenberger Ring,3a,13439.0,Berlin,52.5976128,13.3545182,yes,MV Geschäftshaus-Marketing GmbH,,,,OSM Overpass,POINT (13.3545182 52.5976128),,,,,,,,,,,,
relation,380240,The Q,,Mo-Sa 08:00-22:00,Friedrichstraße,67,10117.0,Berlin,52.5126135,13.390499,yes,,,,,OSM Overpass,POINT (13.390499 52.5126135),,,,,,,,,,,,
relation,2671992,,,,,,,,52.5223779,13.465988,yes,,,,,OSM Overpass,POINT (13.465988 52.5223779),,,,,,,,,,,,
relation,4540346,Neumann-Forum,,Mo-Sa 07:00-21:00,,,,,52.5613783,13.4227619,,,,,,OSM Overpass,POINT (13.4227619 52.5613783),,,,,,,,,,,,
relation,7701165,Gropius Passagen,https://www.gropius-passagen.de/,Mo-Sa 10:00-20:00,,,,,52.4301282,13.4551989,yes,Unibail-Rodamco-Westfield,Westfield,,,OSM Overpass,POINT (13.4551989 52.4301282),,,,,,,,,,,,
relation,8504555,Forum Landsberger Allee,,,,,,,52.5292601,13.4563404,yes,,,,,OSM Overpass,POINT (13.4563404 52.5292601),,,,,,,,,,,,
relation,17353905,GEHAG Einkaufzentrum,,,,,,,52.4375589,13.4463336,,,,,,OSM Overpass,POINT (13.4463336 52.4375589),,,,,,,,,,,,
relation,19445153,Dolgensee-Center,,,,,,,52.4935737,13.5072316,,,,,,OSM Overpass,POINT (13.5072316 52.4935737),,,,,,,,,,,,
