,index,stop_id,district_id,name,address,latitude,longitude,neighborhood,district
364,367,900080406,11008008,Britzer Damm/Mohriner Allee (Berlin),"Buckower Damm 2, 12349 Berlin, Germany",52.444102,13.43357,Britz,Neukölln
365,368,900080652,11008008,Britzer Garten (Berlin),"Britzer Garten, 12349 Berlin, Germany",52.42802,13.435035,Britz,Neukölln
366,369,900192504,11009009,Britzer Str. (Berlin),"Britzer Str., 12439 Berlin, Germany",52.45399,13.519866,Niederschöneweide,Treptow-Köpenick
367,370,900026102,11004004,Brixplatz (Berlin),"Brixplatz, 14052 Berlin, Germany",52.519692,13.256222,Westend,Charlottenburg-Wilmersdorf
368,371,900076151,11009009,Brockenstr. (Berlin),"Harzer Str. 75, 12059 Berlin, Germany",52.483807,13.45135,Alt-Treptow,Treptow-Köpenick
369,372,900067301,11006006,Brotteroder Str. (Berlin),"Brotteroder Str., 12249 Berlin, Germany",52.420227,13.350644,Lankwitz,Steglitz-Zehlendorf
370,373,900095155,11012012,Bruchstückengraben (Berlin),"Bruchstückengraben, 13435 Berlin, Germany",52.606645,13.348712,Märkisches Viertel,Reinickendorf
371,374,900067258,11006006,Bruchwitzstr. (Berlin),"Bruchwitzstraße 22, 12247 Berlin, Germany",52.437891,13.348343,Lankwitz,Steglitz-Zehlendorf
372,375,900051259,11004004,Brücke-Museum/Kunsthaus Dahlem (Berlin),"Brücke-Museum/Kunsthaus Dahlem, 14195 Berlin, Germany",52.464732,13.277301,Grunewald,Charlottenburg-Wilmersdorf
373,376,900060151,11006006,Brüggemannstr./AVK Ost (Berlin),"Brüggemannstr./AVK Ost, 12157 Berlin, Germany",52.463483,13.348082,Steglitz,Steglitz-Zehlendorf
374,377,900008106,11001001,Brunnenplatz (Berlin),"Brunnenplatz, 13357 Berlin, Germany",52.550139,13.377998,Gesundbrunnen,Mitte
375,378,900192502,11009009,Bruno-Bürgel-Weg (Berlin),"Bruno-Bürgel-Weg, 12439 Berlin, Germany",52.45212,13.532038,Niederschöneweide,Treptow-Köpenick
376,379,900037103,11005005,Brunsbütteler Damm/Nennhauser Damm (Berlin),"Brunsbütteler Damm/Nennhauser Damm, 13591 Berlin, Germany",52.532583,13.142625,Falkenhagener Feld,Spandau
377,380,900031101,11005005,Brunsbütteler Damm/Ruhlebener Str. (Berlin),"Klosterstraße 3, 13581 Berlin, Germany",52.53296,13.198196,Spandau,Spandau
378,381,900037114,11005005,Brunsbütteler Damm/Stadtgrenze (Berlin),"Brunsbütteler Damm/Stadtgrenze, 13591 Berlin, Germany",52.53537,13.124494,Falkenhagener Feld,Spandau
379,382,900085150,11012012,Brusebergstr. (Berlin),"Brusebergstr., 13407 Berlin, Germany",52.568567,13.346806,Reinickendorf,Reinickendorf
380,383,900143513,11003003,Bucher Chaussee/Achillesstr. (Berlin),"Bucher Chaussee 24, 13125 Berlin, Germany",52.61807,13.487712,Buch,Pankow
381,384,900082296,11008008,Buchfinkweg (Berlin),"Buchfinkweg 33, 12351 Berlin, Germany",52.433126,13.464259,Britz,Neukölln
382,385,900131511,11003003,Buchholzer Str./Wackenbergstr. (Berlin),"Buchholzer Str./Wackenbergstr., 13156 Berlin, Germany",52.583938,13.408193,Niederschönhausen,Pankow
383,386,900131523,11003003,Buchholzer Str. 55-61 (Berlin),"Buchholzer Str. 55-61, 13156 Berlin, Germany",52.590285,13.415834,Niederschönhausen,Pankow
384,387,900019105,11004004,Buchholzweg (Berlin),"Saatwinkler Damm 42/43, 13627 Berlin, Germany",52.546975,13.317789,Charlottenburg,Charlottenburg-Wilmersdorf
385,388,900132505,11003003,Buchhorster Str. (Berlin),"Buchhorster Str., 13158 Berlin, Germany",52.591291,13.371553,Blankenburg,Pankow
386,389,900193515,11009009,Büchnerweg (Berlin),"Büchnerweg, 12489 Berlin, Germany",52.43434,13.552614,Adlershof,Treptow-Köpenick
387,390,900083268,11008008,Buchsbaumweg (Berlin),"Buchsbaumweg, 12355 Berlin, Germany",52.422079,13.50614,Rudow,Neukölln
388,391,900080407,11008008,Buckower Damm/Gutschmidtstr. (Berlin),"Buckower Damm 39, 12349 Berlin, Germany",52.44047,13.434999,Britz,Neukölln
389,392,900081203,11008008,Buckower Damm/Ringslebenstr. (Berlin),"Buckower Damm/Ringslebenstr., 12353 Berlin, Germany",52.417521,13.439278,Buckow,Neukölln
390,393,900171513,11010010,Buckower Ring (Berlin),"Blumberger Damm 2, 12683 Berlin, Germany",52.525122,13.565316,Biesdorf,Marzahn-Hellersdorf
391,394,900005101,11004004,Budapester Str. (Berlin),"Franziskus Krankenhaus Berlin, 10787 Berlin, Germany",52.506568,13.345673,Charlottenburg,Charlottenburg-Wilmersdorf
392,395,900089451,11012012,Buddestr. (Berlin),"Buddestr., 13507 Berlin, Germany",52.590761,13.286965,Reinickendorf,Reinickendorf
393,396,900081151,11008008,Bühler Weg (Berlin),"Bühler Weg, 12349 Berlin, Germany",52.417305,13.412904,Britz,Neukölln
394,397,900190509,11008008,Bulgarische Str. (Berlin),"Bulgarische Str., 12435 Berlin, Germany",52.484239,13.478965,Neukölln,Neukölln
395,398,900066302,11006006,Bundesarchiv (Berlin),"Bundesarchiv, 12205 Berlin, Germany",52.432425,13.299873,Dahlem,Steglitz-Zehlendorf
396,399,900100035,11001001,Bundeswehrkrankenhaus (Berlin),"Bundeswehrkrankenhaus, 10115 Berlin, Germany",52.534686,13.370088,Wedding,Mitte
397,400,900027292,11005005,Bürgerablage (Berlin),"Bürgerablage, 13587 Berlin, Germany",52.584379,13.207194,Falkenhagener Feld,Spandau
398,401,900034153,11005005,Burscheider Weg (Berlin),"Burscheider Weg, 13599 Berlin, Germany",52.544934,13.238324,Hakenfelde,Spandau
399,402,900171524,11010010,Buschiner Str. (Berlin),"Buschiner Str., 12683 Berlin, Germany",52.522614,13.556497,Biesdorf,Marzahn-Hellersdorf
400,403,900080405,11008008,Buschkrug (Berlin),"Buschkrug (Buschkrugallee), 12359 Berlin, Germany",52.452543,13.452159,Rudow,Neukölln
401,404,900080403,11008008,Buschkrugallee/Parchimer Allee (Berlin),"Parkplatz, Parchimer Allee 33, 12359 Berlin, Germany",52.445432,13.454874,Rudow,Neukölln
402,405,900037209,11005005,Buschower Weg (Berlin),"Heerstraße 617, 13591 Berlin, Germany",52.526506,13.132296,Falkenhagener Feld,Spandau
403,406,900050381,11006006,Busseallee (Berlin),"Busseallee, 14163 Berlin, Germany",52.435724,13.250064,Nikolassee,Steglitz-Zehlendorf
404,407,900162504,11011011,Blockdammweg (Berlin),"Blockdammweg 56, 10318 Berlin, Germany",52.484095,13.509834,Karlshorst,Lichtenberg
405,408,900182507,11009009,Bruno-Wille-Str. (Berlin),"Bruno-Wille-Str. (Berlin), 12587 Berlin, Germany",52.44697,13.632312,Friedrichshagen,Treptow-Köpenick
