,bank_id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
61,335870281,hallo sparda,sparda-bank,sparda-bank berlin eg,blissestraße,5,10713,"mo 09:00-13:00; tu 09:00-13:00,14:00-18:00; th 09:00-13:00,14:00-18:00",true,unknown,52.4862003,13.3209362,Charlottenburg-Wilmersdorf,11004004
62,340324654,postbank,postbank,nan,otto-schmirgal-straße,3,10319,"mo-fr 09:00-18:00, sa 09:00-12:30; ph off",true,true,52.4975046,13.5223099,Lichtenberg,11011011
63,346135245,sparkasse,sparkasse,berliner sparkasse,schulzendorfer straße,1,13347,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,unknown,52.5398213,13.3709781,Mitte,11001001
64,346608399,sparkasse,nan,berliner sparkasse,wilmersdorfer straße,57,10627,"mo-th 09:30-18:00; fr 09:30-15:00; sa-su,ph off||mo-th 06:00-23:00 open ""sb-bereich"";fr 06:00-24:00 open ""sb-bereich""; sa 00:00-24:00 open ""sb-bereich""; su 00:00-23:00 open ""sb-bereich""",true,true,52.5076156,13.3061738,Charlottenburg-Wilmersdorf,11004004
65,355142046,commerzbank,commerzbank,commerzbank,nan,nan,nan,"mo-th 09:00-13:00, fr 09:00-14:00, mo,we 14:00-16:00, tu,th 14:30-18:00",unknown,false,52.5896791,13.2832149,Reinickendorf,11012012
66,355180027,deutsche bank,deutsche bank,nan,teltower damm,2,14169,"mo,tu,th 10:00-12:30,14:00-18:00; we,fr 10:00-14:00",true,true,52.4349895,13.2596238,Steglitz-Zehlendorf,11006006
67,366013582,sparkasse,nan,berliner sparkasse,turmstraße,33,10551,mo-th 09:30-18:00; fr 09:30-15:00,true,true,52.5265587,13.340121,Mitte,11001001
68,366429802,sparkasse,nan,berliner sparkasse,stendaler straße,21,12627,"mo-fr 06:00-23:00; sa,su 08:00-23:00",true,true,52.5373155,13.6041606,Marzahn-Hellersdorf,11010010
69,370131145,postbank,postbank,nan,steglitzer damm,24,12169,mo-fr 09:30-18:00; sa 09:30-14:00,false,true,52.4506725,13.339864,Steglitz-Zehlendorf,11006006
70,370172188,commerzbank,commerzbank,commerzbank,turmstraße,32,10551,"tu-fr 09:00-13:00, 14:00-16:00, tu,th 14:30-18:00",true,true,52.5265453,13.3406471,Mitte,11001001
71,370765387,berliner volksbank,berliner volksbank,nan,kurfürstendamm,nan,10707,"mo-fr 10:00-13:00,14:00-18:00",true,unknown,52.5018157,13.3192893,Charlottenburg-Wilmersdorf,11004004
72,375800452,deutsche bank,deutsche bank,deutsche bank,nan,nan,nan,"mo, tu, th 10:00-18:00; we, fr 10:00-16:00",true,true,52.5140687,13.3197163,Charlottenburg-Wilmersdorf,11004004
73,414996118,sparkasse,nan,berliner sparkasse,sterndamm,79,12487,mo 09:30-15:00; th 09:30-18:00,true,unknown,52.4455851,13.5057931,Treptow-Köpenick,11009009
74,415791575,sparkasse,nan,berliner sparkasse,drakestraße,32,12205,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4426382,13.2974109,Steglitz-Zehlendorf,11006006
75,415858762,berliner volksbank,berliner volksbank,berliner volksbank eg,tempelhofer damm,152,12099,"mo-th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00,14:00-16:00",true,unknown,52.4647956,13.3853614,Tempelhof-Schöneberg,11007007
76,416660137,targobank,targobank,targobank,wilmersdorfer straße,128,10627,"mo-tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00; sa-su,ph off",true,true,52.5101491,13.3058142,Charlottenburg-Wilmersdorf,11004004
77,417302813,sparkasse privatkundencenter,nan,berliner sparkasse,weitlingstraße,59/60,10317,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5055916,13.4960317,Lichtenberg,11011011
78,419566429,deutsche bank,deutsche bank,deutsche bank,nan,nan,nan,"mo-th 10:00-13:00, mo,tu,th 14:00-18:00, we 14:00-16:00, fr 10:00-14:00",unknown,true,52.5910337,13.2826465,Reinickendorf,11012012
79,420448903,postbank,postbank,nan,nan,nan,nan,unknown,true,unknown,52.4868431,13.4237278,Friedrichshain-Kreuzberg,11002002
80,421299910,berliner volksbank,berliner volksbank,berliner volksbank,bahnhofstraße,nan,12305,"mo 10:00-16:00; tu,th 10:00-18:00; we,fr 10:00-13:00",true,true,52.3865001,13.4028829,Tempelhof-Schöneberg,11007007
81,421299912,deutsche bank,deutsche bank,deutsche bank,bahnhofstraße,nan,12305,"fr 10:00-14:00; mo,tu,th 10:00-12:30,14:00-18:00; we 10:00-14:00",true,unknown,52.3865106,13.4016296,Tempelhof-Schöneberg,11007007
82,422510102,sparkasse sb-service,nan,berliner sparkasse,prenzlauer allee,182,10405,"mo-fr 06:00-23:00; sa, su 08:00-23:00",true,unknown,52.5432142,13.4261762,Pankow,11003003
83,426581071,targobank,targobank,targobank ag & co. kgaa,badstraße,8,13357,"mo,tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00",true,false,52.5497704,13.3865323,Mitte,11001001
84,430643794,sparkasse,nan,berliner sparkasse,keilerstraße,17,13503,"tu 10:00-18:00, fr 10:00-15:00",true,unknown,52.610274,13.2490725,Reinickendorf,11012012
85,434517788,sparkasse,nan,berliner sparkasse,hermannstraße,162,12051,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,unknown,52.4688328,13.4307923,Neukölln,11008008
86,437514581,sparkasse,nan,berliner sparkasse,popitzweg,18,13629,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5370508,13.2737663,Spandau,11005005
87,439234898,santander,santander,nan,bölschestraße,63,12587,"mo-th 09:00-13:00, we 14:00-16:00, mo,tu,th 14:00-18:00, fr 09:00-14:00",true,unknown,52.4553097,13.6255293,Treptow-Köpenick,11009009
88,441306019,targobank,targobank,targobank,nan,nan,nan,unknown,true,true,52.5376745,13.2030843,Spandau,11005005
89,441734598,commerzbank,commerzbank,commerzbank ag,karl-marx-straße,76,nan,"mo-th 09:00-13:00; mo,we 14:00-16:00; tu,th 14:30-18:00; fr 09:00-14:00; sa-su,ph off",true,true,52.4816263,13.4338,Neukölln,11008008
90,442387117,commerzbank,commerzbank,nan,nan,nan,nan,"mo-fr 09:00-13:00, mo 14:00-16:00, tu,th 14:30-18:00",true,true,52.4605838,13.384535,Tempelhof-Schöneberg,11007007
91,442393073,deutsche bank,deutsche bank,nan,mariendorfer damm,69,12109,"mo-th 10:00-18:00, fr 10:00-14:00",true,true,52.4464966,13.3858816,Tempelhof-Schöneberg,11007007
92,442394344,berliner volksbank,berliner volksbank,nan,mariendorfer damm,88-90,12109,"mo-we,fr 10:00-18:00, th 10:00-19:30",true,true,52.4448559,13.3856992,Tempelhof-Schöneberg,11007007
93,445821376,berliner sparkasse sb-service,berliner sparkasse,berliner sparkasse,britzer damm,100,12347,"mo-fr 06:00-23:00; sa,su 08:00-23:00",true,unknown,52.4538349,13.4378411,Neukölln,11008008
94,447946785,@surfpoint,postbank,nan,nan,nan,nan,mo-fr 10:00-18:00; sa 10:00-12:30,unknown,true,52.4847666,13.3846979,Friedrichshain-Kreuzberg,11002002
95,448810337,sparkasse,berliner sparkasse,berliner sparkasse,karl-marx-straße,91,12043,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,unknown,52.4804888,13.4361289,Neukölln,11008008
96,450688374,berliner volksbank,berliner volksbank,nan,nan,nan,nan,unknown,true,unknown,52.5371926,13.2039561,Spandau,11005005
97,454206542,berliner volksbank,berliner volksbank,nan,wilmersdorfer straße,65,10627,"mo-fr 10:00-13:00, mo 14:00-16:00, tu,th 14:00-18:00",true,true,52.5061264,13.3066124,Charlottenburg-Wilmersdorf,11004004
98,467821680,berliner volksbank,berliner volksbank,berliner volksbank,kottbusser damm,63/64,10967,"tu,th 10:00-13:00,14:00-18:00; we,fr 10:00-13:00; mo 10:00-13:00,14:00-16:00",true,true,52.4883294,13.425376,Friedrichshain-Kreuzberg,11002002
99,469293560,commerzbank,commerzbank,nan,breite straße,4b,13187,"mo-fr 09:00-13:00, tu 14:00-16:00, th 14:00-18:00",true,true,52.5715907,13.4114826,Pankow,11003003
100,472430734,targobank,targobank,targobank,nan,nan,nan,unknown,true,unknown,52.4311032,13.4568179,Neukölln,11008008
