element,id,name,brand,operator,street,housenumber,postcode,opening_hours,atm,wheelchair,latitude,longitude,district,district_id
node,3229157409,targobank,targobank,targobank,schloßstraße,111,12163,"mo-fr 10:00-13:00, mo,tu,th 14:00-18:00; ph,sa,su off",true,true,52.4615672,13.3255085,Steglitz-Zehlendorf,nan
node,3274210861,deutsche bank investment & finanzcenter,deutsche bank,deutsche bank ag,hermannstraße,256-258,12049,"mo,tu,th 10:00-18:00; we,fr 10:00-16:00",true,unknown,52.4860364,13.4245294,Neukölln,nan
node,3296728800,berliner volksbank,berliner volksbank,berliner volksbank,pablo-neruda-straße,2-4,12559,unknown,true,true,52.4414422,13.5869399,Treptow-Köpenick,nan
node,3354419279,hsbc,hsbc,nan,kurfürstendamm,234,10719,unknown,unknown,unknown,52.5040233,13.3336718,Charlottenburg-Wilmersdorf,nan
node,3354430606,sparkasse,nan,berliner sparkasse,rankestraße,33,10789,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.5035001,13.3351246,Charlottenburg-Wilmersdorf,nan
node,3455613474,deutsche bank,deutsche bank,nan,nan,nan,nan,mo-su 06:00-22:00,true,true,52.500784,13.312102,Charlottenburg-Wilmersdorf,nan
node,3481852903,commerzbank,commerzbank,nan,hauptstraße,23/24,10827,"mo 09:00-13:00,14:00-16:00; tu,th 09:00-13:00,14:30-18:00; we,fr 09:00-13:00",true,false,52.4860967,13.3556625,Tempelhof-Schöneberg,nan
node,3530735894,berliner volksbank,berliner volksbank,berliner volksbank eg,sakrower landstraße,3,14089,"mo,fr 09:00-13:00,14:00-16:00; tu,th 09:00-13:00,14:00-18:00; we 09:00-13:00",true,unknown,52.4528647,13.1425214,Spandau,nan
node,3612041573,postbank,postbank,nan,kaiser-wilhelm-straße,60-62,12247,mo-fr 09:00-18:00; sa 09:00-13:00,true,true,52.4348658,13.3428843,Steglitz-Zehlendorf,nan
node,3612065220,postbank,postbank,nan,potsdamer straße,52,14163,"mo-fr 09:00-18:00; sa 09:00-14:00; su,ph off",true,true,52.4350315,13.2589843,Steglitz-Zehlendorf,nan
node,3612065221,postbank finanzcenter,nan,nan,nan,nan,nan,mo-fr 09:00-18:00; sa 10:00-13:00,true,unknown,52.4164007,13.3616914,Tempelhof-Schöneberg,nan
node,3644146593,sparkasse,nan,berliner sparkasse,grunewaldstraße,61-62,10825,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4886385,13.3425879,Tempelhof-Schöneberg,nan
node,3644438000,targobank,targobank,nan,nan,nan,nan,"mo-fr 09:00-13:00; mo,tu,th 14:00-18:00; fr 14:00-17:00; ph off",unknown,true,52.458029,13.5791673,Treptow-Köpenick,nan
node,3672738933,sparkasse,nan,berliner sparkasse,sakrower landstraße,10,14089,tu 09:30-18:00; we 09:30-15:00,true,true,52.4529689,13.1416433,Spandau,nan
node,3678881050,postbank,postbank,nan,joachimsthaler straße,41,10623,mo 09:30-19:00; tu-fr 09:30-18:30; sa 09:30-14:00,true,true,52.5049211,13.331798,Charlottenburg-Wilmersdorf,nan
node,3751771442,sparkasse,nan,berliner sparkasse,mariendorfer damm,118-120,12109,"mo,we,fr 09:30-15:00; tu,th 09:30-18:00",true,true,52.4413847,13.3865459,Tempelhof-Schöneberg,nan
node,3772669591,sparkasse,nan,berliner sparkasse,prerower platz,1,13051,mo-fr 09:30-18:00,unknown,true,52.564565,13.5072405,Lichtenberg,nan
