,id,name,lat,lon,tram,bus,adress
91,900171530,Altentreptower Str. (Berlin),52.515144,13.563077,False,True,"Altentreptower Str., 12683 Berlin, Germany"
92,900195520,Alter Schönefelder Weg (Berlin),52.420658,13.538042,False,True,"Rudower Str. 60, 12524 Berlin, Germany"
93,900195006,Altglienicke Kirche (Berlin),52.42162,13.539184,False,True,"Köpenicker Str. 15, 12524 Berlin, Germany"
94,900195508,Altglienicker Brücke (Berlin),52.424407,13.543661,False,True,"Köpenicker Str. 59, 12524 Berlin, Germany"
95,900050206,Altkanzlerstr. (Berlin),52.446664,13.244859,False,True,"Altkanzlerstr., 14163 Berlin, Germany"
96,900320903,"Altlandsberg, Berliner Allee",52.558148,13.717899,False,True,"Altlandsberg, Berliner Allee, 15345 Altlandsberg, Germany"
97,900060152,Altmarkstr. (Berlin),52.458808,13.342437,False,True,"Bergstraße 37, 12169 Berlin, Germany"
98,900037113,Am alten Gaswerk (Berlin),52.536295,13.130561,False,True,"Brunsbütteler Damm 448, 13591 Berlin, Germany"
99,900175531,Am Baltenring (Berlin),52.527585,13.600733,False,True,"Am Baltenring, 12621 Berlin, Germany"
100,900180529,Am Berg (Berlin),52.445432,13.588229,False,True,"Wendenschloßstraße 33B, 12559 Berlin, Germany"
101,900049303,Am Birkenknick (Berlin),52.415175,13.266146,False,True,"Teltower Damm 210, 14167 Berlin, Germany"
102,900027363,Am Bogen (Berlin),52.552305,13.159498,False,True,"Falkenseer Chaussee 147, 13589 Berlin, Germany"
103,900080352,Am Brandpfuhl (Berlin),52.441882,13.425309,False,True,"Mohriner Allee 62, 12347 Berlin, Germany"
104,900091102,Am Dachsbau (Berlin),52.606573,13.229829,False,True,"Heiligenseestraße 116, 13503 Berlin, Germany"
105,900094191,Am Dianaplatz (Berlin),52.605369,13.314364,False,True,"Waidmannsluster Damm 142, 13469 Berlin, Germany"
106,900050258,Am Fischtal (Berlin),52.446502,13.258352,False,True,"Am Fischtal 55-57, 14169 Berlin, Germany"
107,900110522,Am Friedrichshain/Hufelandstr. (Berlin),52.529607,13.437489,False,True,"Kniprodestraße 122, 10407 Berlin, Germany"
108,900153500,Am Gehrensee (Berlin),52.572324,13.564417,False,True,"Am Gehrensee, 12689 Berlin, Germany"
109,900067401,Am Gemeindepark (Berlin),52.429216,13.355337,False,True,"Am Gemeindepark, 12249 Berlin, Germany"
110,900038252,Am Graben (Berlin),52.478899,13.179247,False,True,"Am Graben, 14089 Berlin, Germany"
111,900082261,Am Großen Rohrpfuhl (Berlin),52.411849,13.494499,False,True,"Am Großen Rohrpfuhl, 12355 Berlin, Germany"
112,900053254,Am Großen Wannsee (Berlin),52.43114,13.165008,False,True,"Am Großen Wannsee, 14109 Berlin, Germany"
113,900051257,Am Hegewinkel (Berlin),52.45364,13.263269,False,True,"Am Waldfriedhof 13, 14169 Berlin, Germany"
114,900070353,Am Heidefriedhof (Berlin),52.440246,13.392156,False,True,"Reißeckstraße 17, 12107 Berlin, Germany"
115,900070156,Am Hellespont (Berlin),52.444623,13.407016,False,True,"Am Hellespont, 12109 Berlin, Germany"
116,900096152,Am Hügel (Berlin),52.593889,13.316593,False,True,"Am Hügel, 13437 Berlin, Germany"
117,900096105,Am Kesselpfuhl (Berlin),52.59282,13.310184,False,True,"Am Kesselpfuhl, 13437 Berlin, Germany"
118,900195012,Am Kiesberg (Berlin),52.42278,13.527705,False,True,"Am Kiesberg, 12524 Berlin, Germany"
119,900027301,Am Kiesteich (Berlin),52.551155,13.165502,False,True,"Berlin, Am Kiesteich, 13589 Berlin, Germany"
120,900053202,Am Kleinen Wannsee (Berlin),52.420478,13.167183,False,True,"Königstraße 67B, 14109 Berlin, Germany"
121,900176522,Am Kornfeld (Berlin),52.51046,13.60201,False,True,"Am Kornfeld, 12621 Berlin, Germany"
122,900037171,Am Kurzen Weg (Berlin),52.539639,13.146607,False,True,"Am Kurzen Weg, 13591 Berlin, Germany"
123,900096406,Am Nordgraben/Oranienburger Str. (Berlin),52.587399,13.334688,False,True,"Am Nordgraben 14, 13437 Berlin, Germany"
124,900001202,Am Nordhafen (Berlin),52.538848,13.363607,False,True,"Am Nordhafen, 13353 Berlin, Germany"
125,900077152,Am Oberhafen (Berlin),52.465029,13.450676,False,True,"Am Oberhafen, 12057 Berlin, Germany"
126,900032101,Am Omnibushof (Berlin),52.517616,13.186241,False,True,"Berlin, Am Omnibushof, 13595 Berlin, Germany"
127,900092102,Am Pilz (Berlin),52.642413,13.300763,False,True,"Zeltinger Str. 85, 13465 Berlin, Germany"
128,900049356,Am Rehwechsel (Berlin),52.412109,13.266928,False,True,"Am Rehwechsel, 14167 Berlin, Germany"
